question_temp_key	term_title	term_id	term_category	term_category_id	question_type	difficulty	question_text	explanation	text_answer	choice_1_text	choice_1_is_answer	choice_2_text	choice_2_is_answer	choice_3_text	choice_3_is_answer	choice_4_text	choice_4_is_answer	label_1_key	label_2_key	label_3_key	label_4_key
Q001	깃(Git) 기본 목적		DevOps / Cloud - 버전 관리	61	CHOICE	EASY	DevOps에서 Git을 사용하는 가장 기본적인 목적은 무엇인가?	Git은 소스 코드 변경 이력을 기록하고 협업을 쉽게 해주는 버전 관리 도구입니다.DevOps에서는 배포 파이프라인의 시작점이 코드이기 때문에 변경 이력이 핵심입니다.면접에서는 Git이 왜 필요한지와 commit branch merge 같은 기본 용어를 확인합니다.실무에서는 이력이 없으면 장애 원인 추적과 롤백이 매우 어려워집니다.따라서 Git은 DevOps 협업과 자동화의 기반으로 이해하는 것이 좋습니다.		코드 변경 이력을 기록하고 협업을 쉽게 한다	TRUE	서버 CPU 사용량을 줄인다	FALSE	데이터베이스를 자동으로 백업한다	FALSE	클라우드 비용을 자동으로 결제한다	FALSE	devops	git	version_control	collaboration
Q002	브랜치(Branch)		DevOps / Cloud - 버전 관리	61	CHOICE	EASY	Git에서 브랜치를 사용하는 이유로 가장 올바른 것은?	브랜치는 기존 코드 흐름을 유지한 채로 작업을 분리해 진행하게 해줍니다.DevOps에서는 기능 개발과 긴급 수정이 동시에 일어나 브랜치가 특히 중요합니다.면접에서는 브랜치가 무엇인지와 PR 기반 협업 흐름까지 이어서 묻습니다.실무에서는 main에 직접 커밋하면 배포 사고 확률이 커져 보통 금지합니다.브랜치를 이해하면 CI 검증과 코드리뷰 문화도 함께 연결됩니다.		기능 개발을 분리해 작업한다	TRUE	파일 용량을 압축한다	FALSE	네트워크 대역폭을 늘린다	FALSE	비밀번호를 암호화한다	FALSE	devops	git	branch	workflow
Q003	풀 리퀘스트(PR)		DevOps / Cloud - 버전 관리	61	CHOICE	EASY	PR의 가장 대표적인 목적은 무엇인가?	PR은 코드 변경을 병합하기 전에 리뷰와 검증을 거치기 위한 협업 단위입니다.DevOps에서는 PR에 CI를 붙여 빌드 테스트를 자동으로 돌리는 흐름이 일반적입니다.면접에서는 PR과 코드리뷰의 장점, 그리고 병합 전에 확인할 항목을 묻습니다.실무에서는 PR 템플릿과 체크리스트로 품질 기준을 통일합니다.PR이 없으면 변경이 누락되거나 무심코 배포되는 위험이 커집니다.		코드리뷰와 병합 전 검증을 위해서	TRUE	서버를 자동으로 재부팅하기 위해서	FALSE	로그를 자동으로 삭제하기 위해서	FALSE	데이터센터를 선택하기 위해서	FALSE	devops	git	pr	code_review
Q004	커밋(Commit)		DevOps / Cloud - 버전 관리	61	CHOICE	EASY	Git에서 commit이 의미하는 것은 무엇인가?	커밋은 특정 시점의 변경 내용을 기록한 하나의 스냅샷입니다.DevOps에서는 커밋 단위가 배포 단위로 연결되기도 해서 메시지 품질이 중요합니다.면접에서는 커밋과 push의 차이, 커밋 메시지 규칙을 확인하기도 합니다.실무에서는 작은 단위로 커밋하면 원인 추적과 되돌리기가 쉬워집니다.커밋 메시지는 무엇을 왜 바꿨는지 남기는 습관이 핵심입니다.		변경 내용을 기록한 스냅샷	TRUE	원격 저장소를 삭제하는 명령	FALSE	컨테이너를 실행하는 기능	FALSE	서버 설정을 초기화하는 작업	FALSE	devops	git	commit	traceability
Q005	CI(Continuous Integration)		DevOps / Cloud - CI/CD	62	CHOICE	EASY	CI의 핵심 목표로 가장 올바른 것은?	CI는 코드 변경을 자주 통합하고 자동 빌드 및 테스트로 문제를 빠르게 발견하는 방식입니다.DevOps에서는 PR 생성 시 CI가 자동으로 돌도록 구성하는 경우가 많습니다.면접에서는 CI가 없을 때 생기는 문제와 CI 단계에 무엇을 넣을지 묻습니다.실무에서는 테스트가 느리면 개발 속도가 떨어져 단계 분리가 중요합니다.CI는 품질을 자동으로 보장하는 첫 관문이라는 관점으로 이해하면 좋습니다.		변경을 자주 통합하고 자동 검증한다	TRUE	사용자의 비밀번호를 저장한다	FALSE	DB 데이터를 수동으로 정리한다	FALSE	클라우드 리전을 선택한다	FALSE	devops	ci	pipeline	testing
Q006	CD(Continuous Delivery)		DevOps / Cloud - CI/CD	62	CHOICE	EASY	일반적으로 Continuous Delivery는 무엇을 의미하는가?	Continuous Delivery는 배포 가능한 상태를 항상 유지하도록 자동화하는 방식입니다.보통 운영 배포는 승인 버튼으로 마지막 단계를 제어할 수 있습니다.면접에서는 Delivery와 Deployment 차이를 구분해 설명하는지 자주 봅니다.실무에서는 환경별 설정 차이를 줄이기 위해 IaC와 함께 사용합니다.핵심은 언제든 안전하게 배포할 수 있는 준비 상태를 만드는 것입니다.		배포 가능한 상태를 항상 유지	TRUE	운영에 무조건 자동 배포	FALSE	코드 리뷰를 완전히 없애는 방법	FALSE	서버를 수동으로 설치하는 방식	FALSE	devops	cd	release	automation
Q007	파이프라인(Pipeline)		DevOps / Cloud - CI/CD	62	CHOICE	EASY	CI/CD 파이프라인이란 무엇인가?	파이프라인은 빌드 테스트 배포 같은 작업 단계를 자동으로 연결한 흐름입니다.DevOps에서는 파이프라인을 코드로 관리해 재현성과 변경 이력을 남깁니다.면접에서는 파이프라인 단계 구성 예시를 말할 수 있는지 확인합니다.실무에서는 실패 지점을 빠르게 찾기 위해 단계별 로그와 아티팩트를 남깁니다.파이프라인은 배포 안정성을 높이는 핵심 자동화 장치입니다.		자동화된 단계 실행 흐름	TRUE	데이터베이스 테이블 설계	FALSE	프론트엔드 레이아웃 도구	FALSE	DNS 레코드 종류	FALSE	devops	cicd	pipeline	automation
Q008	롤백(Rollback)		DevOps / Cloud - CI/CD	62	CHOICE	EASY	배포 후 문제가 생겼을 때 rollback의 의미로 가장 맞는 것은?	롤백은 문제가 발생한 배포를 이전의 안정 버전으로 되돌리는 것입니다.DevOps에서는 롤백 전략을 배포 전략과 함께 설계해야 합니다.면접에서는 롤백이 왜 중요한지와 롤백 방법 예시를 묻습니다.실무에서는 DB 마이그레이션이 있으면 롤백이 어려워 사전 계획이 필요합니다.롤백 가능성이 곧 서비스 복구 속도를 좌우합니다.		이전 안정 버전으로 되돌린다	TRUE	서버를 영구 삭제한다	FALSE	사용자 계정을 초기화한다	FALSE	로그를 암호화한다	FALSE	devops	deployment	rollback	reliability
Q009	도커(Docker)		DevOps / Cloud - 컨테이너	63	CHOICE	EASY	컨테이너 기술이 주로 해결하려는 문제는 무엇인가?	컨테이너는 실행 환경을 패키징해 어디서나 동일하게 실행되도록 돕습니다.DevOps에서는 개발과 운영의 환경 차이로 생기는 문제를 크게 줄여줍니다.면접에서는 VM과 컨테이너 차이를 기본 수준에서 묻는 경우가 많습니다.실무에서는 이미지 버전 관리와 보안 업데이트가 중요합니다.한 문장으로는 환경 일관성과 배포 효율을 높이는 기술입니다.		실행 환경을 동일하게 만든다	TRUE	네트워크 속도를 무조건 10배 올린다	FALSE	데이터를 자동으로 정규화한다	FALSE	브라우저 렌더링을 최적화한다	FALSE	devops	container	docker	portability
Q010	이미지(Image)		DevOps / Cloud - 컨테이너	63	CHOICE	EASY	Docker 이미지란 무엇에 가장 가깝나?	이미지는 애플리케이션 실행에 필요한 파일과 설정을 묶어둔 템플릿입니다.컨테이너는 이미지를 실행한 인스턴스라고 이해하면 쉽습니다.면접에서는 이미지와 컨테이너의 차이를 구분해 설명하는지 확인합니다.실무에서는 이미지 태그 전략이 배포 안정성과 직결됩니다.또한 이미지 크기를 줄이면 빌드와 배포 시간이 개선됩니다.		컨테이너 실행 템플릿	TRUE	실행 중인 컨테이너 자체	FALSE	운영 서버의 물리 장비	FALSE	DNS 설정 파일	FALSE	devops	docker	image	container
