question_temp_key	term_title	term_id	term_category	term_category_id	question_type	difficulty	question_text	explanation	text_answer	choice_1_text	choice_1_is_answer	choice_2_text	choice_2_is_answer	choice_3_text	choice_3_is_answer	choice_4_text	choice_4_is_answer	label_1_key	label_2_key	label_3_key	label_4_key
Q001	그래프(Graph)		Data Structure & Algorithm - 탐색 알고리즘	42	CHOICE	EASY	그래프에서 정점과 간선을 가장 올바르게 설명한 것은?	그래프는 정점과 정점을 연결하는 간선으로 구성되는 자료구조입니다. 정점은 노드라고도 부르며 개체를 표현합니다. 간선은 정점 간의 연결 관계를 표현합니다. 면접에서는 이 기본 정의를 바탕으로 트리와의 차이를 확장 질문으로 물어봅니다. 실무에서는 네트워크, 추천, 경로 탐색 같은 문제를 그래프로 모델링합니다.		정점은 연결을 의미하고 간선은 데이터를 의미한다	FALSE	정점은 노드이고 간선은 노드 사이의 연결이다	TRUE	간선은 항상 방향이 없고 그래프는 항상 순환이 없다	FALSE	그래프는 항상 루트 노드가 하나 존재한다	FALSE	dsa	graph		
Q002	인접 리스트(Adjacency List)		Data Structure & Algorithm - 탐색 알고리즘	42	CHOICE	EASY	인접 리스트 표현에 대한 설명으로 가장 올바른 것은?	인접 리스트는 각 정점에 대해 연결된 이웃 정점 목록을 저장합니다. 간선 수가 적은 희소 그래프에서 메모리 효율이 좋습니다. BFS와 DFS 구현 시 이웃 순회가 자연스럽습니다. 면접에서는 인접 행렬과 비교해 장단점을 묻는 경우가 많습니다. 실무에서는 큰 그래프를 다룰 때 인접 리스트가 자주 선택됩니다.		모든 정점 쌍의 연결 여부를 2차원 배열로 저장한다	FALSE	각 정점마다 연결된 이웃 정점들을 리스트로 저장한다	TRUE	정점 개수가 늘어도 메모리는 항상 일정하다	FALSE	가중치 그래프에서는 사용할 수 없다	FALSE	dsa	graph		
Q003	인접 행렬(Adjacency Matrix)		Data Structure & Algorithm - 탐색 알고리즘	42	CHOICE	EASY	인접 행렬이 특히 유리한 경우로 가장 적절한 것은?	인접 행렬은 정점 수 V에 대해 VxV 2차원 배열로 간선 정보를 저장합니다. 두 정점의 연결 여부를 O1로 빠르게 확인할 수 있습니다. 간선이 많은 밀집 그래프에서 구현이 단순합니다. 면접에서는 시간 복잡도와 메모리 사용량을 비교해서 설명하는지 봅니다. 실무에서는 V가 작거나 연결 확인이 매우 잦을 때 선택합니다.		정점 수가 매우 크고 간선이 매우 적은 희소 그래프	FALSE	두 정점의 연결 여부를 매우 빠르게 확인해야 하는 경우	TRUE	간선 정보가 입력 순서대로만 필요할 때	FALSE	그래프가 항상 방향 그래프인 경우	FALSE	dsa	graph		
Q004	너비 우선 탐색(BFS)		Data Structure & Algorithm - 탐색 알고리즘	42	CHOICE	EASY	BFS가 사용하는 대표 자료구조는 무엇인가?	BFS는 시작 정점에서 가까운 정점부터 레벨 단위로 탐색합니다. 먼저 발견한 정점을 먼저 처리해야 하므로 FIFO 구조가 필요합니다. 그래서 일반적으로 큐를 사용합니다. 면접에서는 BFS와 DFS의 자료구조 차이를 기본으로 확인합니다. 실무에서는 최단 거리, 단계별 확산 같은 문제에 자주 씁니다.		스택	FALSE	큐	TRUE	해시맵	FALSE	우선순위 큐	FALSE	dsa	bfs		
Q005	깊이 우선 탐색(DFS)		Data Structure & Algorithm - 탐색 알고리즘	42	CHOICE	EASY	DFS의 동작 방식에 대한 설명으로 가장 올바른 것은?	DFS는 한 경로를 가능한 깊게 내려가며 탐색합니다. 더 이상 갈 곳이 없으면 되돌아오며 다른 경로를 탐색합니다. 구현은 재귀 호출 또는 스택 기반 반복으로 자주 합니다. 면접에서는 DFS의 탐색 순서와 백트래킹 개념을 연결해 묻습니다. 실무에서는 경로 존재 여부, 컴포넌트 탐색 등에 활용됩니다.		가까운 정점부터 레벨 순서로 넓게 탐색한다	FALSE	한 경로를 끝까지 깊게 탐색한 뒤 되돌아온다	TRUE	항상 최단 경로를 보장한다	FALSE	큐를 사용해야만 구현할 수 있다	FALSE	dsa	dfs		
Q006	방문 처리(Visited)		Data Structure & Algorithm - 탐색 알고리즘	42	CHOICE	EASY	그래프에서 방문 배열 visited를 사용하는 가장 중요한 이유는?	그래프는 순환이 있을 수 있어 같은 정점을 여러 번 방문할 위험이 있습니다. visited 처리를 하면 중복 방문을 막아 무한 루프를 예방합니다. 또한 불필요한 탐색을 줄여 성능이 좋아집니다. 면접에서는 visited를 언제 표시해야 하는지도 자주 묻습니다. 실무에서도 대규모 그래프 탐색에서 visited는 필수 패턴입니다.		간선의 가중치를 저장하기 위해서	FALSE	같은 정점을 반복 방문하는 것을 방지하기 위해서	TRUE	그래프를 항상 정렬된 상태로 만들기 위해서	FALSE	큐의 크기를 줄이기 위해서만	FALSE	dsa	graph	bfs	
Q007	BFS 최단 경로(Shortest Path)		Data Structure & Algorithm - 탐색 알고리즘	42	CHOICE	EASY	가중치가 없는 그래프에서 최단 간선 수 경로를 찾을 때 가장 적절한 탐색은?	가중치가 없으면 간선 하나의 비용이 동일하다고 볼 수 있습니다. BFS는 레벨 순으로 탐색하므로 처음 도달한 경로가 최단입니다. 그래서 최단 간선 수 경로를 구할 때 BFS가 기본 선택입니다. 면접에서는 왜 BFS가 최단을 보장하는지 설명을 요구합니다. 실무에서는 미로, 친구 관계 거리 계산에 자주 씁니다.		DFS	FALSE	BFS	TRUE	이분 탐색	FALSE	삽입 정렬	FALSE	dsa	bfs	graph	
Q008	DFS 활용(Connected Component)		Data Structure & Algorithm - 탐색 알고리즘	42	CHOICE	EASY	연결 요소를 찾는 작업에 DFS가 자주 쓰이는 이유로 가장 적절한 것은?	연결 요소는 서로 도달 가능한 정점들의 묶음입니다. DFS는 시작 정점에서 도달 가능한 모든 정점을 깊게 방문하며 한 덩어리를 쉽게 모읍니다. 방문 처리와 함께 반복하면 컴포넌트 개수를 셀 수 있습니다. 면접에서는 BFS로도 가능하다는 점과 비교 질문이 나올 수 있습니다. 실무에서는 네트워크 군집, 영역 개수 같은 문제에 적용합니다.		DFS는 항상 최단 경로를 보장하기 때문이다	FALSE	DFS는 시작점에서 도달 가능한 정점을 모두 방문하기 쉽기 때문이다	TRUE	DFS는 정점을 자동으로 정렬해주기 때문이다	FALSE	DFS는 메모리를 전혀 사용하지 않기 때문이다	FALSE	dsa	dfs	graph	
Q009	BFS 레벨 탐색(Level Order)		Data Structure & Algorithm - 탐색 알고리즘	42	CHOICE	EASY	BFS 탐색 순서에 대한 설명으로 가장 올바른 것은?	BFS는 시작 정점과의 거리가 1인 정점들을 먼저 방문합니다. 그 다음 거리가 2인 정점들을 방문하는 방식으로 진행됩니다. 이 특성 때문에 레벨 단위 탐색이라고도 합니다. 면접에서는 큐에 들어가는 순서와 방문 처리를 함께 확인합니다. 실무에서는 단계별 전파 시뮬레이션에서 유용합니다.		멀리 있는 정점을 먼저 방문한다	FALSE	시작점에서 가까운 정점부터 거리 순으로 방문한다	TRUE	항상 사전순으로 정점을 방문한다	FALSE	방향 그래프에서는 BFS를 사용할 수 없다	FALSE	dsa	bfs		
Q010	DFS 구현(Recursion)		Data Structure & Algorithm - 탐색 알고리즘	42	CHOICE	EASY	재귀로 DFS를 구현할 때 주의해야 할 점으로 가장 적절한 것은?	재귀 DFS는 호출 스택을 사용해 깊이를 관리합니다. 그래프가 매우 깊거나 정점 수가 많으면 스택 오버플로가 날 수 있습니다. 이때는 반복 DFS로 바꾸거나 언어의 재귀 제한을 고려해야 합니다. 면접에서는 재귀와 스택 구현이 동치라는 점을 질문하기도 합니다. 실무에서는 입력 크기에 따라 구현 방식을 선택합니다.		재귀 DFS는 visited가 필요 없다	FALSE	깊이가 매우 깊으면 스택 오버플로 위험이 있다	TRUE	재귀 DFS는 큐가 반드시 필요하다	FALSE	재귀 DFS는 방향 그래프에서만 동작한다	FALSE	dsa	dfs		
