question_temp_key	term_title	term_id	term_category	term_category_id	question_type	difficulty	question_text	explanation	text_answer	choice_1_text	choice_1_is_answer	choice_2_text	choice_2_is_answer	choice_3_text	choice_3_is_answer	choice_4_text	choice_4_is_answer	label_1_key	label_2_key	label_3_key	label_4_key
Q001	대형 언어 모델(LLM)		AI / Data / Machine Learning - 대형 언어 모델(LLM)	77	CHOICE	EASY	LLM을 가장 잘 설명한 것은?	LLM은 대량의 텍스트 데이터를 학습해 다음 단어를 예측하는 방식으로 언어 능력을 갖춘 모델을 의미합니다. 질문 답변, 요약, 번역 등 다양한 작업에 활용됩니다. 면접에서는 LLM이 무엇을 학습했는지와 한계를 함께 묻는 경우가 많습니다. 실무에서는 모델 자체 지식과 최신 정보의 차이를 구분해야 합니다. 그래서 필요한 경우 RAG나 파인튜닝과 결합해 사용합니다.		대화 기록을 영구 저장하는 데이터베이스	FALSE	텍스트 패턴을 학습해 문장을 생성하는 큰 규모의 언어 모델	TRUE	이미지 파일을 압축하는 알고리즘	FALSE	네트워크 지연을 줄이는 캐시 서버	FALSE	ai	llm	nlp	
Q002	토큰(Token)		AI / Data / Machine Learning - 대형 언어 모델(LLM)	77	CHOICE	EASY	LLM에서 토큰(Token)이란 무엇에 가장 가까운가?	토큰은 모델이 입력과 출력을 처리할 때 사용하는 단위로, 단어보다 더 작은 조각일 수도 있습니다. 한국어는 형태에 따라 토큰이 여러 개로 쪼개질 수 있어 길이 계산이 중요합니다. 면접에서는 컨텍스트 윈도우와 토큰 비용을 연결해 질문하기도 합니다. 실무에서는 프롬프트 길이가 길어지면 비용과 지연이 증가합니다. 따라서 토큰 수를 관리하는 습관이 필요합니다.		문장에 포함된 글자 수(문자 수)와 항상 동일한 값	FALSE	모델이 처리하는 텍스트의 기본 단위(단어 조각 단위)	TRUE	데이터베이스 행(row)의 별칭	FALSE	CPU가 처리하는 클럭 단위	FALSE	ai	llm		
Q003	프롬프트(Prompt)		AI / Data / Machine Learning - 대형 언어 모델(LLM)	77	CHOICE	EASY	프롬프트(Prompt)에 대한 설명으로 가장 올바른 것은?	프롬프트는 모델에게 무엇을 해야 하는지 지시하는 입력 텍스트입니다. 질문, 역할 지정, 형식 요구사항 등을 포함할 수 있습니다. 면접에서는 프롬프트만으로 해결 가능한 문제와 파인튜닝이 필요한 문제를 구분해보라고도 합니다. 실무에서는 프롬프트 템플릿을 표준화하면 품질이 안정됩니다. 또한 민감정보가 프롬프트에 섞이지 않도록 주의해야 합니다.		모델이 학습에 사용한 전체 원본 데이터셋	FALSE	모델에게 작업 지시를 전달하는 입력 문장(지시문)	TRUE	GPU 메모리를 늘리는 설정 값	FALSE	벡터 DB에 저장되는 인덱스 파일	FALSE	ai	llm		
Q004	컨텍스트 윈도우(Context Window)		AI / Data / Machine Learning - 대형 언어 모델(LLM)	77	CHOICE	EASY	컨텍스트 윈도우(Context Window)의 의미로 가장 알맞은 것은?	컨텍스트 윈도우는 모델이 한 번에 참고할 수 있는 입력 길이(토큰 기준)의 한도를 뜻합니다. 대화가 길어지면 오래된 내용이 잘릴 수 있습니다. 면접에서는 왜 앞 대화를 잊는지 설명해보라고 묻기도 합니다. 실무에서는 요약 메모리, RAG, 대화 압축 등을 사용해 보완합니다. 제한을 이해하면 품질과 비용을 함께 최적화할 수 있습니다.		모델이 학습할 때 사용하는 에폭(epoch) 수	FALSE	모델이 한 번의 요청에서 참고할 수 있는 최대 입력 길이	TRUE	데이터베이스 트랜잭션의 격리 수준	FALSE	HTTP 요청의 헤더 크기 제한	FALSE	ai	llm		
Q005	템퍼러처(Temperature)		AI / Data / Machine Learning - 대형 언어 모델(LLM)	77	CHOICE	EASY	LLM의 Temperature 설정을 올리면 보통 어떤 경향이 나타나는가?	Temperature는 출력의 무작위성(다양성)을 조절하는 값으로 자주 설명됩니다. 값이 높아지면 더 다양한 후보를 선택해 창의적이지만 일관성이 떨어질 수 있습니다. 면접에서는 정확성이 중요한 업무에서 어떤 설정이 좋은지 물을 수 있습니다. 실무에서는 요약/정답형은 낮게, 아이디어 생성은 높게 쓰는 경우가 많습니다. 단, 모델/서빙 구현에 따라 체감이 다를 수 있어 테스트가 필요합니다.		더 결정적이고 항상 같은 답을 내는 경향이 강해진다	FALSE	더 다양하고 랜덤한 답변이 나올 가능성이 커진다	TRUE	입력 토큰 수가 자동으로 줄어든다	FALSE	RAG 검색 결과가 더 많이 붙는다	FALSE	ai	llm		
Q006	환각(Hallucination)		AI / Data / Machine Learning - 대형 언어 모델(LLM)	77	CHOICE	EASY	LLM의 환각(Hallucination)을 가장 잘 설명한 것은?	환각은 모델이 그럴듯하지만 사실과 다른 내용을 생성하는 현상을 말합니다. 모델이 확률적으로 문장을 만들어내기 때문에 발생할 수 있습니다. 면접에서는 환각을 줄이는 방법(RAG, 출처 요구, 검증)을 함께 묻습니다. 실무에서는 근거 링크/인용을 강제하거나, 내부 지식베이스를 검색해 답하게 만들기도 합니다. 중요한 의사결정에는 추가 검증 단계가 필요합니다.		모델이 항상 답을 거부하는 현상	FALSE	그럴듯하지만 사실과 다른 정보를 만들어내는 현상	TRUE	네트워크 패킷이 손실되는 현상	FALSE	데이터베이스 인덱스가 깨지는 현상	FALSE	ai	llm		
Q007	RAG(Retrieval Augmented Generation)		AI / Data / Machine Learning - AI 서비스 응용	80	CHOICE	EASY	RAG의 핵심 아이디어로 가장 올바른 것은?	RAG는 모델이 답을 생성하기 전에 관련 문서를 검색해 근거를 함께 참고하도록 하는 방식입니다. 모델의 고정된 학습 지식만으로 답하지 않게 만들어 최신성/정확성을 보완합니다. 면접에서는 RAG가 파인튜닝과 어떻게 다른지 자주 비교합니다. 실무에서는 사내 문서, 정책, 매뉴얼 같은 지식베이스 QA에 많이 씁니다. 검색 품질이 낮으면 답 품질도 떨어지므로 검색 파이프라인이 중요합니다.		모델 파라미터를 추가로 학습해서 지식을 영구히 바꾸는 방식	FALSE	답변 전에 관련 문서를 검색해 그 내용을 기반으로 생성하는 방식	TRUE	네트워크 캐시를 사용해 요청을 빠르게 처리하는 방식	FALSE	SQL 조인을 최적화하는 방법	FALSE	ai	rag		
Q008	임베딩(Embedding)		AI / Data / Machine Learning - 자연어 처리(NLP)	76	CHOICE	EASY	RAG에서 임베딩(Embedding)이 주로 하는 역할은?	임베딩은 텍스트를 숫자 벡터로 바꿔 의미가 비슷한 문장끼리 가깝게 만들기 위한 표현입니다. RAG에서는 문서와 질문을 같은 벡터 공간에서 비교해 유사도를 계산합니다. 면접에서는 코사인 유사도 같은 기본 개념이 함께 등장할 수 있습니다. 실무에서는 임베딩 모델 선택과 문서 전처리가 검색 품질에 큰 영향을 줍니다. 또한 벡터 DB에 저장할 때 메타데이터 설계도 중요합니다.		텍스트를 이미지로 변환해 저장한다	FALSE	텍스트를 벡터로 변환해 의미 기반 검색이 가능하게 한다	TRUE	HTTP 응답을 압축한다	FALSE	DB에서 외래키를 생성한다	FALSE	ai	rag	nlp	
Q009	벡터 데이터베이스(Vector DB)		AI / Data / Machine Learning - AI 서비스 응용	80	CHOICE	EASY	RAG에서 벡터 데이터베이스(Vector DB)를 쓰는 가장 일반적인 이유는?	벡터 DB는 임베딩 벡터를 저장하고, 유사한 벡터를 빠르게 찾는 검색(최근접 이웃)을 지원합니다. RAG에서는 질문 벡터와 가까운 문서 조각을 찾는 과정이 핵심이라 성능이 중요합니다. 면접에서는 키워드 검색과 벡터 검색의 차이를 묻기도 합니다. 실무에서는 인덱스 종류(HNSW 등)와 리콜/지연의 트레이드오프를 고려합니다. 또한 접근 권한과 테넌트 분리 같은 보안 설계도 함께 봅니다.		관계형 데이터의 정규화를 자동으로 해준다	FALSE	임베딩 벡터 유사도 검색을 빠르게 수행하기 위해서	TRUE	GPU 메모리 사용량을 줄여주기 위해서	FALSE	모델 파라미터를 자동으로 학습시키기 위해서	FALSE	ai	rag		
Q010	청킹(Chunking)		AI / Data / Machine Learning - 데이터 전처리 및 파이프라인	78	CHOICE	EASY	RAG에서 문서를 청킹(Chunking)하는 주된 목적은?	청킹은 긴 문서를 적당한 길이의 조각으로 나누는 작업입니다. 검색 시 관련 부분만 정확히 찾아 컨텍스트에 넣기 쉽습니다. 면접에서는 청크 크기가 너무 크거나 작을 때의 문제를 질문할 수 있습니다. 실무에서는 문서 구조(제목/단락)를 반영해 청킹하면 품질이 좋아집니다. 또한 오버랩(겹침)을 줘서 문맥이 끊기는 문제를 완화하기도 합니다.		문서를 암호화하기 위해서	FALSE	긴 문서를 작은 조각으로 나눠 검색과 컨텍스트 주입을 쉽게 하려고	TRUE	모델의 파라미터 수를 줄이기 위해서	FALSE	SQL 인덱스를 생성하기 위해서	FALSE	ai	rag		
Q011	Top-k 검색		AI / Data / Machine Learning - AI 서비스 응용	80	CHOICE	EASY	RAG에서 Top-k 검색이 의미하는 것으로 가장 적절한 것은?	Top-k는 질문과 가장 유사한 문서 조각을 상위 k개 가져오는 개념으로 많이 사용됩니다. k가 너무 작으면 근거가 부족하고, 너무 크면 컨텍스트가 불필요하게 길어질 수 있습니다. 면접에서는 k 조절이 품질과 비용에 미치는 영향을 물을 수 있습니다. 실무에서는 k 이후에 재정렬(rerank)이나 필터링을 추가하기도 합니다. 결국 적절한 k는 데이터와 사용 시나리오에 따라 실험으로 찾는 경우가 많습니다.		상위 k개의 GPU를 자동으로 할당하는 기능	FALSE	유사도가 높은 문서 조각을 상위 k개 가져오는 검색 방식	TRUE	LLM이 생성할 문장 수를 k개로 제한하는 옵션	FALSE	데이터베이스에서 k개의 테이블을 조인하는 방법	FALSE	ai	rag		
Q012	파인튜닝(Fine-tuning)		AI / Data / Machine Learning - 대형 언어 모델(LLM)	77	CHOICE	EASY	파인튜닝(Fine-tuning)에 대한 설명으로 가장 올바른 것은?	파인튜닝은 기존 모델을 특정 데이터로 추가 학습해 원하는 스타일이나 작업 성능을 높이는 방법입니다. 프롬프트만으로 어려운 반복적 패턴이나 도메인 표현을 학습시키는 데 쓰입니다. 면접에서는 파인튜닝이 언제 유리한지와 비용/리스크를 함께 묻습니다. 실무에서는 데이터 품질이 낮으면 성능이 오히려 나빠질 수 있습니다. 또한 모델 업데이트/재학습 운영까지 고려해야 합니다.		검색 결과를 붙여서 답변하는 방식	FALSE	특정 데이터로 추가 학습해 모델의 출력 성향이나 성능을 조정하는 방식	TRUE	HTTP 캐시 만료 시간을 조정하는 방법	FALSE	데이터베이스 스키마를 변경하는 작업	FALSE	ai	finetuning	llm	
Q013	프롬프트 vs 파인튜닝		AI / Data / Machine Learning - 대형 언어 모델(LLM)	77	CHOICE	EASY	다음 중 보통 파인튜닝보다 프롬프트 개선으로 먼저 시도해볼 만한 상황은?	파인튜닝은 비용과 운영 부담이 있어 먼저 프롬프트/템플릿 개선을 시도하는 경우가 많습니다. 요구사항이 형식(출력 포맷)이나 지시 표현 수준이면 프롬프트로 해결되는 일이 많습니다. 면접에서는 왜 단계적으로 접근하는지 설명해보라고 합니다. 실무에서는 A-B 테스트로 프롬프트 효과를 검증한 뒤 파인튜닝을 결정합니다. 다만 프롬프트만으로는 안정성이 부족하면 파인튜닝을 고려합니다.		출력 JSON 형식을 일정하게 맞추고 싶다	TRUE	회사 내부 문서를 최신으로 반영해 답하고 싶다	FALSE	특정 도메인 스타일을 수천 번 반복해도 일관되게 내고 싶다	FALSE	새로운 전문 용어를 많이 학습시켜 모델 지식을 바꾸고 싶다	FALSE	ai	finetuning	llm	
