question_temp_key	term_title	term_id	term_category	term_category_id	question_type	difficulty	question_text	explanation	text_answer	choice_1_text	choice_1_is_answer	choice_2_text	choice_2_is_answer	choice_3_text	choice_3_is_answer	choice_4_text	choice_4_is_answer	label_1_key	label_2_key	label_3_key	label_4_key
Q001	동적 계획법(Dynamic Programming)		Data Structure & Algorithm - 기타 알고리즘	44	CHOICE	EASY	동적 계획법의 핵심 아이디어로 가장 적절한 것은?	동적 계획법은 큰 문제를 작은 부분 문제로 쪼개고, 부분 문제의 해를 저장해 중복 계산을 줄이는 방법입니다. 핵심은 같은 부분 문제가 반복되는 중복 부분 문제와 부분 문제의 최적해로 전체 최적해를 구성하는 최적 부분 구조입니다. 면접에서는 왜 DP가 필요한지와 어떤 조건에서 적용되는지 설명할 수 있어야 합니다. 실무에서는 상태 정의가 잘못되면 메모리와 시간이 급격히 증가하므로 상태 수를 먼저 추정하는 습관이 중요합니다. 또한 점화식과 기저 조건을 명확히 해야 디버깅이 쉬워집니다.		모든 경우를 전부 나열해서 답을 찾는다	FALSE	부분 문제 해를 저장해 중복 계산을 줄인다	TRUE	항상 정렬을 먼저 수행해야 한다	FALSE	매 단계에서 가장 큰 값을 고른다	FALSE	dsa	dp		
Q002	중복 부분 문제(Overlapping Subproblems)		Data Structure & Algorithm - 기타 알고리즘	44	CHOICE	EASY	DP가 특히 유용해지는 상황으로 가장 알맞은 것은?	DP는 동일한 부분 문제가 여러 경로로 반복해서 등장할 때 효과가 큽니다. 이때 결과를 메모이제이션이나 테이블로 저장하면 전체 계산량이 크게 줄어듭니다. 면접에서는 재귀 트리에서 같은 호출이 반복되는 예시를 들어 설명하는 경우가 많습니다. 실무에서는 캐시 키를 상태로 잡는데, 상태가 과도하게 크면 저장 자체가 병목이 될 수 있습니다. 그래서 상태를 최소화하는 설계가 중요합니다.		부분 문제가 서로 완전히 독립적인 경우	FALSE	같은 부분 문제가 반복해서 등장하는 경우	TRUE	입력이 이미 정렬되어 있는 경우	FALSE	항상 O1로 풀 수 있는 경우	FALSE	dsa	dp		
Q003	메모이제이션(Memoization)		Data Structure & Algorithm - 기타 알고리즘	44	CHOICE	EASY	메모이제이션에 대한 설명으로 가장 올바른 것은?	메모이제이션은 보통 탑다운 재귀 형태에서 부분 문제 결과를 저장해 재사용하는 기법입니다. 같은 상태가 다시 요청되면 저장된 값을 바로 반환해 시간을 절약합니다. 면접에서는 DP 구현을 탑다운으로 할지 바텀업으로 할지 장단점을 묻는 질문이 자주 나옵니다. 실무에서는 재귀 깊이가 커질 수 있으니 스택 오버플로우 위험을 고려해야 합니다. 또한 캐시 미스와 히트 조건이 정확한지 확인하는 것이 중요합니다.		계산 결과를 저장하지 않고 매번 다시 계산한다	FALSE	부분 문제 결과를 저장해 재사용한다	TRUE	항상 반복문으로만 구현한다	FALSE	정렬 알고리즘의 한 종류다	FALSE	dsa	dp		
Q004	테뷸레이션(Tabulation)		Data Structure & Algorithm - 기타 알고리즘	44	CHOICE	EASY	테뷸레이션 방식의 DP 특징으로 가장 알맞은 것은?	테뷸레이션은 바텀업 방식으로 작은 상태부터 테이블을 채워나가는 구현입니다. 재귀 호출 없이 반복문으로 구성되는 경우가 많아 스택 오버플로우 위험이 줄어듭니다. 면접에서는 초기값 설정과 테이블 채우는 순서가 왜 그 순서여야 하는지 설명하는지를 봅니다. 실무에서는 테이블 크기가 큰 경우 메모리 최적화가 필요해 1차원으로 줄이는 테크닉을 같이 씁니다. 또한 인덱스 범위 실수가 잦아 경계 조건을 꼼꼼히 체크해야 합니다.		큰 문제부터 재귀로 내려가며 푼다	FALSE	작은 문제부터 테이블을 채우며 푼다	TRUE	항상 백트래킹이 포함된다	FALSE	해시 충돌을 해결하는 방법이다	FALSE	dsa	dp		
Q005	상태(State) 정의		Data Structure & Algorithm - 기타 알고리즘	44	CHOICE	EASY	DP에서 상태를 정의할 때 가장 중요한 기준은?	상태는 부분 문제를 유일하게 식별할 수 있는 최소한의 정보 집합이어야 합니다. 상태가 부족하면 서로 다른 경우를 같은 상태로 합쳐 오답이 나고, 상태가 과하면 시간과 메모리가 폭증합니다. 면접에서는 예를 들어 dp[i]가 무엇을 의미하는지 한 문장으로 정의하라고 자주 묻습니다. 실무에서는 상태의 차원을 줄이는 리팩터링이 성능 개선의 핵심이 되는 경우가 많습니다. 따라서 상태 수와 전이 비용을 먼저 계산해보는 습관이 중요합니다.		상태는 최대한 많은 정보를 담을수록 좋다	FALSE	부분 문제를 구분할 최소 정보로 정의한다	TRUE	상태는 입력 전체를 그대로 저장해야 한다	FALSE	상태는 정렬 여부만 저장하면 된다	FALSE	dsa	dp		
Q006	점화식(Recurrence)		Data Structure & Algorithm - 기타 알고리즘	44	CHOICE	EASY	DP 점화식에 대한 설명으로 가장 적절한 것은?	점화식은 한 상태의 답을 더 작은 상태들의 답으로 표현한 관계식입니다. 점화식이 올바르면 계산 순서만 지키면 전체 답이 일관되게 도출됩니다. 면접에서는 전이 관계를 어떻게 도출했는지 논리 흐름을 설명하는 것이 중요합니다. 실무에서는 점화식을 코드로 옮길 때 인덱스와 조건 분기가 정확해야 버그가 줄어듭니다. 또한 점화식과 기저 조건이 함께 맞물려야 무한 루프나 미정의 접근을 피할 수 있습니다.		점화식은 정렬 순서를 의미한다	FALSE	큰 상태를 작은 상태로 연결하는 전이 관계다	TRUE	점화식은 항상 그리디 선택을 뜻한다	FALSE	점화식은 자료구조의 크기만 나타낸다	FALSE	dsa	dp		
Q007	기저 조건(Base Case)		Data Structure & Algorithm - 기타 알고리즘	44	CHOICE	EASY	DP에서 기저 조건이 중요한 이유로 가장 알맞은 것은?	기저 조건은 더 이상 쪼갤 수 없는 가장 작은 부분 문제의 정답을 제공해 전이의 출발점을 만듭니다. 기저 조건이 없거나 틀리면 점화식이 정상적으로 값을 채우지 못하고 오답으로 이어집니다. 면접에서는 피보나치처럼 간단한 예시로 base case를 정확히 말할 수 있어야 합니다. 실무에서는 배열 인덱스가 음수로 내려가거나 범위를 벗어나는 버그를 막는 안전장치 역할도 합니다. 따라서 초기값을 명확히 하고 경계 입력을 테스트하는 것이 중요합니다.		기저 조건은 성능에는 영향을 주지 않는다	FALSE	DP 계산이 시작될 초기값을 제공한다	TRUE	기저 조건은 항상 0으로만 둔다	FALSE	기저 조건이 있으면 그리디가 된다	FALSE	dsa	dp		
Q008	그리디 알고리즘(Greedy)		Data Structure & Algorithm - 기타 알고리즘	44	CHOICE	EASY	그리디 알고리즘의 특징으로 가장 올바른 것은?	그리디는 매 단계에서 현재 상황에서 최선이라고 보이는 선택을 하며 해를 구성합니다. 다만 이 선택이 전체 최적해를 보장하려면 그리디 선택 속성 같은 조건이 필요합니다. 면접에서는 왜 그 선택이 항상 최적인지 증명 아이디어를 설명하라고 자주 묻습니다. 실무에서는 그리디가 간단하고 빠르지만, 반례를 놓치면 틀린 결과를 내기 쉬워 검증이 중요합니다. 따라서 적용 전 문제의 구조를 먼저 분석하는 습관이 필요합니다.		모든 문제에서 항상 최적해를 보장한다	FALSE	매 단계에서 지역적으로 좋아 보이는 선택을 한다	TRUE	부분 문제 결과를 테이블에 저장한다	FALSE	반드시 재귀로만 구현한다	FALSE	dsa	greedy		
Q009	그리디 선택 속성(Greedy Choice Property)		Data Structure & Algorithm - 기타 알고리즘	44	CHOICE	EASY	그리디 선택이 정당화되려면 보통 무엇이 필요할까?	그리디가 맞으려면 지금의 선택이 이후 최적해 구성에 방해가 되지 않는다는 성질이 필요합니다. 이를 그리디 선택 속성이나 교환 논증으로 설명하는 경우가 많습니다. 면접에서는 반례가 없는 이유를 논리적으로 말하는지를 봅니다. 실무에서는 단순히 직감으로 선택 규칙을 정하면 케이스가 커질수록 오답이 늘어납니다. 그래서 작은 반례를 직접 만들어보며 검증하는 습관이 중요합니다.		선택 규칙을 증명 없이 외우면 된다	FALSE	현재 선택이 전체 최적해로 이어진다는 성질이 필요하다	TRUE	상태 정의를 3차원으로 늘리면 된다	FALSE	반드시 BFS를 먼저 수행해야 한다	FALSE	dsa	greedy		
Q010	회의실 배정(Interval Scheduling)		Data Structure & Algorithm - 기타 알고리즘	44	CHOICE	EASY	회의실 배정 문제에서 가장 널리 쓰이는 그리디 선택 기준은?	회의실 배정은 겹치지 않게 최대한 많은 회의를 선택하는 대표 그리디 문제입니다. 가장 빨리 끝나는 회의를 먼저 선택하면 이후에 더 많은 회의를 배치할 여지가 커집니다. 면접에서는 왜 시작 시간이 아니라 종료 시간이 기준인지 설명하는 질문이 자주 나옵니다. 실무에서도 스케줄링이나 자원 할당에서 비슷한 패턴이 반복됩니다. 정렬 기준을 정확히 잡는 것이 핵심입니다.		시작 시간이 가장 늦은 회의를 먼저 고른다	FALSE	종료 시간이 가장 빠른 회의를 먼저 고른다	TRUE	길이가 가장 긴 회의를 먼저 고른다	FALSE	임의로 하나 고르면 항상 최적이다	FALSE	dsa	greedy		
