question_temp_key	term_title	term_id	term_category	term_category_id	question_type	difficulty	question_text	explanation	text_answer	choice_1_text	choice_1_is_answer	choice_2_text	choice_2_is_answer	choice_3_text	choice_3_is_answer	choice_4_text	choice_4_is_answer	label_1_key	label_2_key	label_3_key	label_4_key
Q001	인증(Authentication)		Backend - 인증/인가	18	CHOICE	EASY	인증(Authentication)의 가장 기본적인 목적은 무엇인가?	인증은 사용자가 누구인지 확인하는 과정입니다. 아이디와 비밀번호, 토큰 등을 통해 신원을 검증합니다. 인가와 혼동하기 쉬우므로 차이를 구분하는 것이 중요합니다. 면접에서는 인증과 인가의 책임 범위를 자주 묻습니다.		사용자의 신원을 확인한다	TRUE	사용자의 권한을 제어한다	FALSE	데이터를 암호화한다	FALSE	서버 부하를 줄인다	FALSE	security	authentication	backend	
Q002	인가(Authorization)		Backend - 인증/인가	18	CHOICE	EASY	인가(Authorization)에 대한 설명으로 가장 올바른 것은?	인가는 인증된 사용자가 어떤 자원에 접근할 수 있는지를 결정합니다. 역할(Role)이나 권한(Permission)을 기준으로 동작합니다. 인증 이후 단계라는 점이 핵심입니다. 실무에서는 인증과 인가를 분리 설계하는 것이 중요합니다.		사용자의 신원을 확인한다	FALSE	접근 가능한 권한을 결정한다	TRUE	비밀번호를 암호화한다	FALSE	요청을 캐싱한다	FALSE	security	authentication	backend	
Q003	세션(Session)		Backend - 인증/인가	18	CHOICE	EASY	서버 세션 기반 인증의 특징으로 올바른 것은?	세션 인증은 서버가 사용자 상태를 저장합니다. 로그인 후 세션 ID를 쿠키로 전달하는 방식이 일반적입니다. 서버 확장 시 세션 관리가 부담이 될 수 있습니다. 이 점에서 토큰 방식과 비교 질문이 자주 나옵니다.		서버가 사용자 상태를 저장한다	TRUE	서버는 상태를 전혀 저장하지 않는다	FALSE	반드시 JWT를 사용해야 한다	FALSE	HTTPS가 필요 없다	FALSE	security	authentication	backend	
Q004	쿠키(Cookie)		Backend - 인증/인가	18	CHOICE	EASY	쿠키(Cookie)에 대한 설명으로 올바른 것은?	쿠키는 클라이언트에 저장되는 작은 데이터입니다. 세션 ID나 인증 정보를 담는 데 사용됩니다. 보안을 위해 HttpOnly, Secure 옵션 설정이 중요합니다. 면접에서는 쿠키와 세션 차이를 자주 묻습니다.		서버 메모리에만 저장된다	FALSE	클라이언트에 저장된다	TRUE	반드시 암호화되어야 한다	FALSE	DB에만 저장된다	FALSE	security	authentication	backend	
Q005	JWT(JSON Web Token)		Backend - 인증/인가	18	CHOICE	EASY	JWT의 특징으로 가장 적절한 것은?	JWT는 서명된 토큰으로 서버가 상태를 저장하지 않아도 됩니다. 토큰 자체에 정보가 담겨 있습니다. 위변조 방지를 위해 서명이 중요합니다. 토큰 탈취 위험도 함께 고려해야 합니다.		서버에 세션을 저장한다	FALSE	상태를 저장하지 않는 인증에 적합하다	TRUE	항상 암호화되어 있다	FALSE	DB 조회가 필수다	FALSE	security	authentication	backend	
Q006	HTTPS		Network - 보안 및 HTTPS	32	CHOICE	EASY	HTTPS를 사용하는 가장 큰 이유는 무엇인가?	HTTPS는 통신 내용을 암호화해 중간자 공격을 방지합니다. 인증서 기반으로 서버 신뢰성을 보장합니다. 로그인과 결제 화면에서는 필수입니다. 면접에서는 HTTP와 차이점을 자주 묻습니다.		요청 속도를 높이기 위해	FALSE	통신 내용을 암호화하기 위해	TRUE	서버 부하를 줄이기 위해	FALSE	쿠키를 제거하기 위해	FALSE	security	authentication	network	
Q007	비밀번호 해싱		Security - 암호화	55	CHOICE	EASY	비밀번호를 그대로 저장하지 않고 해싱하는 이유는?	해싱은 원문 복원이 어렵도록 합니다. DB 유출 시 피해를 줄이기 위한 핵심 보안 기법입니다. salt를 함께 사용하는 것이 일반적입니다. 실무 보안의 기본 중 기본입니다.		조회 성능을 높이기 위해	FALSE	보안을 강화하기 위해	TRUE	저장 공간을 줄이기 위해	FALSE	인증을 생략하기 위해	FALSE	security	authentication	backend	
Q008	OAuth		Security - 인증/인가	52	CHOICE	EASY	OAuth의 주요 목적은 무엇인가?	OAuth는 외부 서비스의 자원을 안전하게 접근하기 위한 표준입니다. 비밀번호를 직접 공유하지 않는 것이 핵심입니다. 소셜 로그인에서 자주 사용됩니다. 인증과 인가 흐름을 구분해 이해해야 합니다.		비밀번호를 암호화한다	FALSE	제3자 접근 권한을 위임한다	TRUE	세션을 관리한다	FALSE	DB를 보호한다	FALSE	security	authentication	backend	
Q009	Access Token		Backend - 인증/인가	18	CHOICE	EASY	Access Token의 주된 역할은 무엇인가?	Access Token은 API 요청 시 사용자 권한을 증명합니다. 유효기간이 짧은 것이 일반적입니다. 탈취 위험을 줄이기 위한 설계입니다. Refresh Token과 비교 질문이 자주 나옵니다.		사용자 비밀번호 저장	FALSE	API 접근 권한 증명	TRUE	DB 암호화	FALSE	로그 기록	FALSE	security	authentication	backend	
Q010	Refresh Token		Backend - 인증/인가	18	CHOICE	EASY	Refresh Token의 역할로 가장 적절한 것은?	Refresh Token은 만료된 Access Token을 재발급하는 데 사용됩니다. 비교적 긴 유효기간을 가집니다. 보관 위치와 폐기 전략이 중요합니다. 면접에서 보안 질문으로 자주 등장합니다.		권한 검사	FALSE	Access Token 재발급	TRUE	사용자 인증 생략	FALSE	요청 암호화	FALSE	security	authentication	backend	
