question_temp_key	term_title	term_id	term_category	term_category_id	question_type	difficulty	question_text	explanation	text_answer	choice_1_text	choice_1_is_answer	choice_2_text	choice_2_is_answer	choice_3_text	choice_3_is_answer	choice_4_text	choice_4_is_answer	label_1_key	label_2_key	label_3_key	label_4_key
Q001	스택(Stack)		Data Structure & Algorithm - 선형 구조	40	CHOICE	EASY	스택(Stack)의 동작 방식으로 가장 올바른 것은?	스택은 마지막에 넣은 데이터가 가장 먼저 나오는 LIFO 구조입니다. push로 넣고 pop으로 꺼내며, top에서만 접근하는 제한 덕분에 구현이 단순합니다. 면접에서는 LIFO 개념과 함께 대표 사용처를 묻는 경우가 많습니다. 실무에서는 호출 스택, undo, 괄호 검사처럼 되돌리기 흐름에 자주 씁니다. 큐(FIFO)와 혼동하지 않도록 입출력 방향을 함께 기억하는 것이 중요합니다.		먼저 들어온 데이터가 먼저 나간다	FALSE	마지막에 들어온 데이터가 먼저 나간다	TRUE	중간 위치의 데이터를 우선으로 꺼낸다	FALSE	임의 위치의 데이터를 항상 O1로 꺼낸다	FALSE	dsa	stack	linear	datastructure
Q002	스택(Stack)		Data Structure & Algorithm - 선형 구조	40	CHOICE	EASY	스택에서 push 연산의 의미로 올바른 것은?	push는 스택의 top 위치에 원소를 추가하는 연산입니다. 스택은 top에서만 삽입과 삭제가 일어나므로 흐름 제어에 적합합니다. 면접에서는 push와 pop의 정의를 정확히 구분하는지 확인합니다. 실무에서는 재귀 호출이나 상태 저장에서 push 동작이 자주 등장합니다. capacity 제한이 있는 구현에서는 overflow도 함께 고려해야 합니다.		top에 원소를 추가한다	TRUE	top의 원소를 제거한다	FALSE	가장 오래된 원소를 제거한다	FALSE	특정 인덱스에 원소를 삽입한다	FALSE	dsa	stack	linear	datastructure
Q003	스택(Stack)		Data Structure & Algorithm - 선형 구조	40	CHOICE	EASY	스택에서 pop 연산을 수행했을 때의 설명으로 올바른 것은?	pop은 스택의 top 원소를 제거하며 보통 그 값을 반환합니다. top에서만 삭제되기 때문에 동작이 직관적이고 예측 가능합니다. 면접에서는 빈 스택에서 pop을 하면 어떤 예외 상황이 되는지(underflow)를 자주 묻습니다. 실무에서는 입력 검증 없이 pop을 호출하면 런타임 오류가 날 수 있어 방어 로직이 필요합니다. peek과 pop의 차이도 함께 정리해두면 좋습니다.		top 원소를 제거하고 반환한다	TRUE	가장 아래 원소를 제거하고 반환한다	FALSE	큐의 front 원소를 제거한다	FALSE	임의의 원소를 정렬한 뒤 제거한다	FALSE	dsa	stack	linear	datastructure
Q004	스택(Stack)		Data Structure & Algorithm - 선형 구조	40	CHOICE	EASY	스택에서 peek 또는 top 연산의 의미로 가장 알맞은 것은?	peek(top)은 스택의 top 원소를 삭제하지 않고 조회하는 연산입니다. 데이터 구조 문제에서 상태를 확인할 때 자주 사용됩니다. 면접에서는 pop과의 차이를 묻거나, peek 사용 시 빈 스택 처리까지 연결 질문이 나옵니다. 실무에서는 조건 분기 전에 top 값을 확인해 안전하게 로직을 진행하는 패턴이 많습니다. 삭제 여부가 다르다는 점만 확실히 기억하면 실수 확률이 줄어듭니다.		top 원소를 제거하지 않고 확인한다	TRUE	top 원소를 제거한다	FALSE	가장 오래된 원소를 확인한다	FALSE	모든 원소의 합을 반환한다	FALSE	dsa	stack	linear	datastructure
Q005	스택(Stack)		Data Structure & Algorithm - 선형 구조	40	CHOICE	EASY	빈 스택에서 pop을 시도할 때 발생하는 상황으로 가장 올바른 것은?	빈 자료구조에서 삭제를 시도하면 underflow 상황이 됩니다. 스택에서는 pop이나 peek이 실패할 수 있으므로 예외 처리나 사전 검사(isEmpty)가 필요합니다. 면접에서는 overflow와 underflow를 구분할 수 있는지 자주 확인합니다. 실무에서는 입력 데이터가 불완전한 경우가 많아 방어 코드가 중요합니다. 특히 여러 스레드나 이벤트에서 스택을 공유하면 타이밍 이슈도 함께 고려해야 합니다.		underflow가 발생할 수 있다	TRUE	overflow가 발생한다	FALSE	항상 null을 반환하므로 안전하다	FALSE	자동으로 새 원소가 생성된다	FALSE	dsa	stack	linear	datastructure
Q006	스택(Stack)		Data Structure & Algorithm - 선형 구조	40	CHOICE	EASY	스택이 가장 잘 활용되는 예시로 올바른 것은?	스택은 되돌리기나 역순 처리에 강합니다. 괄호 검사처럼 최근 상태를 추적해야 하는 문제에서 전형적으로 쓰입니다. 면접에서는 스택 활용 사례를 1개 이상 말할 수 있어야 합니다. 실무에서는 undo/redo, 브라우저 뒤로가기, 함수 호출 스택 같은 형태로 자연스럽게 등장합니다. 문제에서 최근 항목을 반복적으로 처리하면 스택을 먼저 떠올리는 습관이 좋습니다.		괄호 문자열의 올바른 짝 검사	TRUE	레벨 순회(BFS)	FALSE	최단 경로 탐색(가중치 있음)	FALSE	해시 기반 키 조회	FALSE	dsa	stack	linear	datastructure
Q007	스택(Stack)		Data Structure & Algorithm - 선형 구조	40	CHOICE	EASY	스택을 배열로 구현할 때 top 인덱스가 가리키는 것으로 가장 알맞은 것은?	배열 기반 스택은 보통 top 인덱스로 마지막 원소 위치를 관리합니다. push 시 top을 증가시키고 값을 넣으며, pop 시 값을 꺼내고 top을 감소시킵니다. 면접에서는 top 초기값(-1 또는 0 등)과 경계 조건을 묻기도 합니다. 실무에서는 top 업데이트 순서 실수로 off-by-one 버그가 자주 발생합니다. empty/full 조건을 명확히 정의해두면 구현 안정성이 높아집니다.		현재 마지막 원소의 위치	TRUE	항상 첫 원소의 위치	FALSE	중간 원소의 위치	FALSE	정렬된 원소의 위치	FALSE	dsa	stack	linear	datastructure
Q008	큐(Queue)		Data Structure & Algorithm - 선형 구조	40	CHOICE	EASY	큐(Queue)의 동작 방식으로 가장 올바른 것은?	큐는 먼저 들어온 데이터가 먼저 나오는 FIFO 구조입니다. enqueue로 넣고 dequeue로 꺼내며 front와 rear를 관리합니다. 면접에서는 FIFO 특성과 대표 사용처(BFS, 작업 대기열)를 자주 묻습니다. 실무에서는 메시지 큐, 요청 처리 대기열, 버퍼링에 널리 사용됩니다. 스택(LIFO)과 반대로 동작한다는 점이 핵심입니다.		먼저 들어온 데이터가 먼저 나간다	TRUE	마지막에 들어온 데이터가 먼저 나간다	FALSE	중간 데이터가 먼저 나간다	FALSE	항상 가장 큰 값이 먼저 나간다	FALSE	dsa	queue	linear	datastructure
Q009	큐(Queue)		Data Structure & Algorithm - 선형 구조	40	CHOICE	EASY	큐에서 enqueue 연산의 의미로 올바른 것은?	enqueue는 큐의 rear(뒤) 쪽에 원소를 추가하는 연산입니다. 큐는 삽입과 삭제 위치가 다르기 때문에 흐름 제어에 유리합니다. 면접에서는 enqueue가 어디에 들어가는지(front인지 rear인지)를 물어보는 경우가 많습니다. 실무에서는 생산자 소비자 패턴에서 생산자가 enqueue를 수행합니다. 구현 시 rear 인덱스 갱신과 가득 참 처리까지 함께 고려하면 좋습니다.		rear에 원소를 추가한다	TRUE	front에서 원소를 제거한다	FALSE	top에 원소를 추가한다	FALSE	임의 위치에 원소를 삽입한다	FALSE	dsa	queue	linear	datastructure
Q010	큐(Queue)		Data Structure & Algorithm - 선형 구조	40	CHOICE	EASY	큐에서 dequeue 연산의 의미로 올바른 것은?	dequeue는 큐의 front(앞)에서 원소를 제거하고 보통 그 값을 반환합니다. FIFO 특성은 front에서 꺼낸다는 규칙으로 보장됩니다. 면접에서는 빈 큐에서 dequeue 시 underflow 가능성을 자주 묻습니다. 실무에서는 소비자가 dequeue를 수행하고, 처리 속도에 따라 큐 길이가 변합니다. front와 rear의 역할을 정확히 기억하면 구현 실수가 줄어듭니다.		front에서 원소를 제거하고 반환한다	TRUE	rear에서 원소를 제거한다	FALSE	top에서 원소를 제거한다	FALSE	모든 원소를 정렬한 뒤 제거한다	FALSE	dsa	queue	linear	datastructure
Q011	큐(Queue)		Data Structure & Algorithm - 선형 구조	40	CHOICE	EASY	큐에서 front가 가리키는 값으로 가장 알맞은 것은?	front는 다음에 dequeue될 원소를 가리키는 포인터 또는 인덱스입니다. FIFO 특성상 front는 가장 오래 기다린 원소를 의미합니다. 면접에서는 front와 rear의 의미를 구분하는 질문이 자주 나옵니다. 실무에서는 front 조회(peek)로 다음 처리 대상을 확인한 뒤 로직을 진행합니다. 상태가 비어 있을 때 front 접근을 막는 방어가 중요합니다.		다음에 제거될 원소	TRUE	가장 최근에 추가된 원소	FALSE	가장 큰 값의 원소	FALSE	임의로 선택된 원소	FALSE	dsa	queue	linear	datastructure
Q012	큐(Queue)		Data Structure & Algorithm - 선형 구조	40	CHOICE	EASY	큐가 가장 잘 활용되는 예시로 올바른 것은?	큐는 순서대로 처리해야 하는 작업에 적합합니다. BFS처럼 가까운 순서대로 방문하는 알고리즘에서 표준적으로 사용됩니다. 면접에서는 BFS가 왜 큐를 쓰는지 설명할 수 있어야 합니다. 실무에서는 작업 큐, 이벤트 큐, 프린터 대기열 같은 형태로 등장합니다. 순서 보장이 중요한 상황이라면 큐를 먼저 떠올리면 좋습니다.		그래프의 너비 우선 탐색(BFS)	TRUE	재귀 함수 호출 관리	FALSE	뒤집기(역순 출력)	FALSE	우선순위 기반 처리	FALSE	dsa	queue	linear	datastructure
Q013	원형 큐(Circular Queue)		Data Structure & Algorithm - 선형 구조	40	CHOICE	EASY	원형 큐(Circular Queue)를 사용하는 주된 이유로 가장 알맞은 것은?	원형 큐는 배열 기반 큐에서 공간 낭비를 줄이기 위해 사용합니다. front와 rear가 배열 끝에 도달하면 처음으로 돌아가 재사용하는 방식입니다. 면접에서는 왜 단순 배열 큐에서 비효율이 생기는지 연결 질문이 나옵니다. 실무에서는 고정 크기 버퍼(링 버퍼)로 많이 쓰이며 성능이 안정적입니다. 다만 full과 empty 조건이 헷갈리기 쉬워 구현 규칙을 명확히 해야 합니다.		배열 공간을 재사용해 낭비를 줄인다	TRUE	항상 정렬 상태를 유지한다	FALSE	LIFO 동작을 구현한다	FALSE	모든 연산을 OlogN으로 만든다	FALSE	dsa	queue	linear	datastructure
Q014	큐(Queue)		Data Structure & Algorithm - 선형 구조	40	CHOICE	EASY	빈 큐에서 dequeue를 시도할 때 가장 올바른 설명은?	빈 자료구조에서 삭제를 시도하면 underflow 상황이 될 수 있습니다. 큐에서도 dequeue나 front 조회는 실패 가능성이 있으므로 체크가 필요합니다. 면접에서는 예외 처리 방식이나 반환 규약을 물어볼 수 있습니다. 실무에서는 입력 폭주나 소비 지연으로 상태가 변동되므로 안정 장치가 중요합니다. 멀티스레드 환경에서는 동기화까지 고려해야 합니다.		underflow가 발생할 수 있다	TRUE	overflow가 발생한다	FALSE	항상 0을 반환한다	FALSE	rear가 자동으로 증가한다	FALSE	dsa	queue	linear	datastructure
