question_temp_key (필수)	term_title (표시용)	term_id (선택)	term_category (표시용)	term_category_id (선택)	question_type (필수)	difficulty (필수)	question_text (필수)	explanation (선택)	text_answer (TEXT일 때 필수)	choice_1_text	choice_1_is_answer	choice_2_text	choice_2_is_answer	choice_3_text	choice_3_is_answer	choice_4_text	choice_4_is_answer	label_1_key (선택)	label_2_key (선택)	label_3_key (선택)	label_4_key (선택)
Q001	대체 텍스트(Alt Text)		Frontend - Web Accessibility	16	CHOICE	EASY	이미지 접근성을 위해 가장 올바른 방법은?	alt 속성은 스크린 리더가 이미지를 설명할 수 있게 하는 핵심 정보입니다. 이미지가 로딩되지 않을 때도 대체 문구로 표시됩니다. 면접에서는 alt를 언제 비워야 하는지도 자주 묻습니다. 실무에서는 의미 있는 이미지는 내용을 요약하고 장식용 이미지는 빈 alt로 처리합니다. 파일명이나 url 같은 의미 없는 텍스트를 넣는 것은 피해야 합니다.		img에 title만 넣는다	FALSE	img에 alt로 의미를 설명한다	TRUE	img에 border를 추가한다	FALSE	img를 div 배경으로만 넣는다	FALSE	frontend	accessibility	a11y	html
Q002	장식용 이미지(Empty Alt)		Frontend - Web Accessibility	16	CHOICE	EASY	장식용 이미지에 가장 적절한 alt 처리로 맞는 것은?	장식용 이미지는 정보 전달이 목적이 아니므로 스크린 리더가 읽지 않게 하는 것이 좋습니다. 이때 alt를 빈 문자열로 두면 보조기기가 이미지를 건너뜁니다. alt를 생략하면 파일명 등을 읽는 경우가 있어 더 혼란스럽습니다. 면접에서는 alt를 비우는 이유를 설명하는지 봅니다. 실무에서는 아이콘과 텍스트가 함께 있을 때도 중복 읽기 방지가 중요합니다.		alt를 파일명으로 채운다	FALSE	alt를 빈 문자열로 둔다	TRUE	alt를 길게 상세히 작성한다	FALSE	alt 대신 style만 지정한다	FALSE	frontend	accessibility	a11y	html
Q003	폼 레이블(Label)		Frontend - Web Accessibility	16	CHOICE	EASY	입력창 접근성을 위해 가장 권장되는 방식은?	label은 폼 컨트롤의 이름을 제공해 스크린 리더와 클릭 타깃을 개선합니다. placeholder는 입력 예시일 뿐 이름을 대체하지 못합니다. label과 input을 for와 id로 연결하면 클릭해도 포커스가 이동합니다. 면접에서는 label을 왜 써야 하는지, placeholder만 쓰면 왜 문제인지가 단골입니다. 실무에서는 폼 자동완성과 오류 안내에도 label이 기반이 됩니다.		placeholder만 제공한다	FALSE	label을 input과 연결한다	TRUE	input의 width를 늘린다	FALSE	input에 div를 감싼다	FALSE	frontend	accessibility	a11y	html
Q004	버튼 요소(Button Element)		Frontend - Web Accessibility	16	CHOICE	EASY	클릭 가능한 UI를 만들 때 가장 접근성에 좋은 기본 선택은?	button은 키보드 조작과 기본 역할이 브라우저에 내장된 시맨틱 요소입니다. div에 onClick만 붙이면 키보드 엔터 스페이스 동작이나 역할이 빠질 수 있습니다. 면접에서는 div 버튼을 쓰면 어떤 문제가 생기는지 묻습니다. 실무에서는 버튼에 disabled, aria 속성 등도 표준으로 붙이기 쉽습니다. 가능하면 div 대신 button을 먼저 고려하는 습관이 중요합니다.		div에 onClick을 단다	FALSE	span에 cursor pointer를 준다	FALSE	button 요소를 사용한다	TRUE	img를 클릭 영역으로 쓴다	FALSE	frontend	accessibility	a11y	html
Q005	링크 텍스트(Link Text)		Frontend - Web Accessibility	16	CHOICE	EASY	접근성 관점에서 더 좋은 링크 텍스트는 무엇인가?	링크 텍스트는 목적을 스스로 설명해야 합니다. 여기 클릭 같은 문구는 스크린 리더 링크 목록에서 의미가 사라집니다. 면접에서는 좋은 링크 텍스트 예시를 자주 요구합니다. 실무에서는 동일한 여기 클릭이 여러 개면 사용자에게 혼란을 줍니다. 링크 주변 문맥을 포함해도 되지만 링크 자체가 최대한 명확해야 합니다.		여기 클릭	FALSE	자세히 보기	FALSE	2025 접근성 가이드 다운로드	TRUE	링크	FALSE	frontend	accessibility	a11y	html
Q006	키보드 접근성(Keyboard Navigation)		Frontend - Web Accessibility	16	CHOICE	EASY	키보드만으로도 사용 가능하도록 만들 때 가장 중요한 원칙은?	모든 주요 기능은 마우스 없이도 수행 가능해야 합니다. 탭 이동과 엔터 스페이스 조작이 자연스럽게 동작해야 합니다. 면접에서는 키보드 접근성을 어떻게 테스트하는지 묻기도 합니다. 실무에서는 커스텀 컴포넌트에서 포커스 이동이 끊기는 문제가 자주 발생합니다. 최소 기준은 탭으로 이동 가능하고 포커스가 보이는 것입니다.		마우스 이벤트만 구현한다	FALSE	키보드 탭 이동과 조작을 지원한다	TRUE	애니메이션을 많이 넣는다	FALSE	화면을 더 크게 만든다	FALSE	frontend	accessibility	a11y	html
Q007	포커스 표시(Focus Indicator)		Frontend - Web Accessibility	16	CHOICE	EASY	키보드 사용자에게 중요한 CSS 처리로 가장 적절한 것은?	포커스 표시가 있어야 현재 위치를 알 수 있어 키보드 탐색이 가능합니다. outline을 무조건 none으로 제거하면 접근성이 크게 떨어집니다. 면접에서는 outline 제거가 왜 위험한지 질문이 나옵니다. 실무에서는 디자인 이유로 제거하더라도 대체 포커스 스타일을 반드시 제공해야 합니다. 포커스가 보이지 않으면 사용자는 화면에서 길을 잃습니다.		outline none만 적용한다	FALSE	포커스가 보이도록 스타일을 제공한다	TRUE	hover만 강조한다	FALSE	active만 강조한다	FALSE	frontend	accessibility	a11y	css
Q008	제목 구조(Headings)		Frontend - Web Accessibility	16	CHOICE	EASY	제목 태그 사용에 대한 설명으로 가장 올바른 것은?	h1부터 h6는 문서 구조를 나타내는 시맨틱 요소입니다. 크기만 키우려고 heading을 쓰면 구조가 왜곡됩니다. 면접에서는 heading 순서를 왜 지켜야 하는지 물어봅니다. 실무에서는 스크린 리더가 heading 탐색으로 빠르게 이동하기 때문에 정보 구조가 중요합니다. h1을 여러 개 쓰는 것보다 논리적 계층이 더 중요합니다.		제목은 글자 크기라서 아무 h 태그나 써도 된다	FALSE	제목은 문서 구조를 반영해 계층적으로 사용한다	TRUE	heading은 div로 대체해야 한다	FALSE	heading은 CSS로만 만든다	FALSE	frontend	accessibility	a11y	html
Q009	문서 언어(lang)		Frontend - Web Accessibility	16	CHOICE	EASY	화면 낭독 품질을 위해 HTML에 권장되는 설정은?	lang 속성은 스크린 리더가 발음 규칙과 언어 모델을 선택하는 데 사용됩니다. 문서 기본 언어를 html 태그에 설정하는 것이 일반적입니다. 면접에서는 lang 누락 시 어떤 문제가 생기는지 질문이 나옵니다. 실무에서는 한국어 페이지에 lang가 없으면 영어 발음처럼 읽히는 문제가 생길 수 있습니다. 다국어 구간에는 부분적으로 lang를 지정하는 것도 중요합니다.		html 태그에 lang를 지정한다	TRUE	body 태그에 width를 지정한다	FALSE	meta 태그에 color를 지정한다	FALSE	script에 type을 생략한다	FALSE	frontend	accessibility	a11y	html
Q010	ARIA 기본(ARIA)		Frontend - Web Accessibility	16	CHOICE	EASY	ARIA에 대한 설명으로 가장 올바른 것은?	ARIA는 시맨틱 정보가 부족한 경우 보조기기에 역할과 상태를 전달하는 속성 집합입니다. 하지만 가능한 한 네이티브 HTML 요소를 먼저 쓰는 것이 원칙입니다. 면접에서는 ARIA를 남용하면 왜 문제인지 묻습니다. 실무에서는 role button을 div에 주기보다 button을 쓰는 편이 안전합니다. ARIA는 최후의 수단에 가깝다는 점이 핵심입니다.		ARIA는 HTML을 완전히 대체한다	FALSE	ARIA는 보조기기에 의미를 전달하지만 네이티브 요소가 우선이다	TRUE	ARIA는 CSS 속성이다	FALSE	ARIA는 서버에서만 쓴다	FALSE	frontend	accessibility	a11y	html
