question_temp_key (필수)	term_title (표시용)	term_id (선택)	term_category (표시용)	term_category_id (선택)	question_type (필수)	difficulty (필수)	question_text (필수)	explanation (선택)	text_answer (TEXT일 때 필수)	choice_1_text	choice_1_is_answer	choice_2_text	choice_2_is_answer	choice_3_text	choice_3_is_answer	choice_4_text	choice_4_is_answer	label_1_key (선택)	label_2_key (선택)	label_3_key (선택)	label_4_key (선택)
Q001	스코프(Scope)		Frontend - JavaScript	12	CHOICE	EASY	var, let, const의 스코프 특성으로 가장 올바른 설명은?	var는 함수 스코프이고 let과 const는 블록 스코프입니다. 면접에서 자주 나오는 포인트는 블록 스코프가 for, if 같은 블록 단위로 생명주기를 제한해 버그를 줄인다는 점입니다.		var는 블록 스코프이다	FALSE	var는 함수 스코프이고 let과 const는 블록 스코프이다	TRUE	let은 함수 스코프이고 const는 블록 스코프이다	FALSE	let과 const는 호이스팅이 발생하지 않는다	FALSE	frontend	javascript		
Q002	호이스팅(Hoisting)		Frontend - JavaScript	12	CHOICE	MEDIUM	호이스팅에 대한 설명으로 가장 정확한 것은?	선언이 코드 상단으로 이동하는 것처럼 보이는 현상을 호이스팅이라고 합니다. 함수 선언문은 전체가 호이스팅되지만, let과 const는 TDZ 영향으로 선언 전 접근 시 에러가 발생합니다. 실무에서는 선언 위치와 초기화 시점을 명확히 두는 습관이 중요합니다.		var는 선언과 초기화가 모두 호이스팅된다	FALSE	함수 선언문은 정의까지 호이스팅되어 호출이 가능할 수 있다	TRUE	let과 const는 호이스팅이 아예 발생하지 않는다	FALSE	호이스팅은 런타임에만 일어나며 파싱 단계와 무관하다	FALSE	frontend	javascript		
Q003	클로저(Closure)		Frontend - JavaScript	12	CHOICE	MEDIUM	클로저에 대한 설명으로 가장 올바른 것은?	클로저는 외부 함수의 실행이 끝나도 내부 함수가 외부 스코프 변수를 참조할 수 있는 특성입니다. 면접에서는 메모리 관점(참조 유지), 캡슐화 구현, 이벤트 핸들러/비동기 콜백에서의 활용을 함께 설명하는 게 좋습니다.		함수가 실행되면 지역 변수는 항상 즉시 해제된다	FALSE	내부 함수가 외부 함수 스코프의 변수를 참조할 수 있는 구조다	TRUE	클로저는 클래스에서만 사용할 수 있다	FALSE	클로저는 this 바인딩을 고정하는 기능이다	FALSE	frontend	javascript		
Q004	this		Frontend - JavaScript	12	CHOICE	MEDIUM	this 바인딩 규칙 중 가장 일반적으로 맞는 설명은?	this는 호출 방식에 따라 달라집니다. 메서드 호출, 일반 함수 호출, 생성자 호출, 명시적 바인딩(call/apply/bind) 규칙을 구분하는 것이 핵심입니다. 실무에서는 콜백으로 넘길 때 this가 깨지는 문제가 자주 발생합니다.		this는 항상 함수를 정의한 객체를 가리킨다	FALSE	this는 호출 방식에 따라 달라질 수 있다	TRUE	화살표 함수의 this는 호출 시점에 동적으로 결정된다	FALSE	strict mode에서는 this가 항상 window다	FALSE	frontend	javascript		
Q005	화살표 함수(Arrow Function)		Frontend - JavaScript	12	CHOICE	EASY	화살표 함수(arrow function)의 특징으로 올바른 것은?	화살표 함수는 자체 this를 가지지 않고 외부 스코프의 this를 그대로 사용합니다. 또한 arguments 객체가 없고, 생성자 함수로 사용할 수 없습니다. 실무에서 콜백 작성 시 this 이슈를 줄이는 데 유용합니다.		화살표 함수는 new로 인스턴스 생성이 가능하다	FALSE	화살표 함수는 자신만의 this를 바인딩하지 않는다	TRUE	화살표 함수는 함수 선언문만 가능하다	FALSE	화살표 함수는 항상 비동기 함수다	FALSE	frontend	javascript		
Q006	프로토타입(Prototype)		Frontend - JavaScript	12	CHOICE	MEDIUM	프로토타입 기반 상속에 대한 설명으로 가장 맞는 것은?	JavaScript는 프로토타입 체인을 통해 속성을 탐색합니다. 객체에 없는 프로퍼티를 접근하면 [[Prototype]] 체인을 따라 올라가며 찾습니다. 실무에서는 클래스 문법도 결국 프로토타입을 감싼 문법 설탕이라는 점을 이해하면 디버깅에 유리합니다.		클래스가 없어서 상속을 할 수 없다	FALSE	프로퍼티 탐색은 프로토타입 체인을 따라 진행된다	TRUE	프로토타입은 오직 함수에만 존재하며 객체에는 없다	FALSE	프로토타입 체인은 순환 구조가 허용된다	FALSE	frontend	javascript		
Q007	이벤트 루프(Event Loop)		Frontend - JavaScript	12	CHOICE	HARD	이벤트 루프(Event Loop) 관점에서 올바른 설명은?	JS 런타임은 콜 스택, 태스크 큐(매크로태스크), 마이크로태스크 큐 등을 통해 비동기를 처리합니다. 일반적으로 마이크로태스크(Promise then 등)가 매크로태스크(setTimeout 등)보다 우선 처리됩니다. 면접에서는 순서 예시를 함께 설명하면 좋습니다.		setTimeout 콜백은 마이크로태스크로 처리된다	FALSE	Promise then 콜백은 마이크로태스크로 처리되는 경우가 많다	TRUE	콜 스택이 비어 있어도 콜백은 동시에 실행된다	FALSE	이벤트 루프는 멀티스레드로 JS 코드를 병렬 실행한다	FALSE	frontend	javascript		
Q008	프로미스(Promise)		Frontend - JavaScript	12	CHOICE	MEDIUM	Promise 상태(state)에 대한 설명으로 올바른 것은?	Promise는 pending에서 시작해 fulfilled 또는 rejected로 한 번만 전이됩니다. 실무에서는 then 체이닝, catch 처리, finally의 사용 목적을 구분하고, 에러 전파 흐름을 이해하는 것이 중요합니다.		pending 상태는 성공 또는 실패로 전이될 수 있다	TRUE	fulfilled 상태에서 다시 pending으로 돌아갈 수 있다	FALSE	rejected 상태는 catch로 잡으면 자동으로 fulfilled가 된다	FALSE	Promise는 동기적으로만 실행된다	FALSE	frontend	javascript		
Q009	async await		Frontend - JavaScript	12	CHOICE	MEDIUM	async/await의 동작에 대한 설명으로 가장 맞는 것은?	async 함수는 항상 Promise를 반환합니다. await는 Promise가 해결될 때까지 해당 async 함수의 실행을 일시 중단하는 형태로 보이지만, 런타임 전체를 멈추는 것은 아닙니다. 실무에서는 try catch로 예외 처리 흐름을 명확히 잡는 것이 중요합니다.		async 함수는 항상 Promise를 반환한다	TRUE	await는 전체 프로그램 실행을 완전히 멈춘다	FALSE	await는 Promise가 아니면 항상 에러를 던진다	FALSE	async는 콜백 지옥을 악화시킨다	FALSE	frontend	javascript		
Q010	타입 강제 변환(Type Coercion)		Frontend - JavaScript	12	CHOICE	EASY	동등 비교에서 0 == false 가 true가 되는 주요 이유는?	이중 등호는 타입 변환을 동반하는 느슨한 비교입니다. 0과 false는 비교 과정에서 타입 강제 변환이 일어나 true가 될 수 있습니다. 실무에서는 예측 불가능한 버그를 막기 위해 === 사용을 기본으로 권장합니다.		#ERROR!	FALSE	#ERROR!	TRUE	#ERROR!	FALSE	0과 false는 절대 같을 수 없다	FALSE	frontend	javascript		
