question_temp_key	term_title	term_id	term_category	term_category_id	question_type	difficulty	question_text	explanation	text_answer	choice_1_text	choice_1_is_answer	choice_2_text	choice_2_is_answer	choice_3_text	choice_3_is_answer	choice_4_text	choice_4_is_answer	label_1_key	label_2_key	label_3_key	label_4_key
Q001	빅오 표기법(Big-O)		Data Structure & Algorithm - 복잡도 분석	45	CHOICE	EASY	빅오 표기법의 주된 목적은 무엇인가?	빅오 표기법은 입력 크기 n이 커질 때 연산량이 어떻게 증가하는지(성장률)를 표현해, 알고리즘을 “확장성 관점”에서 비교하게 해줍니다. 그래서 상수 계수나 하위 항을 제거하고, 지배항만 남겨 큰 입력에서의 추세를 봅니다. 면접에서는 “왜 정확한 시간이 아니라 성장률을 보나”를 자주 묻는데, 하드웨어/언어/환경이 달라도 비교 기준을 유지하기 위해서입니다. 실무에서는 데이터가 커졌을 때 병목이 어디서 폭발할지 예측하고, 최악 상황에서도 안전한 선택을 하기 위한 도구로 씁니다.		실행 시간을 정확한 밀리초로 측정한다	FALSE	입력 크기에 따른 시간 증가 추세를 표현한다	TRUE	메모리 사용량만 분석한다	FALSE	코드 길이를 비교한다	FALSE	dsa	big_o		
Q002	상수 시간(Constant Time)		Data Structure & Algorithm - 복잡도 분석	45	CHOICE	EASY	입력 크기와 무관하게 항상 일정한 시간 복잡도는?	입력 크기 n이 커져도 연산 횟수가 늘지 않으면 O(1)(상수 시간)입니다. 배열의 인덱스 접근처럼 주소 계산으로 바로 접근 가능한 연산이 대표적 예입니다. 다만 O(1)이 “항상 매우 빠르다”는 뜻은 아니고, 입력에 비례해 늘지 않는다는 의미입니다. 실무에서는 O(1) 연산을 많이 반복하면 전체는 O(n)처럼 커질 수 있으니 “단일 연산”과 “전체 작업”을 구분하는 습관이 중요합니다.		O1	TRUE	O(log n)	FALSE	O(n)	FALSE	O(n^2)	FALSE	dsa	big_o		
Q003	선형 시간(Linear Time)		Data Structure & Algorithm - 복잡도 분석	45	CHOICE	EASY	데이터 개수에 비례해 실행 시간이 증가하는 시간 복잡도는?	입력 크기 n에 비례해 처리량이 늘어나면 O(n)(선형 시간)입니다. 예를 들어 배열을 한 번 끝까지 순회하며 합계/최댓값을 구하면 각 원소를 한 번씩 보므로 O(n)입니다. 면접에서는 “왜 O(n)인지”를 연산 횟수로 설명할 수 있어야 합니다. 실무에서는 데이터가 커질수록 처리 시간이 직관적으로 늘어나기 때문에, 캐시/인덱스/프리컴퓨팅으로 선형 구간을 줄이려는 시도가 자주 나옵니다.		O1	FALSE	O(n)	TRUE	O(log n)	FALSE	O(1/n)	FALSE	dsa	big_o		
Q004	로그 시간(Logarithmic Time)		Data Structure & Algorithm - 복잡도 분석	45	CHOICE	EASY	이진 탐색의 평균 시간 복잡도는?	이진 탐색은 매 단계마다 탐색 범위를 절반으로 줄이므로 평균적으로 O(log n)입니다. 실제로는 평균뿐 아니라 최악도 O(log n)으로 동일하게 보는 경우가 많습니다(정렬된 배열에서의 표준 이진 탐색). 면접에서는 “왜 로그가 나오나”를 ‘반으로 줄이는 횟수’로 설명하는지 확인합니다. 실무에서는 정렬이라는 전제와, 정렬 비용까지 포함하면 전체 비용이 달라질 수 있다는 점을 같이 고려해야 합니다.		O(n)	FALSE	O(log n)	TRUE	O(n log n)	FALSE	O(n^2)	FALSE	dsa	big_o		
Q005	이차 시간(Quadratic Time)		Data Structure & Algorithm - 복잡도 분석	45	CHOICE	EASY	중첩된 이중 반복문이 일반적으로 가지는 시간 복잡도는?	외부 루프가 n번 돌고, 매번 내부 루프가 n번 돈다면 총 연산은 n×n이라 O(n^2)입니다. 버블 정렬 같은 단순 정렬이 대표적 예시입니다. 다만 “이중 루프 = 무조건 O(n^2)”는 아니고, 내부 루프가 상수 번만 돌거나 조건에 따라 총합이 줄어들 수 있습니다. 면접에서는 “정말 매번 n번 도는지”를 확인하는 분석 습관을 중요하게 봅니다.		O(n)	FALSE	O(n log n)	FALSE	O(n^2)	TRUE	O(log n)	FALSE	dsa	big_o		
Q006	최악 시간 복잡도(Worst Case)		Data Structure & Algorithm - 복잡도 분석	45	CHOICE	EASY	알고리즘 분석에서 가장 자주 기준으로 삼는 경우는?	보통 최악 시간 복잡도를 기준으로 많이 말합니다. 최악은 “가능한 입력 중 가장 불리한 경우의 상한”이라서 성능 보장과 안정성을 논의하기에 적합합니다. 면접에서는 평균/최선보다 최악을 더 자주 쓰는 이유를 SLA, p99 지연, 장애 예방과 연결해 설명하면 좋습니다. 실무에서도 외부 입력은 분포가 흔들릴 수 있어 최악 리스크를 반드시 체크하는 게 책임 있는 접근입니다.		최선 경우	FALSE	평균 경우	FALSE	최악 경우	TRUE	임의 경우	FALSE	dsa	responsible_time_complexity		
Q007	평균 시간 복잡도(Average Case)		Data Structure & Algorithm - 복잡도 분석	45	CHOICE	EASY	평균 시간 복잡도의 특징으로 올바른 설명은?	평균 시간 복잡도는 입력 전반에 대한 평균 성능이지만, 입력 분포 가정이 필요해서 해석이 까다롭습니다. “랜덤 입력” 같은 가정이 깨지면 평균이 의미 없거나 최악이 자주 발생할 수도 있습니다. 면접에서는 평균을 말할 때 “어떤 분포를 가정했는지”까지 함께 말하는지 봅니다. 실무에서는 데이터 분포를 알고 있고 안정적일 때 평균이 유용하지만, 서비스 안정성 관점에서는 최악과 함께 봐야 합니다.		항상 최악보다 크다	FALSE	모든 입력의 평균 성능이다	TRUE	입력 크기와 무관하다	FALSE	상수 시간만 의미한다	FALSE	dsa	responsible_time_complexity		
Q008	공간 복잡도(Space Complexity)		Data Structure & Algorithm - 복잡도 분석	45	CHOICE	EASY	공간 복잡도는 무엇을 의미하는가?	공간 복잡도는 알고리즘이 실행 중 사용하는 추가 메모리의 규모를 말합니다(입력 자체 제외). 보조 배열, 해시 테이블 같은 자료구조뿐 아니라 재귀 호출 스택도 포함될 수 있습니다. 면접에서는 시간-공간 트레이드오프(시간 줄이려고 메모리 늘리기)를 자주 묻습니다. 실무에서는 메모리 증가는 GC 부담, 캐시 효율, OOM 위험으로 이어질 수 있어 “빠르지만 터지는 설계”가 되지 않도록 균형이 중요합니다.		실행 시간	FALSE	메모리 사용량	TRUE	코드 길이	FALSE	CPU 클럭	FALSE	dsa	big_o		
Q009	입력 크기(n)		Data Structure & Algorithm - 복잡도 분석	45	CHOICE	EASY	시간 복잡도 분석에서 n이 의미하는 것은?	n은 보통 입력 크기를 뜻하지만, 문제에 따라 의미가 달라질 수 있습니다. 배열은 원소 개수, 문자열은 길이, 그래프는 정점 수 V와 간선 수 E처럼 축이 여러 개일 수 있습니다. 면접에서는 “n을 어떻게 정의하냐”를 먼저 물어보는 습관을 높게 평가합니다. 실무에서도 입력 축을 정확히 정의해야 병목 지점을 제대로 찾고 성능을 과소평가하지 않습니다.		실행 횟수	FALSE	입력 데이터의 크기	TRUE	메모리 주소	FALSE	함수 개수	FALSE	dsa	big_o		
Q010	상수 제거(Constant Drop)		Data Structure & Algorithm - 복잡도 분석	45	CHOICE	EASY	빅오 표기법에서 상수를 제거하는 이유는?	빅오는 “큰 입력에서의 성장률”이 목적이라 상수 계수는 지배항에 비해 영향이 줄어듭니다. 그래서 O(5n)과 O(n)은 같은 차수로 묶어 비교합니다. 면접에서는 이 이유를 “성장률 비교, 환경 독립 비교”로 설명하는지 봅니다. 다만 실무에서는 상수 차이가 실제 체감 성능을 좌우할 수 있으니, 빅오로 후보를 좁힌 뒤 벤치마크로 결론 내는 흐름이 안전합니다.		계산을 단순화하기 위해	TRUE	상수가 없기 때문	FALSE	컴파일 오류 방지	FALSE	메모리 절약을 위해	FALSE	dsa	big_o		
