question_temp_key	term_title	term_id	term_category	term_category_id	question_type	difficulty	question_text	explanation	text_answer	choice_1_text	choice_1_is_answer	choice_2_text	choice_2_is_answer	choice_3_text	choice_3_is_answer	choice_4_text	choice_4_is_answer	label_1_key	label_2_key	label_3_key	label_4_key
Q001	양자화(Quantization)		AI / Data / Machine Learning - AI 서비스 응용	80	CHOICE	EASY	모델 양자화의 가장 일반적인 목적은?	양자화는 모델의 가중치나 활성값을 FP32 같은 고정밀 대신 INT8 같은 저정밀로 표현해 메모리 사용량과 연산 비용을 줄이는 기법입니다. 하드웨어가 INT8 연산을 잘 지원하면 추론 속도와 처리량이 함께 좋아질 수 있습니다. 다만 정밀도를 낮추면 정확도 저하가 생길 수 있어 캘리브레이션이나 QAT 같은 보완이 필요합니다. 면접에서는 “왜 빨라지는지”를 메모리 대역폭과 연산량 관점으로 설명할 수 있어야 합니다. 실무에서는 목표 디바이스에서 실제로 INT8 경로가 활성화되는지(커널, 런타임, 그래프 최적화)를 반드시 확인합니다.		모델 파라미터를 더 큰 정밀도로 바꿔 정확도를 올린다	FALSE	모델 메모리 사용량과 연산 비용을 줄여 추론을 빠르게 한다	TRUE	데이터 증강을 통해 일반화를 높인다	FALSE	모델을 더 깊게 만들어 표현력을 늘린다	FALSE	ai	performance_optimization	acceleration	inference
Q002	혼합 정밀도(Mixed Precision)		AI / Data / Machine Learning - 딥러닝 기초	72	CHOICE	EASY	혼합 정밀도 학습/추론에서 흔히 사용하는 조합으로 가장 적절한 것은?	혼합 정밀도는 일부 연산을 FP16/BF16 같은 저정밀로, 민감한 연산은 FP32로 유지해 속도와 안정성을 동시에 노립니다. GPU에서는 Tensor Core 같은 하드웨어 가속을 활용할 수 있어 학습/추론이 빨라지는 경우가 많습니다. 특히 학습에서는 그라디언트 언더플로우를 막기 위해 loss scaling 같은 기법을 함께 씁니다. 면접에서는 FP16과 BF16의 차이(표현 범위, 정밀도)와 왜 FP32를 일부 남기는지 설명하는 질문이 자주 나옵니다. 실무에서는 모델별로 오차 민감한 연산(예: 정규화, softmax)이 무엇인지 확인하고 자동 혼합정밀도(AMP) 설정을 검증합니다.		모든 연산을 항상 FP64로 실행한다	FALSE	일부 연산은 FP16/BF16, 민감한 부분은 FP32로 유지한다	TRUE	모든 연산을 항상 INT4로 실행한다	FALSE	정밀도는 고정하고 배치 크기만 줄인다	FALSE	ai	performance_optimization	acceleration	training
Q003	처리량(Throughput)		AI / Data / Machine Learning - AI 서비스 응용	80	CHOICE	EASY	처리량(throughput)을 가장 잘 설명한 것은?	처리량은 시스템이 단위 시간당 처리할 수 있는 요청/토큰/샘플의 양을 의미합니다. 지연 시간(latency)과는 다르게 “한 건을 얼마나 빨리 끝내는가”가 아니라 “전체를 얼마나 많이 처리하는가”에 초점을 둡니다. 배칭을 키우면 처리량이 늘 수 있지만, 반대로 개별 요청의 지연 시간이 늘어날 수도 있습니다. 면접에서는 latency vs throughput의 트레이드오프와 어떤 KPI를 우선해야 하는지(서비스 성격)를 설명하는 질문이 자주 나옵니다. 실무에서는 p95/p99 지연 시간 목표를 지키면서 처리량을 끌어올리는 튜닝이 핵심입니다.		한 요청이 완료되기까지 걸리는 시간	FALSE	단위 시간당 처리 가능한 요청/샘플 수	TRUE	모델 파라미터 개수	FALSE	모델의 정확도(accuracy)	FALSE	ai	performance_optimization	acceleration	serving
Q004	지연 시간(Latency)		AI / Data / Machine Learning - AI 서비스 응용	80	CHOICE	EASY	지연 시간(latency)에 대한 설명으로 가장 올바른 것은?	지연 시간은 하나의 요청이 들어와서 응답이 나가기까지 걸리는 시간을 의미합니다. 보통 평균보다 p95/p99 같은 퍼센타일 지표가 사용자 체감과 더 가깝습니다. 배칭, 캐시, 병렬화 같은 최적화가 지연 시간에 서로 다른 영향을 주므로 분리해서 측정해야 합니다. 면접에서는 “처리량은 좋아졌는데 왜 사용자 불만이 늘 수 있나?” 같은 질문으로 지연 시간 개념을 확인합니다. 실무에서는 네트워크, 큐 대기, 디코딩 단계 등 병목 구간을 프로파일링으로 쪼개 보는 습관이 중요합니다.		단위 시간당 처리량을 뜻한다	FALSE	요청이 들어와 응답이 나가기까지 걸리는 시간이다	TRUE	모델의 손실값(loss)이다	FALSE	학습 데이터의 크기이다	FALSE	ai	performance_optimization	acceleration	inference
Q005	배칭(Batching)		AI / Data / Machine Learning - AI 서비스 응용	80	CHOICE	EASY	추론 서버에서 배칭을 사용하는 대표적인 이유는?	배칭은 여러 요청을 묶어 한 번의 연산으로 처리해 GPU를 더 효율적으로 쓰는 기법입니다. 특히 작은 요청이 잦을 때, 커널 실행 오버헤드를 줄이고 처리량을 높이는 데 도움이 됩니다. 다만 배칭을 위해 대기 시간이 생기면 개별 요청 지연 시간이 늘어날 수 있습니다. 면접에서는 “마이크로 배칭”이나 “동적 배칭”이 왜 필요한지로 확장 질문이 자주 나옵니다. 실무에서는 서비스 SLA에 맞춰 최대 대기 시간, 최대 배치 크기를 안전하게 제한합니다.		요청을 하나씩만 처리해 지연 시간을 항상 최소화한다	FALSE	여러 요청을 묶어 처리량을 높이고 GPU 활용도를 올린다	TRUE	모델을 더 큰 모델로 바꿔 정확도를 높인다	FALSE	데이터 라벨 품질을 개선한다	FALSE	ai	performance_optimization	acceleration	inference
Q006	동적 배치(Dynamic Batching)		AI / Data / Machine Learning - AI 서비스 응용	80	CHOICE	EASY	동적 배치(dynamic batching)의 핵심 아이디어로 가장 적절한 것은?	동적 배치는 “들어오는 요청을 일정 조건에서 자동으로 묶어 배치로 처리”하는 운영 기법입니다. 고정 배치와 달리 트래픽이 들쭉날쭉해도 GPU 활용도를 유지하는 데 유리합니다. 대신 요청을 모으는 동안 대기 시간이 늘 수 있어 SLA에 맞는 윈도우(최대 대기 시간) 설계가 필요합니다. 면접에서는 처리량과 지연 시간의 균형점을 어떻게 잡는지, 어떤 서비스에 유리한지 묻는 경우가 많습니다. 실무에서는 토큰 길이(시퀀스 길이) 차이까지 고려한 버킷팅이 성능에 크게 영향을 줍니다.		항상 동일한 크기의 배치만 강제로 유지한다	FALSE	들어오는 요청을 조건에 맞춰 자동으로 묶어 배치로 처리한다	TRUE	모델을 학습 데이터로 다시 학습시킨다	FALSE	모델 파라미터를 랜덤하게 줄인다	FALSE	ai	performance_optimization	acceleration	serving
Q007	모델 프루닝(Pruning)		AI / Data / Machine Learning - 딥러닝 기초	72	CHOICE	EASY	프루닝(pruning)에 대한 설명으로 가장 올바른 것은?	프루닝은 중요도가 낮은 가중치나 뉴런/채널을 제거해 모델을 더 가볍게 만드는 기법입니다. 목표는 모델 크기와 연산량을 줄여 추론 속도나 메모리 사용을 개선하는 것입니다. 다만 단순히 0으로 만드는 “비구조적 프루닝”은 하드웨어 가속이 잘 안 되는 경우가 있어 실제 속도 개선이 제한될 수 있습니다. 면접에서는 구조적/비구조적 프루닝 차이와 실제 배포에서 어떤 쪽이 유리한지 자주 나옵니다. 실무에서는 프루닝 후 재학습(파인튜닝)으로 정확도 회복을 확인하는 절차가 중요합니다.		모델의 중요한 가중치를 더 크게 만들어 성능을 높인다	FALSE	중요도가 낮은 요소를 제거해 모델을 가볍게 만든다	TRUE	데이터 전처리 과정을 자동화한다	FALSE	모델을 더 깊게 만들어 연산량을 늘린다	FALSE	ai	performance_optimization	acceleration	inference
Q008	지식 증류(Knowledge Distillation)		AI / Data / Machine Learning - 딥러닝 기초	72	CHOICE	EASY	지식 증류(knowledge distillation)의 일반적인 목적은?	지식 증류는 큰 교사 모델(teacher)의 출력 분포를 작은 학생 모델(student)이 따라 배우도록 해, 작은 모델의 성능을 끌어올리는 기법입니다. 학생 모델은 더 작고 빠르기 때문에 서비스 비용 절감과 지연 시간 개선에 도움이 됩니다. 단순 정답 라벨만 학습하는 것보다 부드러운 확률 분포(soft targets)가 학습 신호를 풍부하게 만들어 성능 향상이 기대됩니다. 면접에서는 “왜 작은 모델이 더 잘 배울 수 있나”를 일반화/지식 전달 관점으로 설명하는지 확인합니다. 실무에서는 teacher 품질, 온도(temperature), 손실 조합을 튜닝해 정확도와 속도의 균형을 맞춥니다.		작은 모델을 더 크게 만들어 성능을 올린다	FALSE	큰 모델의 지식을 작은 모델로 이전해 더 빠른 모델을 만든다	TRUE	학습률을 0으로 만들어 과적합을 막는다	FALSE	GPU를 사용하지 않고 CPU만 사용하게 한다	FALSE	ai	performance_optimization	acceleration	model_compression
Q009	캐싱(Cache)		AI / Data / Machine Learning - AI 서비스 응용	80	CHOICE	EASY	추론 서비스에서 캐싱의 가장 대표적인 효과는?	캐싱은 이전에 계산한 결과를 저장해 동일하거나 유사한 요청이 들어오면 재계산 없이 빠르게 응답하는 방법입니다. 반복 질문이 많은 챗봇이나 임베딩 조회, 전처리 결과 저장 등에 자주 쓰입니다. 캐시 적중률(hit rate)이 높을수록 지연 시간과 비용을 크게 줄일 수 있습니다. 면접에서는 “캐시가 왜 위험할 수도 있나”를 데이터 신선도와 무효화 전략 관점에서 묻기도 합니다. 실무에서는 TTL, 버전 키, 캐시 무효화 조건을 명확히 설계해 오답/구버전 응답을 줄여야 합니다.		매 요청마다 항상 더 많은 연산을 수행한다	FALSE	동일 요청에 대해 재계산을 줄여 응답을 빠르게 한다	TRUE	모델 정확도를 항상 올려준다	FALSE	네트워크 대역폭을 무조건 증가시킨다	FALSE	ai	performance_optimization	acceleration	caching
Q010	KV 캐시(KV Cache)		AI / Data / Machine Learning - 대형 언어 모델(LLM)	77	CHOICE	EASY	LLM에서 KV 캐시의 주된 역할은?	KV 캐시는 디코딩(토큰을 한 개씩 생성) 과정에서 이전 토큰들의 key/value를 저장해 다음 토큰 생성 시 재사용하는 구조입니다. 이를 통해 매 스텝마다 과거 시퀀스 전체를 다시 계산하는 비용을 줄일 수 있어 속도가 개선됩니다. 대신 시퀀스가 길어질수록 캐시 메모리 사용량이 커져 GPU 메모리 병목이 생길 수 있습니다. 면접에서는 “왜 LLM이 길어질수록 느려지나”를 KV 캐시와 어텐션 비용 관점으로 묻는 경우가 많습니다. 실무에서는 배치 크기, 컨텍스트 길이, 메모리 한계에 맞춰 캐시 관리 전략을 세웁니다.		학습 데이터를 저장하는 DB를 의미한다	FALSE	디코딩 중 이전 토큰의 key/value를 저장해 재계산을 줄인다	TRUE	모델 파라미터를 암호화하기 위한 기능이다	FALSE	네트워크 패킷을 압축하는 기법이다	FALSE	ai	performance_optimization	acceleration	inference
