question_temp_key	term_title	term_id	term_category	term_category_id	question_type	difficulty	question_text	explanation	text_answer	choice_1_text	choice_1_is_answer	choice_2_text	choice_2_is_answer	choice_3_text	choice_3_is_answer	choice_4_text	choice_4_is_answer	label_1_key	label_2_key	label_3_key	label_4_key
Q001	해시 테이블(Hash Table)		Data Structure & Algorithm - 비선형 구조	41	CHOICE	EASY	해시 테이블의 가장 대표적인 장점으로 올바른 것은?	해시 테이블은 키를 해시 함수로 인덱스로 바꿔 저장하는 자료구조입니다. 평균적으로 탐색과 삽입이 매우 빠른 것이 핵심 장점입니다. 면접에서는 왜 평균이 빠른지와 언제 느려지는지까지 자주 이어집니다. 실무에서는 충돌과 리사이징 비용을 고려해 사용합니다. 데이터가 많아질수록 로드 팩터 관리가 중요합니다.		정렬된 순서로 항상 출력된다	FALSE	평균적으로 탐색과 삽입이 빠르다	TRUE	항상 메모리를 가장 적게 쓴다	FALSE	모든 경우에 탐색이 O(log n)이다	FALSE	dsa	hash	set	
Q002	해시 함수(Hash Function)		Data Structure & Algorithm - 비선형 구조	41	CHOICE	EASY	해시 함수의 역할로 가장 올바른 것은?	해시 함수는 입력 키를 테이블 인덱스로 매핑하는 함수입니다. 좋은 해시 함수는 키를 고르게 분포시켜 충돌을 줄입니다. 면접에서는 좋은 해시 함수의 조건과 충돌이 생기면 어떻게 처리하는지로 확장됩니다. 실무에서는 해시 품질이 성능을 좌우합니다. 해시 함수는 암호화 함수와 목적이 다를 수 있어 구분이 필요합니다.		키를 정렬 기준으로 변환한다	FALSE	키를 인덱스 범위의 값으로 변환한다	TRUE	데이터를 항상 압축해서 저장한다	FALSE	중복 데이터를 자동으로 제거한다	FALSE	dsa	hash	set	
Q003	충돌(Collision)		Data Structure & Algorithm - 비선형 구조	41	CHOICE	EASY	해시에서 충돌(Collision)을 가장 잘 설명한 것은?	충돌은 서로 다른 키가 같은 해시 인덱스를 갖는 상황입니다. 충돌은 해시 테이블에서 자연스럽게 발생할 수 있습니다. 면접에서는 충돌을 해결하는 대표 기법을 말할 수 있어야 합니다. 실무에서는 충돌이 많아지면 성능이 급격히 떨어질 수 있습니다. 그래서 로드 팩터와 리해싱 전략이 중요합니다.		같은 키가 두 번 저장되는 현상	FALSE	서로 다른 키가 같은 인덱스로 매핑되는 현상	TRUE	테이블 크기가 커지는 현상	FALSE	데이터가 정렬되는 현상	FALSE	dsa	hash	set	
Q004	체이닝(Chaining)		Data Structure & Algorithm - 비선형 구조	41	CHOICE	EASY	체이닝(Chaining) 방식의 충돌 해결 설명으로 올바른 것은?	체이닝은 같은 인덱스에 여러 원소가 들어갈 수 있도록 버킷에 리스트 구조를 두는 방식입니다. 충돌이 나면 같은 버킷에 추가로 연결해서 저장합니다. 면접에서는 체이닝과 오픈 어드레싱의 차이를 자주 묻습니다. 실무에서는 버킷이 길어지면 탐색 시간이 늘어나는 점을 주의합니다. 메모리 오버헤드가 생길 수 있다는 것도 포인트입니다.		빈 칸을 찾을 때까지 다음 칸을 탐색한다	FALSE	같은 인덱스에 리스트로 여러 값을 연결해 저장한다	TRUE	키를 정렬해서 충돌을 제거한다	FALSE	충돌이 발생하면 저장을 중단한다	FALSE	dsa	hash	set	
Q005	오픈 어드레싱(Open Addressing)		Data Structure & Algorithm - 비선형 구조	41	CHOICE	EASY	오픈 어드레싱(Open Addressing)의 특징으로 올바른 것은?	오픈 어드레싱은 충돌이 나면 테이블 내부의 다른 빈 칸을 찾아 저장하는 방식입니다. 모든 데이터가 테이블 배열 안에 저장된다는 점이 특징입니다. 면접에서는 선형 조사와 이차 조사 같은 탐사 방식을 함께 물어봅니다. 실무에서는 삭제 처리와 클러스터링 문제를 조심해야 합니다. 로드 팩터가 높아지면 성능이 크게 악화될 수 있습니다.		같은 인덱스에 연결 리스트를 둔다	FALSE	테이블 밖 별도 구조에 데이터를 저장한다	FALSE	충돌 시 테이블 안에서 빈 칸을 찾아 저장한다	TRUE	충돌이 생기면 항상 재해싱만 한다	FALSE	dsa	hash	set	
Q006	선형 조사(Linear Probing)		Data Structure & Algorithm - 비선형 구조	41	CHOICE	EASY	선형 조사(Linear Probing) 설명으로 올바른 것은?	선형 조사는 충돌이 발생하면 일정한 간격으로 다음 칸을 순차적으로 탐색하는 방식입니다. 보통 한 칸씩 이동하며 빈 칸을 찾습니다. 면접에서는 선형 조사의 단점으로 클러스터링을 말할 수 있어야 합니다. 실무에서는 로드 팩터가 올라가면 탐색 길이가 길어집니다. 그래서 임계치에서 리사이즈를 수행하는 경우가 많습니다.		충돌 시 무작위 위치에 저장한다	FALSE	충돌 시 다음 칸부터 순차적으로 빈 칸을 찾는다	TRUE	충돌 시 버킷에 리스트로 연결한다	FALSE	충돌 시 트리로 정렬해 저장한다	FALSE	dsa	hash	set	
Q007	로드 팩터(Load Factor)		Data Structure & Algorithm - 비선형 구조	41	CHOICE	EASY	해시 테이블의 로드 팩터(Load Factor)를 가장 잘 설명한 것은?	로드 팩터는 테이블이 얼마나 찼는지를 나타내는 비율입니다. 일반적으로 원소 수를 테이블 크기로 나눈 값으로 정의합니다. 면접에서는 로드 팩터가 커지면 왜 느려지는지 설명을 자주 요구합니다. 실무에서는 로드 팩터 임계치를 넘으면 리사이징을 수행합니다. 성능과 메모리 사용량의 균형을 잡는 지표입니다.		테이블에 저장된 값의 평균 크기	FALSE	원소 개수 대비 테이블 크기의 비율	TRUE	해시 함수의 실행 시간	FALSE	충돌이 발생한 횟수	FALSE	dsa	hash	set	
Q008	리해싱(Rehashing)		Data Structure & Algorithm - 비선형 구조	41	CHOICE	EASY	리해싱(Rehashing)이 필요한 대표적인 상황으로 가장 적절한 것은?	리해싱은 테이블 크기를 바꾸고 기존 원소들을 새 인덱스로 다시 배치하는 과정입니다. 보통 로드 팩터가 높아져 충돌이 늘 때 수행합니다. 면접에서는 리해싱 비용이 한 번에 크지만 평균 성능을 유지한다고 설명합니다. 실무에서는 리사이징이 순간적으로 지연을 만들 수 있어 주의합니다. 그래서 적절한 초기 용량 설정도 중요합니다.		테이블이 비어 있을 때	FALSE	로드 팩터가 높아져 성능이 떨어질 때	TRUE	모든 키가 문자열일 때	FALSE	데이터가 정렬되어 있을 때	FALSE	dsa	hash	set	
Q009	평균 시간 복잡도(Average Case)		Data Structure & Algorithm - 비선형 구조	41	CHOICE	EASY	일반적으로 해시 테이블의 탐색 평균 시간 복잡도로 가장 알맞은 것은?	해시 테이블은 평균적으로 상수 시간에 가까운 탐색을 목표로 합니다. 키가 고르게 분포하고 충돌이 과도하지 않다는 가정이 들어갑니다. 면접에서는 평균과 최악의 차이를 명확히 구분하는지 확인합니다. 실무에서는 해시 품질과 로드 팩터 관리가 평균 성능을 유지하는 핵심입니다. 공격적 입력이나 편향된 키 분포에서는 성능이 나빠질 수 있습니다.		O(1)	TRUE	O(log n)	FALSE	O(n)	FALSE	O(n log n)	FALSE	dsa	hash	set	
Q010	최악 시간 복잡도(Worst Case)		Data Structure & Algorithm - 비선형 구조	41	CHOICE	EASY	충돌이 매우 많이 발생할 때 해시 테이블 탐색의 최악 시간 복잡도로 가장 알맞은 것은?	해시 테이블은 충돌이 극단적으로 많아지면 한 버킷에 원소가 몰릴 수 있습니다. 체이닝이라면 리스트 길이만큼 선형 탐색이 발생할 수 있습니다. 면접에서는 최악이 왜 O(n)인지 간단히 설명해야 합니다. 실무에서는 입력 편향이나 공격을 막기 위해 보완이 필요할 수 있습니다. 그래서 해시 시드 랜덤화 같은 기법이 등장하기도 합니다.		O(1)	FALSE	O(log n)	FALSE	O(n)	TRUE	O(1/ n)	FALSE	dsa	hash	set	
