question_temp_key	term_title	term_id	term_category	term_category_id	question_type	difficulty	question_text	explanation	text_answer	choice_1_text	choice_1_is_answer	choice_2_text	choice_2_is_answer	choice_3_text	choice_3_is_answer	choice_4_text	choice_4_is_answer	label_1_key	label_2_key	label_3_key	label_4_key
Q001	SELECT		Database - 쿼리 문법	24	CHOICE	EASY	테이블에서 특정 컬럼을 조회할 때 사용하는 기본 SQL 구문은?	SELECT는 테이블에서 데이터를 조회하는 가장 기본적인 문법입니다. 면접에서는 SELECT 다음에 컬럼 목록이나 별표를 쓸 수 있다는 점을 확인합니다. 실무에서는 필요한 컬럼만 선택하는 것이 성능과 네트워크 비용에 유리합니다. 또한 SELECT 결과는 WHERE, ORDER BY, LIMIT 같은 절과 함께 자주 조합됩니다. 기본기를 정확히 잡아야 다음 단계 문법도 자연스럽게 이해할 수 있습니다.		INSERT	FALSE	SELECT	TRUE	UPDATE	FALSE	DELETE	FALSE	database	sql	query	
Q002	FROM		Database - 쿼리 문법	24	CHOICE	EASY	SELECT 문에서 데이터를 가져올 테이블을 지정하는 절은?	FROM은 조회 대상이 되는 테이블(또는 뷰)을 지정하는 절입니다. 면접에서는 SELECT와 FROM의 기본 순서를 자주 물어봅니다. 실무에서는 FROM에 조인 대상 테이블이 늘어나며 별칭(alias)도 자주 붙입니다. FROM을 잘못 지정하면 다른 테이블에서 데이터를 읽어 논리 오류가 생깁니다. 기본 구조를 정확히 아는 것이 쿼리 디버깅의 출발점입니다.		WHERE	FALSE	FROM	TRUE	ORDER BY	FALSE	GROUP BY	FALSE	database	sql	query	
Q003	WHERE		Database - 쿼리 문법	24	CHOICE	EASY	조건에 맞는 행만 필터링할 때 사용하는 절은?	WHERE는 행(row)을 필터링하는 조건 절입니다. 면접에서는 WHERE가 GROUP BY보다 먼저 적용된다는 실행 흐름을 함께 묻기도 합니다. 실무에서는 인덱스를 타는 조건을 만드는 것이 성능에 매우 중요합니다. 또한 NULL 비교는 =가 아니라 IS NULL을 써야 한다는 점이 자주 함정으로 나옵니다. 조건을 명확히 쓰는 습관이 데이터 오류를 크게 줄입니다.		ORDER BY	FALSE	WHERE	TRUE	HAVING	FALSE	LIMIT	FALSE	database	sql	query	
Q004	ORDER BY		Database - 쿼리 문법	24	CHOICE	EASY	조회 결과를 정렬할 때 사용하는 절은?	ORDER BY는 결과를 정렬하는 절입니다. 면접에서는 기본 정렬 방향이 오름차순(ASC)인지 확인합니다. 실무에서는 정렬이 인덱스로 해결되지 않으면 filesort 같은 비용이 발생할 수 있습니다. ORDER BY는 WHERE로 필터링된 결과에 대해 적용되는 점도 중요합니다. 정렬 기준 컬럼을 명확히 지정하지 않으면 결과 순서가 보장되지 않을 수 있습니다.		GROUP BY	FALSE	ORDER BY	TRUE	WHERE	FALSE	DISTINCT	FALSE	database	sql	query	
Q005	DISTINCT		Database - 쿼리 문법	24	CHOICE	EASY	중복 행을 제거하여 고유한 값만 조회할 때 사용하는 키워드는?	DISTINCT는 SELECT 결과에서 중복을 제거해 유일한 값만 남깁니다. 면접에서는 DISTINCT가 모든 선택 컬럼 조합 기준으로 중복을 판단한다는 점이 자주 나옵니다. 실무에서는 DISTINCT가 정렬이나 임시 테이블을 유발해 느려질 수 있어 주의해야 합니다. 중복 제거가 목적이라면 데이터 모델이나 조인 조건을 먼저 점검하는 것도 중요합니다. 정확한 사용 위치는 SELECT 바로 뒤라는 기본 문법을 기억해야 합니다.		UNIQUE	FALSE	DISTINCT	TRUE	PRIMARY KEY	FALSE	INDEX	FALSE	database	sql	query	
Q006	LIMIT		Database - 쿼리 문법	24	CHOICE	EASY	조회 결과에서 반환할 행 수를 제한할 때 사용하는 절은?	LIMIT는 반환할 행 수를 제한하는 문법입니다. 면접에서는 페이지네이션에서 LIMIT와 OFFSET을 어떻게 쓰는지로 확장 질문이 나옵니다. 실무에서는 큰 OFFSET은 성능이 급격히 나빠질 수 있어 주의해야 합니다. 또한 정렬 없이 LIMIT만 쓰면 어떤 행이 선택될지 보장되지 않습니다. 따라서 ORDER BY와 함께 쓰는 습관이 안전합니다.		TOP	FALSE	LIMIT	TRUE	FETCH	FALSE	PAGE	FALSE	database	sql	query	
Q007	AS (별칭)		Database - 쿼리 문법	24	CHOICE	EASY	조회 결과의 컬럼 이름을 바꿔서 표시할 때 사용하는 문법은?	AS는 컬럼이나 테이블에 별칭(alias)을 부여할 때 사용합니다. 면접에서는 AS를 생략할 수 있는지, 별칭이 언제 필요한지를 물어봅니다. 실무에서는 조인이 많아질수록 컬럼명이 충돌하므로 별칭이 가독성과 오류 방지에 중요합니다. 별칭을 적절히 쓰면 결과 컬럼명이 명확해져 프론트나 리포트 연동이 편해집니다. 단, 별칭에 공백이 필요하면 DB별로 따옴표 규칙이 달라질 수 있어 주의합니다.		AS	TRUE	LIKE	FALSE	IN	FALSE	CASE	FALSE	database	sql	query	
Q008	IN		Database - 쿼리 문법	24	CHOICE	EASY	여러 값 중 하나라도 일치하는 조건을 간단히 표현할 때 사용하는 연산자는?	IN은 여러 값 목록 중 하나와 일치하는지 검사할 때 사용합니다. 면접에서는 OR 조건을 IN으로 바꿀 수 있는지 같은 질문이 자주 나옵니다. 실무에서는 값 목록이 너무 길면 쿼리가 비대해지고 계획이 나빠질 수 있습니다. 또한 서브쿼리 결과를 IN에 넣는 경우 NULL 처리와 성능을 같이 봐야 합니다. 기본적으로는 가독성이 좋아 간단한 필터링에 많이 사용됩니다.		IN	TRUE	LIKE	FALSE	BETWEEN	FALSE	IS NULL	FALSE	database	sql	query	
Q009	LIKE		Database - 쿼리 문법	24	CHOICE	EASY	부분 문자열 검색을 할 때 사용하는 연산자는?	LIKE는 패턴 매칭으로 문자열을 검색할 때 사용합니다. 면접에서는 %와 _ 와일드카드 의미를 정확히 아는지 확인합니다. 실무에서는 앞에 %가 붙는 패턴(%abc)은 인덱스를 타기 어려워 느려질 수 있습니다. 대량 검색이 필요하면 전문 검색(Full Text)이나 검색 엔진을 고려하기도 합니다. 또한 대소문자 민감도는 DB의 collation 설정에 따라 달라질 수 있어 주의합니다.		CONTAINS	FALSE	LIKE	TRUE	REGEXP	FALSE	MATCH	FALSE	database	sql	query	
Q010	BETWEEN		Database - 쿼리 문법	24	CHOICE	EASY	특정 범위(예: 10부터 20까지)에 포함되는 조건을 표현할 때 사용하는 연산자는?	BETWEEN은 범위 조건을 간단히 표현하는 연산자입니다. 면접에서는 BETWEEN이 양 끝 값을 포함하는지(포함한다)를 자주 묻습니다. 실무에서는 날짜 범위에서 경계 조건을 정확히 잡는 것이 특히 중요합니다. 예를 들어 날짜-시간 컬럼은 하루 끝 경계를 잘못 잡으면 누락이 생길 수 있습니다. 필요하면 >=, < 조합으로 더 명확하게 표현하는 습관도 좋습니다.		BETWEEN	TRUE	IN	FALSE	LIKE	FALSE	AROUND	FALSE	database	sql	query	
Q011	NULL / IS NULL		Database - 쿼리 문법	24	CHOICE	EASY	NULL 값을 가진 행을 찾을 때 올바른 조건식은?	NULL은 값이 없음을 의미하며 일반 비교 연산자 = 로는 비교할 수 없습니다. 면접에서는 NULL의 3값 논리(참/거짓/미정)를 이해하는지 확인합니다. 실무에서는 NULL 처리 실수로 필터링이 누락되거나 집계가 틀어지는 경우가 많습니다. 따라서 NULL 비교는 IS NULL 또는 IS NOT NULL을 사용해야 합니다. 또한 COALESCE 같은 함수로 기본값을 대체하는 패턴도 함께 알아두면 좋습니다.		col = NULL	FALSE	col IS NULL	TRUE	col == NULL	FALSE	col EQUAL NULL	FALSE	database	sql	query	
Q012	COUNT		Database - 쿼리 문법	24	CHOICE	EASY	행의 개수를 세는 집계 함수로 올바른 것은?	COUNT는 행 수를 세는 대표적인 집계 함수입니다. 면접에서는 COUNT(*)와 COUNT(컬럼)의 차이를 자주 물어봅니다. 실무에서는 COUNT(컬럼)은 NULL을 제외하고 세기 때문에 의도에 맞는지 확인해야 합니다. 또한 조인 후 COUNT를 하면 중복 행이 늘어나 결과가 달라질 수 있어 주의가 필요합니다. 집계는 GROUP BY와 함께 사용되는 경우가 매우 많습니다.		SUM	FALSE	COUNT	TRUE	AVG	FALSE	MAX	FALSE	database	sql	query	
Q013	GROUP BY		Database - 쿼리 문법	24	CHOICE	EASY	집계(예: 부서별 인원 수)를 위해 데이터를 그룹으로 묶을 때 사용하는 절은?	GROUP BY는 특정 컬럼 값 기준으로 행을 묶어 집계를 수행할 때 사용합니다. 면접에서는 SELECT에 포함된 비집계 컬럼은 GROUP BY에 포함되어야 한다는 원칙을 자주 확인합니다. 실무에서는 그룹 기준이 잘못되면 결과가 과하게 분해되거나 뭉쳐져 리포트가 틀어집니다. 또한 GROUP BY는 WHERE로 필터링된 결과를 대상으로 수행됩니다. 집계 쿼리는 데이터 분석과 통계성 API에서 자주 등장합니다.		ORDER BY	FALSE	GROUP BY	TRUE	HAVING	FALSE	LIMIT	FALSE	database	sql	query	
Q014	HAVING		Database - 쿼리 문법	24	CHOICE	EASY	집계 결과에 조건을 걸 때 사용하는 절은?	HAVING은 GROUP BY로 집계된 결과에 조건을 거는 절입니다. 면접에서는 WHERE와 HAVING의 차이를 매우 자주 물어봅니다. 실무에서는 집계 조건을 WHERE에 잘못 쓰면 오류가 나거나 결과가 달라질 수 있습니다. 일반적으로는 가능한 한 WHERE로 먼저 줄이고, 집계 조건만 HAVING에 두는 것이 성능상 유리합니다. 집계 기반 필터링(예: 인원 수가 10명 이상인 부서)은 대표적인 HAVING 사용 예시입니다.		WHERE	FALSE	HAVING	TRUE	GROUP BY	FALSE	OFFSET	FALSE	database	sql	query	
Q015	INNER JOIN		Database - 쿼리 문법	24	CHOICE	EASY	두 테이블에서 일치하는 행만 결합해서 가져오는 조인 방식은?	INNER JOIN은 조인 조건을 만족하는 행만 결과에 포함합니다. 면접에서는 INNER JOIN과 LEFT JOIN의 차이를 정확히 설명할 수 있어야 합니다. 실무에서는 조인 조건이 누락되면 카테시안 곱으로 데이터가 폭증할 수 있어 매우 위험합니다. 또한 조인 컬럼에 인덱스가 없으면 성능이 크게 떨어질 수 있습니다. 조인은 SQL 실무에서 가장 빈도가 높은 핵심 문법 중 하나입니다.		LEFT JOIN	FALSE	INNER JOIN	TRUE	RIGHT JOIN	FALSE	FULL OUTER JOIN	FALSE	database	sql	query	
Q016	LEFT JOIN		Database - 쿼리 문법	24	CHOICE	EASY	왼쪽 테이블의 모든 행을 유지하면서, 매칭되는 오른쪽 테이블 데이터를 붙이는 조인은?	LEFT JOIN은 왼쪽 테이블의 행을 모두 유지하고, 오른쪽이 매칭되지 않으면 NULL로 채웁니다. 면접에서는 “어느 쪽이 기준이냐”를 헷갈리지 않는지 확인합니다. 실무에서는 기준 테이블을 잘못 잡으면 누락되거나 과다한 결과가 생깁니다. 또한 매칭 실패 행을 찾으려면 오른쪽 컬럼 IS NULL 조건을 함께 쓰는 패턴이 흔합니다. 데이터 누락 검증이나 미등록 데이터 찾기에서 자주 쓰입니다.		INNER JOIN	FALSE	LEFT JOIN	TRUE	CROSS JOIN	FALSE	NATURAL JOIN	FALSE	database	sql	query	
Q017	INSERT		Database - 쿼리 문법	24	CHOICE	EASY	테이블에 새로운 행을 추가할 때 사용하는 SQL 명령은?	INSERT는 테이블에 새로운 데이터를 추가하는 DML 문입니다. 면접에서는 INSERT INTO 테이블(컬럼들) VALUES(값들) 형태를 기본으로 봅니다. 실무에서는 컬럼 목록을 명시하는 습관이 매우 중요합니다. 이유는 테이블 컬럼이 변경될 때 컬럼 순서 의존이 깨지기 때문입니다. 또한 제약조건(예: NOT NULL, FK) 위반 시 실패하므로 에러 처리도 함께 고려해야 합니다.		INSERT	TRUE	SELECT	FALSE	UPDATE	FALSE	DELETE	FALSE	database	sql	query	
Q018	UPDATE		Database - 쿼리 문법	24	CHOICE	EASY	기존 행의 값을 수정할 때 사용하는 SQL 명령은?	UPDATE는 기존 데이터를 변경하는 DML 문입니다. 면접에서는 WHERE 없이 UPDATE를 실행하면 전체 행이 바뀔 수 있다는 위험을 자주 강조합니다. 실무에서는 반드시 WHERE 조건을 먼저 확인하고, 가능하면 SELECT로 대상 행을 미리 검증합니다. 트랜잭션을 사용하면 실수 시 ROLLBACK으로 복구할 수 있지만, 여전히 조심해야 합니다. 또한 업데이트 컬럼이 인덱스/제약조건과 관련되면 성능과 무결성 영향도 함께 점검해야 합니다.		UPDATE	TRUE	INSERT	FALSE	DELETE	FALSE	CREATE	FALSE	database	sql	query	
