question_temp_key	term_title	term_id	term_category	term_category_id	question_type	difficulty	question_text	explanation	text_answer	choice_1_text	choice_1_is_answer	choice_2_text	choice_2_is_answer	choice_3_text	choice_3_is_answer	choice_4_text	choice_4_is_answer	label_1_key	label_2_key	label_3_key	label_4_key
Q001	모델 서빙(Model Serving)		AI / Data / Machine Learning - MLOps / 배포	81	CHOICE	EASY	운영 환경에서 학습된 모델을 API나 서비스 형태로 배포해 예측을 제공하는 작업을 무엇이라고 하는가?	모델 서빙은 학습이 끝난 모델을 프로덕션에서 요청에 응답하도록 서비스로 제공하는 단계입니다. 왜 중요한지로는 지연시간, 장애 대응, 확장성 같은 운영 품질이 사용자 경험에 직접 영향을 주기 때문입니다. 실무에서는 REST API나 gRPC, 배치 잡 등 형태가 다양해 트래픽 특성에 맞춰 선택합니다. 운영 중에는 모델 버전과 설정을 함께 관리하고, 문제가 생기면 빠르게 롤백할 수 있어야 합니다. 면접에서는 서빙과 학습 파이프라인의 경계, 그리고 모니터링 포인트를 함께 설명하면 좋습니다.		모델 서빙	TRUE	데이터 라벨링	FALSE	하이퍼파라미터 튜닝	FALSE	모델 평가	FALSE	mlops	production	ai	serving
Q002	배치 추론(Batch Inference)		AI / Data / Machine Learning - MLOps / 배포	81	CHOICE	EASY	실시간이 아니라 일정 주기로 대량 데이터를 한 번에 예측 처리하는 방식을 무엇이라고 하는가?	배치 추론은 데이터를 모아 정해진 주기나 트리거에 따라 한 번에 예측을 수행하는 방식입니다. 왜 중요한지로는 실시간성이 필요 없는 업무에서 비용을 줄이고 처리 효율을 높일 수 있기 때문입니다. 실무에서는 야간 추천 리스트 생성, 정기 리스크 스코어 산출 같은 작업에 자주 쓰입니다. 배치 실패 시 재시도와 중복 처리 방지 같은 운영 포인트가 꼭 필요합니다. 면접에서는 온라인 추론과의 차이, 결과 저장 및 재현성 관리 방법을 함께 물을 수 있습니다.		배치 추론	TRUE	온라인 추론	FALSE	강화학습	FALSE	데이터 정규화	FALSE	mlops	production	ai	batch
Q003	온라인 추론(Online Inference)		AI / Data / Machine Learning - MLOps / 배포	81	CHOICE	EASY	사용자 요청이 들어올 때마다 실시간으로 예측을 반환하는 방식은 무엇인가?	온라인 추론은 요청이 올 때 즉시 모델을 실행해 결과를 반환하는 실시간 예측 방식입니다. 왜 중요한지로는 검색 랭킹, 사기 탐지처럼 즉시 반응이 필요한 서비스에서 핵심이기 때문입니다. 실무에서는 지연시간 목표를 만족하도록 캐싱, 경량화, 오토스케일링을 함께 고려합니다. 트래픽 급증 시 타임아웃이나 큐잉 전략이 없으면 장애로 번질 수 있어 주의합니다. 면접에서는 배치 추론과 비교해 장단점과 운영 지표를 설명하는 문제가 자주 나옵니다.		온라인 추론	TRUE	배치 추론	FALSE	데이터 증강	FALSE	교차 검증	FALSE	mlops	production	ai	inference
Q004	모델 레지스트리(Model Registry)		AI / Data / Machine Learning - MLOps / 배포	81	CHOICE	EASY	모델 버전과 메타데이터를 중앙에서 관리하고 배포 대상 모델을 선택할 수 있게 하는 저장소를 무엇이라고 하는가?	모델 레지스트리는 모델 파일뿐 아니라 버전, 학습 데이터 정보, 평가 지표 같은 메타데이터를 함께 관리하는 시스템입니다. 왜 중요한지로는 어떤 모델이 언제 어떤 기준으로 배포됐는지 추적 가능해야 장애 분석과 규정 준수가 쉬워지기 때문입니다. 실무에서는 승인 워크플로우와 스테이징 단계, 롤백 가능한 버전 히스토리가 중요합니다. 레지스트리가 없으면 파일이 흩어져 재현성과 책임 추적이 어려워집니다. 면접에서는 모델 레지스트리와 아티팩트 저장소의 차이를 물을 수 있습니다.		모델 레지스트리	TRUE	피처 스토어	FALSE	데이터 레이크	FALSE	로드 밸런서	FALSE	mlops	production	ai	registry
Q005	모델 버전 관리(Model Versioning)		AI / Data / Machine Learning - MLOps / 배포	81	CHOICE	EASY	배포된 모델을 v1, v2처럼 구분해 변경 이력을 추적하고 되돌릴 수 있게 하는 관리를 무엇이라고 하는가?	모델 버전 관리는 모델 변경 이력을 체계적으로 기록해 어떤 버전이 배포됐는지 추적하는 운영 기본기입니다. 왜 중요한지로는 성능 저하나 오류가 발생했을 때 원인 버전으로 빠르게 좁히고 롤백할 수 있기 때문입니다. 실무에서는 모델 파일뿐 아니라 전처리 코드, 피처 정의, 환경 설정도 같이 버전으로 묶어야 안전합니다. 버전 규칙이 없으면 같은 이름의 모델이 서로 다른 의미가 되어 사고가 납니다. 면접에서는 버전 전략과 함께 배포 승인 흐름을 어떻게 잡는지 질문이 자주 나옵니다.		모델 버전 관리	TRUE	데이터 라벨링	FALSE	파라미터 초기화	FALSE	이미지 증강	FALSE	mlops	production	ai	versioning
Q006	롤백(Rollback)		AI / Data / Machine Learning - MLOps / 배포	81	CHOICE	EASY	새로 배포한 모델에 문제가 생겼을 때 이전 안정 버전으로 되돌리는 작업을 무엇이라고 하는가?	롤백은 배포 직후 오류나 성능 저하가 발견되면 이전 안정 버전으로 빠르게 되돌리는 운영 대응입니다. 왜 중요한지로는 모델은 정확도뿐 아니라 예측 실패나 지연으로도 서비스 장애를 만들 수 있기 때문입니다. 실무에서는 롤백 버튼 하나로 되돌릴 수 있도록 배포 파이프라인과 레지스트리를 연동합니다. 롤백 시 모델만 바꾸고 전처리나 피처가 불일치하면 더 큰 문제가 날 수 있어 주의합니다. 면접에서는 롤백 기준을 어떤 지표로 정하는지까지 이어질 수 있습니다.		롤백	TRUE	재학습	FALSE	앙상블	FALSE	교차 검증	FALSE	mlops	production	ai	deployment
Q007	카나리 배포(Canary Deployment)		AI / Data / Machine Learning - MLOps / 배포	81	CHOICE	EASY	전체 사용자에게 한 번에 배포하지 않고 일부 트래픽에만 먼저 새 모델을 적용해 검증하는 배포 방식은 무엇인가?	카나리 배포는 소량 트래픽에 새 모델을 먼저 적용해 안정성과 성능을 확인한 뒤 점진적으로 확대하는 방식입니다. 왜 중요한지로는 문제를 조기에 발견해 피해 범위를 작게 만들 수 있기 때문입니다. 실무에서는 에러율, 지연시간, 핵심 KPI를 기준으로 단계별 확대 조건을 설정합니다. 데이터 편향이 있으면 일부 사용자군에서만 문제를 놓칠 수 있어 샘플링 전략도 중요합니다. 면접에서는 블루그린과의 차이와, 어떤 지표로 중단 결정을 하는지 자주 묻습니다.		카나리 배포	TRUE	블루그린 배포	FALSE	전체 일괄 배포	FALSE	데이터 증강	FALSE	mlops	production	ai	canary
Q008	블루그린 배포(Blue Green Deployment)		AI / Data / Machine Learning - MLOps / 배포	81	CHOICE	EASY	두 개의 동일한 운영 환경을 유지하다가 트래픽을 한 번에 전환해 배포하는 방식은 무엇인가?	블루그린 배포는 기존 환경과 새 환경을 동시에 준비하고 트래픽 스위치를 전환해 배포하는 방식입니다. 왜 중요한지로는 전환이 빠르고, 문제가 생기면 다시 이전 환경으로 되돌리기 쉬운 장점이 있기 때문입니다. 실무에서는 인프라 비용이 2배 가까이 들 수 있어 적용 대상과 빈도를 고려해야 합니다. 모델뿐 아니라 의존 서비스, 설정, 스키마 호환성까지 맞춰야 전환이 안전합니다. 면접에서는 카나리 대비 장단점과 롤백 방법을 설명하는 문제가 자주 나옵니다.		블루그린 배포	TRUE	카나리 배포	FALSE	배치 추론	FALSE	특징 선택	FALSE	mlops	production	ai	deployment
Q009	섀도 배포(Shadow Deployment)		AI / Data / Machine Learning - MLOps / 배포	81	CHOICE	EASY	실제 트래픽을 새 모델에도 보내되, 사용자에게는 결과를 적용하지 않고 관찰만 하는 방식은 무엇인가?	섀도 배포는 실제 요청을 새 모델에도 복제해 보내지만 사용자 응답에는 반영하지 않는 검증 방식입니다. 왜 중요한지로는 사용자 영향 없이 운영 환경에서 성능과 안정성을 확인할 수 있기 때문입니다. 실무에서는 로그로 예측 결과를 비교하거나 지연시간, 오류율을 측정해 배포 가능성을 판단합니다. 개인 정보나 민감 데이터가 섞이면 섀도 경로에서도 보안과 마스킹이 필요합니다. 면접에서는 A-B 테스트와 섀도 배포의 차이를 구분해 설명할 수 있어야 합니다.		섀도 배포	TRUE	A-B 테스트	FALSE	카나리 배포	FALSE	데이터 정제	FALSE	mlops	production	ai	shadow
Q010	A-B 테스트(A-B Testing)		AI / Data / Machine Learning - MLOps / 배포	81	CHOICE	EASY	두 모델을 서로 다른 사용자 그룹에 노출해 어떤 모델이 더 좋은지 비교하는 실험을 무엇이라고 하는가?	A-B 테스트는 트래픽을 나눠 서로 다른 모델을 적용하고 KPI를 비교해 우수한 모델을 선택하는 방법입니다. 왜 중요한지로는 오프라인 지표가 좋아도 실제 사용자 행동에서는 결과가 다를 수 있기 때문입니다. 실무에서는 랜덤 분할, 표본 크기, 실험 기간 같은 기본 통계를 함께 고려해야 합니다. 실험 도중 정책 변경이나 이벤트가 섞이면 결과 해석이 왜곡될 수 있어 주의합니다. 면접에서는 오프라인 평가와 온라인 실험을 어떻게 함께 쓰는지 연결 질문이 자주 나옵니다.		A-B 테스트	TRUE	교차 검증	FALSE	데이터 라벨링	FALSE	모델 압축	FALSE	mlops	production	ai	experiment
