question_temp_key	term_title	term_id	term_category	term_category_id	question_type	difficulty	question_text	explanation	text_answer	choice_1_text	choice_1_is_answer	choice_2_text	choice_2_is_answer	choice_3_text	choice_3_is_answer	choice_4_text	choice_4_is_answer	label_1_key	label_2_key	label_3_key	label_4_key
Q001	JVM(JVM)		언어 중심 - Java	94	CHOICE	EASY	JVM의 역할로 가장 올바른 것은?	JVM은 자바 바이트코드를 실행하는 가상 머신으로, 운영체제와 하드웨어 차이를 추상화합니다. 자바 소스는 컴파일되어 바이트코드가 되고, JVM이 이를 해석하거나 JIT로 컴파일해 실행합니다. 면접에서는 왜 자바가 플랫폼 독립적이라고 말하는지 JVM 관점에서 설명할 수 있어야 합니다. 또한 JVM 내부 구성(클래스 로더, 런타임 데이터 영역, 실행 엔진)을 큰 그림으로 이해하면 질문 확장이 쉬워집니다. 실무에서는 JVM 옵션, 메모리 설정, GC 로그 등을 통해 성능 문제를 진단하는 일이 많습니다.		자바 바이트코드를 실행하는 가상 머신이다	TRUE	자바 소스를 직접 실행하는 운영체제다	FALSE	DB에 쿼리를 최적화해주는 엔진이다	FALSE	웹 요청을 라우팅하는 컨트롤러다	FALSE	java	jvm	runtime	platform
Q002	JDK(JDK)		언어 중심 - Java	94	CHOICE	EASY	JDK에 대한 설명으로 가장 올바른 것은?	JDK는 개발에 필요한 도구 모음으로 JRE를 포함합니다. 컴파일러(javac), 디버거, javadoc 등 개발 도구가 들어 있어 개발 환경에서 필수입니다. JRE는 실행 환경 중심이라 개발 도구는 포함하지 않습니다. 면접에서는 JDK JRE JVM 차이를 정확히 말하는지 자주 확인합니다. 실무에서는 CI 빌드 서버나 로컬 환경에서 JDK 버전 불일치가 장애로 이어질 수 있어 버전 관리가 중요합니다.		자바 개발 도구와 실행 환경(JRE)을 포함한 개발 키트다	TRUE	자바 프로그램 실행만 가능한 환경이다	FALSE	운영체제에 포함된 기본 라이브러리다	FALSE	스프링 애플리케이션 설정 파일 형식이다	FALSE	java	jdk	tools	build
Q003	클래스 로더(Class Loader)		언어 중심 - Java	94	CHOICE	EASY	자바에서 클래스 로더의 역할로 가장 올바른 것은?	클래스 로더는 필요한 클래스 바이트코드를 찾아 메모리에 로딩하는 역할을 합니다. 이 과정에서 검증, 링크, 초기화 단계가 이어지며 정적 초기화도 관련됩니다. 면접에서는 로딩 시점, 부모 위임 모델, 클래스패스 개념과 함께 자주 묻습니다. 실무에서는 ClassNotFoundException이나 NoClassDefFoundError를 원인별로 구분하는 것이 중요합니다. 또한 스프링 부트의 실행 방식이나 shaded jar 환경에서도 로딩 문제가 발생할 수 있어 구조 이해가 도움이 됩니다.		클래스를 메모리에 로딩하는 역할을 한다	TRUE	GC를 수행해 메모리를 회수한다	FALSE	HTTP 요청을 처리한다	FALSE	SQL 인덱스를 생성한다	FALSE	java	classloader	classpath	runtime
Q004	예외 처리(Exception Handling)		언어 중심 - Java	94	CHOICE	EASY	try-catch의 주된 목적은?	try-catch는 예외 발생 가능 코드를 감싸 예외를 처리하거나 변환해 흐름을 제어합니다. 예외를 무조건 숨기는 것이 아니라 적절히 로깅하고 의미 있는 예외로 래핑하는 습관이 중요합니다. 면접에서는 checked 예외와 unchecked 예외 차이로 확장되는 경우가 많습니다. 실무에서는 catch에서 아무것도 하지 않는 빈 catch가 장애를 키우는 원인이 됩니다. 또한 finally 또는 try-with-resources로 자원 해제를 보장하는 것도 핵심 포인트입니다.		예외 상황을 처리해 프로그램이 비정상 종료되는 것을 방지한다	TRUE	성능을 항상 높인다	FALSE	멀티스레딩을 자동으로 처리한다	FALSE	컴파일 속도를 증가시킨다	FALSE	java	exception	trycatch	error
Q005	인터페이스(Interface)		언어 중심 - Java	94	CHOICE	EASY	자바 인터페이스의 특징으로 가장 올바른 것은?	인터페이스는 구현 클래스가 따라야 할 계약을 정의합니다. 다형성을 통해 구현체를 교체해도 호출 측 코드를 변경하지 않게 만들 수 있습니다. 면접에서는 abstract class와의 차이, default 메서드, 다중 구현 가능성 등을 자주 묻습니다. 실무에서는 의존성 역전과 테스트 대역(mock) 적용에 핵심 역할을 합니다. 또한 스프링에서 빈 주입 시 인터페이스 타입으로 의존성을 받으면 결합도가 낮아집니다.		구현 클래스가 따라야 할 메서드 계약을 정의한다	TRUE	객체를 직접 생성하는 생성자 역할을 한다	FALSE	실행 중에만 존재하는 임시 메모리다	FALSE	DB 테이블 구조를 정의한다	FALSE	java	oop	interface	polymorphism
Q006	오버로딩(Overloading)		언어 중심 - Java	94	CHOICE	EASY	메서드 오버로딩에 대한 설명으로 가장 올바른 것은?	오버로딩은 같은 메서드 이름을 유지하면서 파라미터 목록을 다르게 해 여러 동작을 제공하는 기능입니다. 반환 타입만 다르게 하는 것은 오버로딩이 아니며 컴파일 오류가 납니다. 면접에서는 오버로딩과 오버라이딩 차이를 반드시 구분해야 합니다. 실무에서는 API 사용성을 높이지만 너무 과하면 가독성이 떨어질 수 있어 적절한 수준이 중요합니다. 또한 자동 형변환과 가변 인자 때문에 호출이 애매해지는 케이스도 주의해야 합니다.		같은 이름에 파라미터 목록이 다른 메서드를 여러 개 정의하는 것이다	TRUE	상속 관계에서 메서드를 재정의하는 것이다	FALSE	메서드를 실행 중에 삭제하는 것이다	FALSE	반환 타입만 다르게 하면 오버로딩이 된다	FALSE	java	method	overloading	compile
Q007	오버라이딩(Overriding)		언어 중심 - Java	94	CHOICE	EASY	메서드 오버라이딩에 대한 설명으로 가장 올바른 것은?	오버라이딩은 상속 관계에서 부모 클래스 메서드를 자식 클래스가 재정의하는 것입니다. 런타임 다형성으로 인해 참조 타입이 부모여도 실제 객체 타입의 메서드가 호출됩니다. 면접에서는 접근 제한자 규칙(더 좁게 못 바꿈), @Override 의미를 자주 확인합니다. 실무에서는 템플릿 메서드 패턴, 프레임워크 확장 포인트에서 오버라이딩이 자주 등장합니다. 또한 equals, toString 같은 메서드 오버라이딩은 디버깅과 컬렉션 동작에 큰 영향을 줍니다.		부모 메서드를 자식 클래스에서 재정의하는 것이다	TRUE	같은 이름에 파라미터만 바꾸는 것이다	FALSE	클래스 로딩을 의미한다	FALSE	예외를 무조건 숨기는 것이다	FALSE	java	inheritance	overriding	polymorphism
Q008	ArrayList(ArrayList)		언어 중심 - Java	94	CHOICE	EASY	ArrayList의 특징으로 가장 올바른 것은?	ArrayList는 내부적으로 배열을 사용해 인덱스 기반 접근이 빠릅니다. 반면 중간 삽입/삭제는 요소 이동이 필요해 비용이 커질 수 있습니다. 면접에서는 LinkedList와 비교하거나, 동기화 여부를 묻는 질문이 자주 나옵니다. 실무에서는 읽기 많은 리스트에 적합하며, 멀티스레드 환경에서는 동기화 컬렉션이나 별도 보호가 필요합니다. 또한 초기 용량을 설정하면 리사이징 비용을 줄일 수 있습니다.		인덱스로 빠르게 접근할 수 있는 동적 배열 기반 리스트다	TRUE	키-값 쌍을 저장하는 맵이다	FALSE	중복을 허용하지 않는 집합이다	FALSE	LIFO 스택만 구현한다	FALSE	java	collections	arraylist	list
Q009	HashMap(HashMap)		언어 중심 - Java	94	CHOICE	EASY	HashMap에 대한 설명으로 가장 올바른 것은?	HashMap은 키-값 쌍을 저장하는 자료구조이며 키를 기반으로 빠른 조회를 제공합니다. 키의 equals와 hashCode 계약이 깨지면 조회 실패나 중복 키 문제가 발생합니다. 면접에서는 null 허용 여부, HashTable과 차이, 동시성 문제를 자주 묻습니다. 실무에서는 멀티스레드에서 ConcurrentHashMap 사용 여부를 판단해야 합니다. 또한 키로 엔티티나 VO를 쓰면 equals hashCode 구현이 매우 중요해집니다.		키-값 쌍을 저장하는 자료구조다	TRUE	요소를 입력 순서대로만 저장한다	FALSE	중복을 허용하지 않는 집합이다	FALSE	스레드 안전이 기본 보장된다	FALSE	java	collections	hashmap	keyvalue
Q010	Stream API(Stream API)		언어 중심 - Java	94	CHOICE	EASY	자바 Stream API의 목적에 가장 가까운 것은?	Stream은 컬렉션 데이터를 선언적으로 처리하기 위한 API입니다. map, filter, reduce 같은 연산을 연결해 가독성을 높일 수 있습니다. 다만 Stream은 데이터를 저장하지 않고 파이프라인 형태로 처리하며, 최종 연산이 실행되어야 실제 계산이 일어납니다. 면접에서는 지연 연산(lazy)과 최종 연산, 병렬 스트림 주의점을 자주 묻습니다. 실무에서는 과도한 스트림 사용이 디버깅을 어렵게 할 수 있어 적절히 for문과 균형을 맞추는 것이 좋습니다.		컬렉션 데이터를 함수형 스타일로 처리하기 위한 API다	TRUE	DB 트랜잭션을 관리하기 위한 API다	FALSE	HTTP 라우팅을 담당하는 API다	FALSE	스레드를 생성하고 종료하는 API다	FALSE	java	stream	functional	collection
