question_temp_key	term_title	term_id	term_category	term_category_id	question_type	difficulty	question_text	explanation	text_answer	choice_1_text	choice_1_is_answer	choice_2_text	choice_2_is_answer	choice_3_text	choice_3_is_answer	choice_4_text	choice_4_is_answer	label_1_key	label_2_key	label_3_key	label_4_key
Q001	학습·검증·테스트 분할(Train Validation Test Split)		AI / Data / Machine Learning - 모델 평가 및 성능 지표	79	CHOICE	EASY	모델 성능을 공정하게 평가하기 위해 데이터를 보통 어떻게 나누는가?	모델 평가는 학습에 쓰인 데이터와 평가에 쓰인 데이터를 분리하는 것이 기본입니다. Train은 모델 파라미터를 학습하는 데 사용합니다. Validation은 하이퍼파라미터 튜닝과 모델 선택에 사용합니다. Test는 최종 성능을 확인하는 용도로 마지막에 한 번만 쓰는 것이 원칙입니다. 이렇게 분리하지 않으면 성능이 부풀려져 실무 배포 시 성능이 급락할 수 있습니다.		Train만 사용한다	FALSE	Train, Validation, Test로 나눈다	TRUE	Test로 학습하고 Train으로 평가한다	FALSE	Validation은 필요 없고 Test만 있으면 된다	FALSE	experimental_design	ai	split	validation
Q002	교차 검증(K Fold Cross Validation)		AI / Data / Machine Learning - 모델 평가 및 성능 지표	79	CHOICE	EASY	데이터를 여러 조각으로 나눠 번갈아 검증하는 평가 방법은?	실험 설계에서 데이터가 적을 때 한 번의 분할만으로는 평가가 불안정할 수 있습니다. 교차 검증은 데이터를 K개로 나눈 뒤 일부를 검증용으로 바꿔가며 반복 평가합니다. 이렇게 하면 분할 운에 의한 편차를 줄일 수 있습니다. 평균 성능을 보고 모델의 일반화 성능을 더 안정적으로 추정할 수 있습니다. 다만 계산 비용이 커질 수 있어 실무에서는 상황에 맞춰 K를 정합니다.		홀드아웃 분할	FALSE	교차 검증	TRUE	정규화	FALSE	데이터 증강	FALSE	experimental_design	ai	cross_validation	evaluation
Q003	층화 분할(Stratified Split)		AI / Data / Machine Learning - 모델 평가 및 성능 지표	79	CHOICE	EASY	분류 데이터에서 클래스 비율을 비슷하게 유지하며 나누는 방법은?	모델 평가에서 Train과 Test의 클래스 비율이 크게 다르면 점수가 왜곡될 수 있습니다. 층화 분할은 각 클래스 비율을 최대한 유지한 채로 데이터를 나누는 방식입니다. 특히 클래스 불균형 데이터에서 기본 분할보다 안정적인 평가를 돕습니다. 면접에서는 왜 층화가 필요한지와 어떤 문제를 막는지 자주 질문합니다. 실무에서는 랜덤 분할만 쓰면 특정 클래스가 Test에 거의 없게 되는 상황을 조심해야 합니다.		랜덤으로 아무렇게나 나눈다	FALSE	층화 분할	TRUE	오버샘플링만 한다	FALSE	정답을 먼저 보고 나눈다	FALSE	experimental_design	ai	stratified_split	data_split
Q004	베이스라인 모델(Baseline Model)		AI / Data / Machine Learning - 모델 평가 및 성능 지표	79	CHOICE	EASY	새 모델이 좋아졌는지 판단하기 위해 비교 대상으로 먼저 만드는 간단한 모델은?	실험 설계에서는 비교 기준이 없으면 개선 여부를 말하기 어렵습니다. 베이스라인 모델은 단순한 규칙이나 기본 알고리즘으로 만든 기준 성능입니다. 새 모델이 베이스라인을 못 이기면 복잡도를 늘린 의미가 줄어듭니다. 면접에서는 베이스라인을 어떻게 잡는지와 왜 중요한지 자주 묻습니다. 실무에서는 베이스라인을 명확히 두면 팀 내 의사결정과 목표 설정이 쉬워집니다.		앙상블 모델	FALSE	베이스라인 모델	TRUE	전이 학습	FALSE	정규화	FALSE	experimental_design	ai	baseline	comparison
Q005	랜덤 시드(Random Seed)		AI / Data / Machine Learning - 모델 평가 및 성능 지표	79	CHOICE	EASY	실험을 반복해도 같은 결과가 나오도록 난수 생성 과정을 고정하는 값은?	모델 학습과 데이터 분할에는 난수가 많이 쓰입니다. 랜덤 시드를 고정하면 같은 코드와 데이터에서 결과를 재현하기가 쉬워집니다. 재현성은 실험 설계의 기본이고 협업에서도 매우 중요합니다. 면접에서는 재현성을 위해 무엇을 고정해야 하는지로 확장 질문이 나옵니다. 실무에서는 시드뿐 아니라 라이브러리 버전과 환경도 함께 관리하는 것이 안전합니다.		배치 크기	FALSE	랜덤 시드	TRUE	활성화 함수	FALSE	에폭 수	FALSE	experimental_design	ai	reproducibility	random_seed
Q006	데이터 누수(Data Leakage)		AI / Data / Machine Learning - 모델 평가 및 성능 지표	79	CHOICE	EASY	평가 성능이 비정상적으로 높아지는 흔한 원인으로, 학습 과정에 정답 힌트가 섞이는 문제는?	데이터 누수는 Test에 있어야 할 정보가 학습 과정에 섞이는 문제입니다. 예를 들어 전처리를 전체 데이터로 fit 하거나 중복 샘플이 Train과 Test에 동시에 있으면 발생할 수 있습니다. 누수가 있으면 모델이 진짜로 잘하는 것이 아니라 정답을 미리 본 것처럼 점수가 나옵니다. 면접에서는 누수 사례와 방지 방법을 자주 질문합니다. 실무에서는 파이프라인을 Train 기준으로 fit 하고 Test에는 transform만 적용하는 습관이 중요합니다.		과소적합	FALSE	데이터 누수	TRUE	드롭아웃	FALSE	배치 정규화	FALSE	experimental_design	ai	data_leakage	pipeline
Q007	혼동 행렬(Confusion Matrix)		AI / Data / Machine Learning - 모델 평가 및 성능 지표	79	CHOICE	EASY	분류 모델에서 정답과 예측의 조합별 개수를 표로 정리한 것은?	혼동 행렬은 분류 결과를 정답과 예측의 조합으로 집계한 표입니다. True Positive, False Positive 같은 값이 여기서 나옵니다. 정확도만 보면 어떤 종류의 실수가 많은지 알기 어렵습니다. 혼동 행렬을 보면 오탐과 미탐을 구체적으로 파악할 수 있습니다. 실무에서는 불균형 데이터에서 혼동 행렬을 먼저 확인하는 경우가 많습니다.		손실 함수	FALSE	혼동 행렬	TRUE	학습률 스케줄러	FALSE	정규화	FALSE	model_evaluation	ai	confusion_matrix	metrics
Q008	정확도(Accuracy)		AI / Data / Machine Learning - 모델 평가 및 성능 지표	79	CHOICE	EASY	정확도(Accuracy)의 의미로 가장 올바른 것은?	정확도는 전체 예측 중 맞춘 비율입니다. 계산이 쉬워서 기본 지표로 자주 사용됩니다. 하지만 클래스 불균형이 심하면 정확도가 높아도 모델이 쓸모 없을 수 있습니다. 예를 들어 대부분이 음성인 데이터에서는 항상 음성만 예측해도 정확도가 높게 나옵니다. 실무에서는 정확도만 보지 말고 다른 지표도 함께 확인해야 합니다.		양성만 맞춘 비율	FALSE	전체 예측 중 맞춘 비율	TRUE	틀린 비율	FALSE	예측 확률의 평균	FALSE	model_evaluation	ai	accuracy	classification
Q009	정밀도(Precision)		AI / Data / Machine Learning - 모델 평가 및 성능 지표	79	CHOICE	EASY	정밀도(Precision)에 대한 설명으로 맞는 것은?	정밀도는 양성이라고 예측한 것 중 실제로 양성인 비율입니다. 즉 오탐을 줄이는 관점에서 중요합니다. 스팸 필터처럼 잘못 양성으로 잡으면 피해가 큰 문제에서 유용합니다. 면접에서는 재현율과의 차이와 트레이드오프를 설명할 수 있어야 합니다. 실무에서는 임계값을 조정하면서 정밀도 목표를 맞추기도 합니다.		실제 양성 중 맞춘 비율	FALSE	예측 양성 중 실제 양성 비율	TRUE	전체 중 맞힌 비율	FALSE	오차 제곱의 평균	FALSE	model_evaluation	ai	precision	threshold
Q010	재현율(Recall)		AI / Data / Machine Learning - 모델 평가 및 성능 지표	79	CHOICE	EASY	재현율(Recall)에 대한 설명으로 맞는 것은?	재현율은 실제 양성 중에서 모델이 양성으로 맞춘 비율입니다. 즉 놓치는 양성 사례를 얼마나 줄였는지와 관련이 큽니다. 질병 진단처럼 놓치면 큰 문제가 되는 경우에 특히 중요합니다. 면접에서는 정밀도와 재현율을 상황에 맞게 선택할 수 있는지 확인합니다. 실무에서는 비용 구조에 따라 미탐을 줄일지 오탐을 줄일지 우선순위를 정합니다.		예측 양성 중 실제 양성 비율	FALSE	실제 양성 중 맞춘 비율	TRUE	전체 중 맞힌 비율	FALSE	상관계수	FALSE	model_evaluation	ai	recall	classification
