question_temp_key	term_title	term_id	term_category	term_category_id	question_type	difficulty	question_text	explanation	text_answer	choice_1_text	choice_1_is_answer	choice_2_text	choice_2_is_answer	choice_3_text	choice_3_is_answer	choice_4_text	choice_4_is_answer	label_1_key	label_2_key	label_3_key	label_4_key
Q001	선형 탐색(Linear Search)		Data Structure & Algorithm - 탐색 알고리즘	42	CHOICE	EASY	배열에서 선형 탐색의 핵심 동작으로 가장 올바른 것은?	선형 탐색은 앞에서부터 하나씩 값을 비교하며 목표를 찾는 방식입니다. 정렬 여부와 상관없이 동작한다는 점이 장점입니다. 하지만 데이터가 커질수록 비교 횟수가 늘어 성능이 급격히 나빠질 수 있습니다. Big-O 관점에서 최악의 경우 모든 원소를 확인해야 합니다. 면접에서는 선형 탐색과 이진 탐색의 전제 조건 차이를 자주 묻습니다.		앞에서부터 순서대로 비교하며 찾는다	TRUE	중간 값을 기준으로 절반을 버린다	FALSE	해시 함수를 만들어 즉시 위치를 찾는다	FALSE	인접 원소를 비교하며 swap을 반복한다	FALSE	dsa	searching		
Q002	이진 탐색(Binary Search)		Data Structure & Algorithm - 탐색 알고리즘	42	CHOICE	EASY	이진 탐색을 적용하기 위한 필수 조건으로 가장 적절한 것은?	이진 탐색은 범위를 절반씩 줄여가며 찾는 알고리즘입니다. 절반을 버릴 수 있으려면 데이터에 순서 정보가 있어야 합니다. 그래서 보통 오름차순 또는 내림차순으로 정렬된 배열이 전제입니다. 정렬이 깨져 있으면 올바른 반쪽을 버린다는 보장이 사라집니다. 실무에서는 정렬 비용까지 포함해 전체 성능을 판단하는 것이 중요합니다.		데이터가 정렬되어 있다	TRUE	데이터에 중복이 없다	FALSE	데이터가 모두 양수다	FALSE	데이터 길이가 짝수다	FALSE	dsa	searching		
Q003	이진 탐색 시간 복잡도		Data Structure & Algorithm - 복잡도 분석	45	CHOICE	EASY	길이가 n인 정렬된 배열에서 이진 탐색의 시간 복잡도로 가장 올바른 것은?	이진 탐색은 매 단계마다 탐색 구간을 절반으로 줄입니다. 구간이 1이 될 때까지 몇 번 절반으로 줄일 수 있는지가 핵심입니다. 이 횟수는 log2 n에 비례합니다. 따라서 Big-O로는 O(log n)으로 표현합니다. 면접에서는 왜 log가 나오는지 직관을 설명할 수 있어야 합니다.		O(n)	FALSE	O(log n)	TRUE	O(n log n)	FALSE	O(n^2)	FALSE	dsa	searching		
Q004	버블 정렬(Bubble Sort)		Data Structure & Algorithm - 정렬 알고리즘	43	CHOICE	EASY	버블 정렬의 동작 방식으로 가장 올바른 것은?	버블 정렬은 인접한 두 원소를 비교해 순서가 틀리면 교환합니다. 한 번의 패스가 끝나면 가장 큰 값이 맨 뒤로 이동하는 특징이 있습니다. 구현이 단순하지만 비교와 교환이 많아 대규모 데이터에는 부적합합니다. Big-O 기준 최악의 경우 O(n^2)입니다. 면접에서는 왜 느린지, 언제 그래도 쓸 수 있는지(교육용, 매우 작은 n)를 묻기도 합니다.		인접한 원소를 비교하고 필요하면 교환한다	TRUE	최솟값을 찾아 맨 앞으로 보낸다	FALSE	정렬된 부분에 원소를 삽입해 나간다	FALSE	절반으로 나누어 합치며 정렬한다	FALSE	dsa	sorting		
Q005	버블 정렬 최악 시간 복잡도		Data Structure & Algorithm - 복잡도 분석	45	CHOICE	EASY	버블 정렬의 최악 시간 복잡도로 가장 올바른 것은?	버블 정렬은 전체를 여러 번 순회하며 인접 비교를 반복합니다. 원소 수가 늘어날수록 비교 횟수가 제곱 수준으로 증가합니다. 역순처럼 가장 불리한 입력에서 거의 모든 비교와 교환이 발생합니다. Big-O로는 O(n^2)로 정리합니다. 면접에서는 최선 케이스 최적화(스왑 없으면 종료)도 아는지 확인하기도 합니다.		O(log n)	FALSE	O(n)	FALSE	O(n log n)	FALSE	O(n^2)	TRUE	dsa	sorting		
Q006	선택 정렬(Selection Sort)		Data Structure & Algorithm - 정렬 알고리즘	43	CHOICE	EASY	선택 정렬의 핵심 아이디어로 가장 올바른 것은?	선택 정렬은 매 단계마다 남은 구간에서 최솟값(또는 최댓값)을 선택합니다. 그 값을 현재 위치와 교환하여 정렬된 구간을 늘려 갑니다. 교환 횟수는 비교적 적지만 비교 횟수는 여전히 많습니다. Big-O 기준으로 시간은 보통 O(n^2)입니다. 실무에서는 안정 정렬이 아니라는 점도 주의 포인트입니다.		매 단계에서 최솟값을 찾아 현재 위치로 보낸다	TRUE	인접 비교로 큰 값을 뒤로 보낸다	FALSE	정렬된 구간에 원소를 끼워 넣는다	FALSE	피벗 기준으로 좌우를 분할한다	FALSE	dsa	sorting		
Q007	삽입 정렬(Insertion Sort)		Data Structure & Algorithm - 정렬 알고리즘	43	CHOICE	EASY	삽입 정렬에 대한 설명으로 가장 올바른 것은?	삽입 정렬은 앞쪽을 항상 정렬된 상태로 유지합니다. 다음 원소를 꺼내 정렬된 구간의 올바른 위치에 삽입합니다. 데이터가 거의 정렬되어 있으면 이동이 적어 매우 빠를 수 있습니다. Big-O 관점에서 최악은 O(n^2)이지만 최선은 O(n)까지 내려갑니다. 면접에서는 왜 거의 정렬된 데이터에 유리한지 설명을 요구합니다.		정렬된 구간에 다음 원소를 적절한 위치에 삽입한다	TRUE	최솟값을 선택해 교환한다	FALSE	절반씩 범위를 줄여 목표를 찾는다	FALSE	두 배열을 병합하면서 정렬한다	FALSE	dsa	sorting		
Q008	삽입 정렬 최선 시간 복잡도		Data Structure & Algorithm - 복잡도 분석	45	CHOICE	EASY	이미 오름차순으로 정렬된 배열에서 삽입 정렬의 시간 복잡도로 가장 적절한 것은?	삽입 정렬은 원소를 삽입할 때 앞쪽을 확인하며 이동시킵니다. 이미 정렬되어 있으면 각 원소는 거의 이동할 필요가 없습니다. 비교는 하되 이동이 거의 없어서 전체가 한 번 스캔에 가깝게 진행됩니다. Big-O로는 O(n)으로 설명할 수 있습니다. 실무에서는 거의 정렬된 로그나 타임스탬프 데이터에서 유리할 수 있습니다.		O(n)	TRUE	O(log n)	FALSE	O(n log n)	FALSE	O(n^2)	FALSE	dsa	sorting		
Q009	병합 정렬(Merge Sort)		Data Structure & Algorithm - 정렬 알고리즘	43	CHOICE	EASY	병합 정렬의 기본 전략으로 가장 올바른 것은?	병합 정렬은 divide and conquer 전략을 사용합니다. 배열을 반으로 나누고 각 부분을 재귀적으로 정렬합니다. 그 다음 두 정렬된 배열을 병합하여 전체를 정렬합니다. Big-O 기준 시간은 O(n log n)으로 안정적입니다. 면접에서는 병합 단계가 O(n)인 이유를 설명할 수 있어야 합니다.		배열을 분할하고 정렬한 뒤 병합한다	TRUE	인접 원소를 반복 swap한다	FALSE	최솟값을 골라 앞에 둔다	FALSE	피벗을 고정하고 한 번만 순회한다	FALSE	dsa	sorting		
Q010	병합 정렬 추가 메모리		Data Structure & Algorithm - 복잡도 분석	45	CHOICE	EASY	일반적인 병합 정렬 구현에서 추가 메모리 사용에 대한 설명으로 가장 적절한 것은?	병합 정렬은 병합 과정에서 임시 배열을 사용하는 구현이 흔합니다. 두 정렬된 구간을 하나로 합칠 때 별도의 버퍼가 필요합니다. 그래서 추가 공간이 입력 크기에 비례하는 경우가 많습니다. Big-O로는 보통 O(n) 추가 메모리로 설명합니다. 실무에서는 메모리 제약이 크면 다른 정렬을 고려하기도 합니다.		추가 메모리가 거의 필요 없다 O(1)	FALSE	추가 메모리가 O(log n) 정도 든다	FALSE	추가 메모리가 O(n) 정도 든다	TRUE	추가 메모리가 O(n^2) 정도 든다	FALSE	dsa	sorting		
