question_temp_key	term_title	term_id	term_category	term_category_id	question_type	difficulty	question_text	explanation	text_answer	choice_1_text	choice_1_is_answer	choice_2_text	choice_2_is_answer	choice_3_text	choice_3_is_answer	choice_4_text	choice_4_is_answer	label_1_key	label_2_key	label_3_key	label_4_key	
Q001	HTML 기본 구조		Frontend - HTML/CSS	11	CHOICE	EASY	HTML 문서의 기본 구조로 가장 올바른 것은?	HTML 문서는 doctype 선언 후 html 태그 안에 head와 body로 구성됩니다. head는 메타데이터, body는 화면에 보이는 콘텐츠를 담습니다. 면접에서는 기본 골격을 정확히 알고 있는지 자주 확인합니다. 실무에서는 head에 charset과 viewport를 빠뜨리면 인코딩이나 반응형 문제가 생길 수 있습니다. 템플릿 복사 시에도 구조를 이해하고 수정하는 습관이 중요합니다.		doctype 다음에 body만 작성한다	FALSE	html 태그 안에 head와 body를 둔다	TRUE	head는 화면에 표시되는 본문이다	FALSE	body는 메타데이터만 넣는 영역이다	FALSE	frontend	html			
Q002	DOCTYPE		Frontend - HTML/CSS	11	CHOICE	EASY	HTML5에서 DOCTYPE 선언으로 올바른 것은?	DOCTYPE은 브라우저에게 문서의 HTML 버전을 알려 표준 모드로 렌더링하도록 돕습니다. HTML5는 선언이 단순하며 오래된 호환 모드(quirks mode) 방지에 유용합니다. 면접에서는 왜 필요한지, 없으면 어떤 문제가 생길 수 있는지로 확장 질문이 나옵니다. 실무에서는 레거시 문서에서 DOCTYPE 누락 시 레이아웃이 깨지는 원인이 되기도 합니다. 가장 안전한 기본값이 HTML5 DOCTYPE입니다.			TRUE		FALSE		FALSE		FALSE	frontend	html			
Q003	head와 body		Frontend - HTML/CSS	11	CHOICE	EASY	head 태그에 주로 들어가는 내용으로 맞는 것은?	head에는 문서 정보(메타데이터)와 리소스 연결(link, script) 등이 들어갑니다. title, meta charset, meta viewport 같은 설정은 기본 중의 기본입니다. 면접에서는 head와 body 구분을 통해 HTML 구조 이해도를 봅니다. 실무에서는 SEO, 소셜 공유(Open Graph), 성능(preload)도 head에서 관리하는 경우가 많습니다. 화면에 직접 보이는 콘텐츠는 body에 둡니다.		본문 텍스트와 이미지	FALSE	제목(title)과 메타(meta) 정보	TRUE	목록(ul, li)	FALSE	버튼(button)	FALSE	frontend	html			
Q004	시맨틱 태그(Semantic Tag)		Frontend - HTML/CSS	11	CHOICE	EASY	시맨틱 태그의 예로 가장 적절한 것은?	시맨틱 태그는 의미를 담아 문서 구조를 명확히 합니다. header, nav, main, section, article, footer 등이 대표적입니다. 면접에서는 div 남발을 줄이고 접근성과 SEO에 도움이 된다는 점을 말하면 좋습니다. 실무에서도 스크린 리더, 검색 엔진, 협업 시 코드 가독성에 직접적인 영향을 줍니다. 단순히 모양이 아니라 의미 중심으로 선택하는 것이 핵심입니다.		div	FALSE	span	FALSE	header	TRUE	b	FALSE	frontend	html	a11y	seo	
Q005	a 태그(anchor)		Frontend - HTML/CSS	11	CHOICE	EASY	다른 페이지로 이동하는 링크를 만드는 태그는?	a 태그는 하이퍼링크를 만들 때 사용하며 href 속성으로 목적지를 지정합니다. 면접에서는 target, rel 같은 보안 관련 속성으로 확장 질문이 자주 나옵니다. 실무에서는 새 탭 열기(target=_blank) 사용 시 rel=noopener noreferrer를 같이 두어 보안 이슈를 줄입니다. 또한 접근성을 위해 링크 텍스트를 의미 있게 작성하는 것이 좋습니다. 링크는 버튼과 역할이 다르다는 점도 구분해두면 유리합니다.		link	FALSE	a	TRUE	href	FALSE	url	FALSE	frontend	html	security		
Q006	이미지(img)		Frontend - HTML/CSS	11	CHOICE	EASY	이미지 대체 텍스트를 지정하는 속성은?	alt는 이미지가 로딩되지 않거나 스크린 리더 사용 시 대체 설명을 제공합니다. 접근성 측면에서 매우 중요하고 면접에서도 거의 단골 질문입니다. 실무에서는 장식용 이미지면 빈 alt를 두고, 의미 있는 이미지면 핵심 정보를 간결하게 적습니다. alt를 파일명처럼 쓰는 실수는 흔한 감점 포인트입니다. SEO에도 간접적으로 도움이 될 수 있습니다.		title	FALSE	aria-label	FALSE	alt	TRUE	src	FALSE	frontend	html	a11y		
Q007	리스트(List)		Frontend - HTML/CSS	11	CHOICE	EASY	순서가 있는 목록(1,2,3)을 만들 때 쓰는 태그는?	ol은 ordered list로 순서가 중요한 목록에 씁니다. ul은 unordered list로 순서가 중요하지 않을 때 사용합니다. 면접에서는 ul/ol 차이와 li 필수 여부를 묻는 경우가 많습니다. 실무에서는 메뉴, 단계 안내, 체크리스트 등 다양한 UI에 활용됩니다. 스타일은 CSS로 바꾸되 의미는 올바른 태그로 유지하는 게 중요합니다.		ul	FALSE	ol	TRUE	li	FALSE	dl	FALSE	frontend	html			
Q008	폼(form)		Frontend - HTML/CSS	11	CHOICE	EASY	입력값을 서버로 전송할 때 사용하는 태그는?	form은 사용자 입력을 묶어 전송하는 컨테이너입니다. action은 전송 URL, method는 GET/POST 같은 전송 방식을 의미합니다. 면접에서는 method 차이(GET은 쿼리스트링, POST는 바디) 정도를 가볍게 확인합니다. 실무에서는 입력 검증, 접근성(label 연결), 보안(민감정보 전송) 등을 함께 고려합니다. 기본 태그 의미를 정확히 쓰는 것이 중요합니다.		form	TRUE	input	FALSE	div	FALSE	section	FALSE	frontend	html			
Q009	label과 input		Frontend - HTML/CSS	11	CHOICE	EASY	label이 특정 input과 연결되도록 하는 속성 조합은?	label의 for와 input의 id를 동일하게 맞추면 연결됩니다. 이렇게 하면 라벨을 클릭해도 입력창에 포커스가 가고, 스크린 리더에도 유리합니다. 면접에서는 접근성과 사용성 관점에서 왜 중요한지 묻습니다. 실무에서는 체크박스나 라디오 버튼에서 특히 체감이 큽니다. name은 폼 데이터 키로 쓰이므로 역할이 다릅니다.		label name 과 input name	FALSE	label for 와 input id	TRUE	label id 와 input for	FALSE	label class 와 input class	FALSE	frontend	html	a11y		
Q010	블록과 인라인		Frontend - HTML/CSS	11	CHOICE	EASY	div와 span의 기본 display 성격으로 올바른 것은?	div는 기본적으로 block, span은 기본적으로 inline입니다. block은 한 줄을 차지하고 줄바꿈이 생기며, inline은 콘텐츠만큼만 차지합니다. 면접에서는 display 개념과 레이아웃 기본기를 보려는 의도가 큽니다. 실무에서는 CSS로 바꿀 수 있지만 기본값을 알고 있어야 디버깅이 빨라집니다. 특히 margin, width 적용 차이를 함께 기억해두면 좋습니다.		div는 inline, span은 block	FALSE	div는 block, span은 inline	TRUE	둘 다 block이다	FALSE	둘 다 inline이다	FALSE	frontend	css			
Q011	선택자(Selector)		Frontend - HTML/CSS	11	CHOICE	EASY	클래스 선택자를 올바르게 작성한 것은?	클래스 선택자는 점을 사용해 .className 형태로 선택합니다. 아이디 선택자는 #idName, 태그 선택자는 div처럼 태그명을 그대로 씁니다. 면접에서는 기본 선택자 문법을 빠르게 체크합니다. 실무에서는 클래스 네이밍 규칙(BEM 등)과 결합되어 유지보수에 큰 영향을 줍니다. 선택자를 과하게 구체적으로 쓰면 override가 어려워지는 점도 주의합니다.		#box	FALSE	.box	TRUE	box	FALSE	@box	FALSE	frontend	css			
Q012	아이디 선택자		Frontend - HTML/CSS	11	CHOICE	EASY	id가 header인 요소를 선택하는 CSS는?	id 선택자는 #을 사용합니다. id는 문서 내 고유해야 한다는 점을 함께 말하면 면접에서 점수가 좋습니다. 실무에서는 id 기반 스타일링은 재사용성이 떨어져 클래스가 더 선호되는 편입니다. 그래도 특정 앵커 이동이나 고유 요소 제어에 id가 쓰일 수 있습니다. 선택자 우선순위(특이성)에서도 id가 강하다는 점을 기억해두면 좋습니다.		header	FALSE	.header	FALSE	#header	TRUE	*header	FALSE	frontend	css			
Q013	색상 표현(Color)		Frontend - HTML/CSS	11	CHOICE	EASY	CSS에서 16진수 색상 표현으로 올바른 것은?	CSS는 #RRGGBB 형태로 16진수 색상을 많이 씁니다. 예를 들어 #ff0000은 빨강입니다. 면접에서는 기본 문법 체크 용도로 가볍게 나옵니다. 실무에서는 디자인 시스템 토큰과 함께 자주 사용됩니다. 3자리 축약(#fff)도 가능하지만 기본형부터 정확히 아는 게 우선입니다.		0xff0000	FALSE	#ff0000	TRUE	rgb#(255,0,0)	FALSE	color(red)	FALSE	frontend	css			
Q014	박스 모델(Box Model)		Frontend - HTML/CSS	11	CHOICE	EASY	CSS 박스 모델 구성 요소로 가장 올바른 것은?	박스 모델은 content, padding, border, margin으로 구성됩니다. 면접에서는 width/height가 어디까지 포함되는지(box-sizing)로 이어지기도 합니다. 실무에서는 레이아웃 깨짐의 원인이 padding, border 포함 계산일 때가 많습니다. padding은 내부 여백, margin은 외부 여백이라는 구분을 정확히 말하면 좋습니다. 기본기를 잡아두면 UI 디버깅 속도가 크게 올라갑니다.		margin, border, padding, content	TRUE	padding, outline, grid, content	FALSE	content, shadow, radius, margin	FALSE	border, flex, padding, font	FALSE	frontend	css	layout		
Q015	margin vs padding		Frontend - HTML/CSS	11	CHOICE	EASY	padding에 대한 설명으로 맞는 것은?	padding은 요소의 콘텐츠와 테두리(border) 사이의 내부 여백입니다. margin은 요소 바깥쪽의 외부 여백이라 이웃 요소와 거리 조절에 쓰입니다. 면접에서는 둘의 차이를 정확히 말하는지 자주 봅니다. 실무에서는 클릭 영역을 늘릴 때 padding을 쓰는 경우가 많습니다. margin collapse 같은 현상은 심화로 이어질 수 있지만 EASY에서는 개념 구분이 핵심입니다.		요소 바깥의 여백이다	FALSE	요소 안쪽의 여백이다	TRUE	글자 색상을 바꾼다	FALSE	요소를 숨긴다	FALSE	frontend	css			
Q016	display 속성		Frontend - HTML/CSS	11	CHOICE	EASY	요소를 화면에서 보이지 않게 하고 공간도 차지하지 않게 하는 속성은?	display none은 요소를 렌더 트리에서 제외해 공간도 차지하지 않습니다. visibility hidden은 보이지 않지만 공간은 유지됩니다. 면접에서는 두 속성의 차이를 함께 물어보는 경우가 흔합니다. 실무에서는 토글 UI, 모달, 드롭다운 등에 자주 쓰입니다. 접근성 측면에서는 화면에 숨길 때도 스크린 리더 처리 전략이 필요할 수 있습니다.		visibility hidden	FALSE	opacity 0	FALSE	display none	TRUE	color transparent	FALSE	frontend	css			
Q017	position 기본		Frontend - HTML/CSS	11	CHOICE	EASY	position 기본값으로 올바른 것은?	position의 기본값은 static입니다. static은 top, left 같은 위치 속성이 적용되지 않습니다. 면접에서는 relative, absolute와 차이를 기반으로 질문이 이어질 수 있습니다. 실무에서는 absolute를 쓸 때 기준이 되는 relative를 어디에 줄지 실수하는 경우가 많습니다. 기본값을 정확히 알고 있어야 레이아웃 디버깅이 쉽습니다.		absolute	FALSE	fixed	FALSE	static	TRUE	relative	FALSE	frontend	css	layout		
Q018	Flexbox 기본		Frontend - HTML/CSS	11	CHOICE	EASY	flex 컨테이너를 만드는 CSS 선언은?	display flex를 주면 해당 요소가 flex 컨테이너가 되고 자식 요소가 flex item이 됩니다. 면접에서는 주축/교차축, justify-content, align-items로 이어지기도 합니다. 실무에서는 헤더 정렬, 카드 레이아웃, 수평 배치에 자주 활용됩니다. grid와 비교 질문도 종종 나오지만 EASY에서는 선언 자체가 핵심입니다. 기본 선언을 정확히 기억해두면 좋습니다.		display block	FALSE	display inline	FALSE	display flex	TRUE	flex display	FALSE	frontend	css	layout		
Q019	폰트 크기 단위		Frontend - HTML/CSS	11	CHOICE	EASY	CSS에서 상대 단위로 가장 적절한 것은?	em, rem은 상대 단위로 폰트 크기나 간격을 유연하게 조정할 때 쓰입니다. px은 절대 단위로 픽셀 기반 고정 크기입니다. 면접에서는 반응형/접근성 관점에서 rem을 선호하는 이유를 묻기도 합니다. 실무에서는 전역 폰트 크기 조정과 연동되는 rem이 디자인 시스템에 유리합니다. 상대 단위를 사용하면 사용자 폰트 설정에 더 잘 대응합니다.		px	FALSE	rem	TRUE	pt	FALSE	cm	FALSE	frontend	css	responsive		
Q020	미디어 쿼리(Media Query)		Frontend - HTML/CSS	11	CHOICE	EASY	반응형 웹을 위해 화면 너비에 따라 스타일을 적용하는 문법은?	미디어 쿼리는 장치 특성(너비 등)에 따라 CSS를 분기합니다. @media (max-width: 768px) 같은 형태가 대표적입니다. 면접에서는 mobile-first 접근과 함께 자주 등장합니다. 실무에서는 브레이크포인트를 디자인 시스템으로 관리하면 유지보수가 좋아집니다. width 조건을 잘못 잡으면 특정 구간에서 레이아웃이 깨질 수 있으니 테스트가 중요합니다.		@import	FALSE	@media	TRUE	@font-face	FALSE	@keyframes	FALSE	frontend	css	responsive		
Q021	HTML 기본 구조		Frontend - HTML/CSS	11	CHOICE	EASY	HTML 문서의 기본 구성으로 가장 올바른 것은?	HTML은 문서의 뼈대를 만드는 마크업 언어이며 기본 구조가 정해져 있습니다. html 태그 안에는 head와 body가 들어갑니다. head는 메타데이터와 리소스 링크를 담고, body는 화면에 보이는 콘텐츠를 담습니다. 면접에서는 이 기본 구조를 정확히 아는지로 기초를 확인합니다. 실무에서도 템플릿을 수정할 때 head와 body의 역할을 헷갈리면 설정 누락이 자주 발생합니다.		body 안에 head를 넣는다	FALSE	html 안에 head와 body를 둔다	TRUE	head 안에 body를 둔다	FALSE	doctype은 body 안에 둔다	FALSE	frontend	html	structure		
Q022	DOCTYPE		Frontend - HTML/CSS	11	CHOICE	EASY	HTML5 DOCTYPE 선언으로 올바른 것은?	DOCTYPE은 브라우저에게 문서가 어떤 HTML 표준을 따르는지 알려줍니다. HTML5에서는 선언이 단순해 만 쓰면 됩니다. DOCTYPE이 없으면 브라우저가 호환 모드로 렌더링할 수 있어 레이아웃이 예기치 않게 달라질 수 있습니다. 면접에서는 왜 필요한지까지 설명하면 더 좋습니다. 실무에서는 기본 템플릿에 포함해 두고 누락되지 않게 관리하는 것이 중요합니다.			FALSE		TRUE		FALSE		FALSE	frontend	html	rendering		
Q023	head 태그		Frontend - HTML/CSS	11	CHOICE	EASY	head 태그에 주로 포함되는 것으로 맞는 것은?	head에는 문서 정보와 리소스 연결 정보가 들어갑니다. title, meta charset, meta viewport 같은 설정이 대표적입니다. body에 들어가는 내용은 화면에 보이는 실제 콘텐츠입니다. 면접에서는 head와 body의 역할을 구분할 수 있는지 자주 확인합니다. 실무에서는 viewport 설정 누락으로 반응형이 깨지는 문제가 생길 수 있어 head 설정을 꼼꼼히 챙겨야 합니다.		문서 제목과 메타 정보	TRUE	본문 텍스트	FALSE	이미지와 버튼	FALSE	리스트 항목	FALSE	frontend	html	meta		
Q024	시맨틱 태그		Frontend - HTML/CSS	11	CHOICE	EASY	시맨틱 태그의 예로 올바른 것은?	시맨틱 태그는 의미를 담아 문서 구조를 명확히 합니다. header, nav, main, section, article, footer 등이 대표적입니다. div와 span은 의미가 약한 컨테이너라 구조 표현에 한계가 있습니다. 면접에서는 시맨틱 태그가 접근성과 SEO에 도움이 되는 이유를 물어보기도 합니다. 실무에서도 협업 시 코드 가독성이 좋아져 유지보수가 쉬워집니다.		header	TRUE	div	FALSE	span	FALSE	b	FALSE	frontend	html	semantic	a11y	
Q025	링크(a)		Frontend - HTML/CSS	11	CHOICE	EASY	하이퍼링크를 만드는 태그는?	a 태그는 웹에서 페이지 이동을 만드는 기본 태그입니다. href 속성에 이동할 주소를 적습니다. 면접에서는 target과 rel 같은 속성을 추가로 물을 수 있습니다. 실무에서는 새 탭으로 열 때 보안 이슈를 줄이기 위해 rel noopener noreferrer를 고려합니다. 링크는 버튼과 역할이 다르므로 의미에 맞게 사용하는 것이 중요합니다.		a	TRUE	link	FALSE	href	FALSE	url	FALSE	frontend	html	link		
Q026	이미지(img)		Frontend - HTML/CSS	11	CHOICE	EASY	이미지 파일 경로를 지정하는 속성은?	img 태그는 이미지를 표시하고 src 속성으로 파일 경로를 지정합니다. alt는 대체 텍스트로 접근성과 품질에 중요합니다. 면접에서는 src와 alt를 구분해서 설명할 수 있는지 봅니다. 실무에서는 깨진 이미지가 생기면 src 경로부터 확인하는 것이 기본입니다. 또한 성능을 위해 적절한 포맷과 크기를 선택하는 것도 중요합니다.		alt	FALSE	src	TRUE	href	FALSE	title	FALSE	frontend	html	image		
