question_temp_key	term_title	term_id	term_category	term_category_id	question_type	difficulty	question_text	explanation	text_answer	choice_1_text	choice_1_is_answer	choice_2_text	choice_2_is_answer	choice_3_text	choice_3_is_answer	choice_4_text	choice_4_is_answer	label_1_key	label_2_key	label_3_key	label_4_key
Q001	HTTP 메서드 GET		Backend - HTTP·REST API 설계	17	CHOICE	EASY	조회 목적의 HTTP 메서드로 옳은 것은?	GET은 서버 리소스를 조회할 때 쓰는 메서드입니다. 일반적으로 서버 상태를 변경하지 않는 요청에 사용하며 safe 개념과 연결됩니다. 면접에서는 GET과 POST를 혼용했을 때 어떤 문제가 생기는지 자주 묻습니다. 실무에서는 캐시와 프록시가 GET을 더 잘 활용할 수 있어 성능과 확장성에 유리합니다. 조회는 기본적으로 GET을 우선 선택하고 필요 조건은 쿼리 파라미터로 표현하는 습관이 중요합니다.		POST	FALSE	GET	TRUE	PATCH	FALSE	DELETE	FALSE	backend	http	rest	api
Q002	HTTP 메서드 POST		Backend - HTTP·REST API 설계	17	CHOICE	EASY	새 리소스 생성에 일반적으로 사용하는 메서드는?	POST는 주로 새로운 리소스 생성에 사용됩니다. 서버가 새 id를 발급하고 생성 결과를 응답으로 돌려주는 패턴과 잘 맞습니다. 면접에서는 POST와 PUT의 차이를 멱등성 관점에서 설명하는지 확인합니다. 실무에서는 생성 요청을 GET으로 두면 중복 호출 위험이 커지고 보안상 문제도 생길 수 있습니다. 생성은 POST를 기본으로 하고 상태 코드와 Location 헤더까지 함께 설계하는 것이 좋습니다.		GET	FALSE	POST	TRUE	PUT	FALSE	HEAD	FALSE	backend	http	rest	api
Q003	HTTP 메서드 PUT		Backend - HTTP·REST API 설계	17	CHOICE	EASY	리소스를 전체 교체 업데이트할 때 보통 사용하는 메서드는?	PUT은 지정한 리소스의 전체 표현을 보내 교체하는 의미로 많이 씁니다. 같은 요청을 여러 번 보내도 결과가 같아지는 멱등성이 핵심입니다. 면접에서는 PUT이 부분 수정인지 전체 교체인지 관례를 물을 수 있습니다. 실무에서 부분 수정인데 PUT을 쓰면 누락 필드가 덮어써져 데이터 손실이 날 수 있습니다. 전체 교체는 PUT 부분 수정은 PATCH로 구분하면 API 의미가 명확해집니다.		PATCH	FALSE	PUT	TRUE	POST	FALSE	OPTIONS	FALSE	backend	http	rest	api
Q004	HTTP 메서드 PATCH		Backend - HTTP·REST API 설계	17	CHOICE	EASY	리소스의 일부 필드만 수정할 때 일반적으로 사용하는 메서드는?	PATCH는 리소스의 일부 변경을 표현할 때 자주 사용됩니다. 전체 문서를 보내지 않고 변경분만 전달하는 설계에 적합합니다. 면접에서는 PATCH의 멱등성 여부를 사례로 설명할 수 있는지 물을 수 있습니다. 실무에서는 PATCH 요청 바디 구조를 명확히 정의하지 않으면 구현마다 의미가 달라져 버그가 생깁니다. 부분 수정은 PATCH를 기본으로 하고 요청 스키마와 검증 규칙을 문서화하는 것이 중요합니다.		PUT	FALSE	PATCH	TRUE	GET	FALSE	TRACE	FALSE	backend	http	rest	api
Q005	REST URI 설계		Backend - HTTP·REST API 설계	17	CHOICE	EASY	REST 스타일 URI 설계로 가장 적절한 것은?	REST에서는 URI는 리소스를 표현하고 행위는 HTTP 메서드로 표현하는 것이 기본입니다. 그래서 URI에는 동사보다 명사를 쓰는 관례가 널리 사용됩니다. 면접에서는 왜 동사형 경로가 안 좋은지 설명하도록 물을 수 있습니다. 실무에서는 일관된 리소스 네이밍이 문서화와 클라이언트 개발 속도에 큰 영향을 줍니다. 보통 복수형 리소스 컬렉션을 쓰고 단건은 id를 경로로 표현합니다.		/createUser	FALSE	/users	TRUE	/users/create	FALSE	/doCreateUser	FALSE	backend	http	rest	api
Q006	옳지 않은 URI		Backend - HTTP·REST API 설계	17	CHOICE	EASY	다음 중 REST 관점에서 옳지 않은 URI는?	REST에서는 동작을 URI에 넣기보다 메서드로 표현하는 것이 원칙에 가깝습니다. 그래서 delete 같은 동사가 URI에 들어가면 의미가 중복되고 설계가 흐려집니다. 면접에서는 동사형 URI를 어떤 식으로 바꾸는지 제안하라고 할 수 있습니다. 실무에서는 /users/10에 DELETE를 보내면 삭제가 되도록 만드는 편이 더 표준적인 구조입니다. URI와 메서드의 역할을 분리하면 API 확장과 유지보수가 쉬워집니다.		/users/10	FALSE	/users/10/delete	TRUE	/orders/3	FALSE	/products/7	FALSE	backend	http	rest	api
Q007	상태 코드 200		Backend - HTTP·REST API 설계	17	CHOICE	EASY	정상 조회 성공 시 가장 흔한 상태 코드는?	200은 요청이 성공했고 응답 바디에 결과가 포함될 때 널리 사용됩니다. GET 단건 조회나 목록 조회에서 대표적으로 사용됩니다. 면접에서는 200과 204의 차이를 상황별로 설명할 수 있는지 봅니다. 실무에서는 단건이 없을 때 404 목록이 비었을 때 200과 빈 배열 등 정책을 통일하는 것이 중요합니다. 상태 코드가 흔들리면 프론트 로직과 모니터링이 복잡해집니다.		201	FALSE	200	TRUE	204	FALSE	409	FALSE	backend	http	rest	api
Q008	상태 코드 201		Backend - HTTP·REST API 설계	17	CHOICE	EASY	리소스 생성 성공을 가장 잘 표현하는 상태 코드는?	201은 서버가 새 리소스를 생성했음을 나타냅니다. 생성된 리소스의 위치를 Location 헤더로 알려주는 패턴과 잘 맞습니다. 면접에서는 생성 시 200을 써도 되는지와 차이를 물을 수 있습니다. 실무에서는 201과 함께 생성된 리소스 요약 정보를 바디로 내려주기도 합니다. 생성 응답 규칙을 정해두면 API 사용성이 좋아지고 디버깅도 쉬워집니다.		200	FALSE	201	TRUE	202	FALSE	204	FALSE	backend	http	rest	api
Q009	상태 코드 204		Backend - HTTP·REST API 설계	17	CHOICE	EASY	응답 바디 없이 성공을 표현할 때 적절한 상태 코드는?	204는 성공했지만 응답 바디가 없다는 의미입니다. 삭제 성공이나 업데이트 성공 후 바디가 필요 없을 때 자주 쓰입니다. 면접에서는 204를 쓰면 클라이언트가 무엇을 주의해야 하는지 질문할 수 있습니다. 실무에서는 204 응답에서 바디를 파싱하려 하면 오류가 날 수 있으니 프론트와 합의를 맞춰야 합니다. 바디를 내려줄 계획이면 200을 쓰는 편이 더 명확할 수 있습니다.		200	FALSE	204	TRUE	301	FALSE	500	FALSE	backend	http	rest	api
Q010	옳지 않은 상태 코드		Backend - HTTP·REST API 설계	17	CHOICE	EASY	다음 중 상황에 대한 상태 코드 매핑이 옳지 않은 것은?	상태 코드는 클라이언트가 상황을 해석하는 핵심 신호입니다. 인증 실패와 권한 부족은 401과 403으로 구분하는 것이 일반적입니다. 면접에서는 401과 403의 차이를 사례로 말해보라고 자주 나옵니다. 실무에서 이 둘을 혼용하면 보안 정책과 사용자 경험이 흔들립니다. 올바른 매핑을 팀 규칙으로 문서화해 일관성을 유지하는 것이 중요합니다.		인증 토큰 없음은 401	FALSE	권한 부족은 403	FALSE	요청 본문 형식 오류는 400	FALSE	권한 부족은 401	TRUE	backend	http	rest	api
