question_temp_key (필수)	term_title (표시용)	term_id (선택)	term_category (표시용)	term_category_id (선택)	question_type (필수)	difficulty (필수)	question_text (필수)	explanation (선택)	text_answer (TEXT일 때 필수)	choice_1_text	choice_1_is_answer	choice_2_text	choice_2_is_answer	choice_3_text	choice_3_is_answer	choice_4_text	choice_4_is_answer	label_1_key (선택)	label_2_key (선택)	label_3_key (선택)	label_4_key (선택)
Q001	변수 선언(let)		Frontend - JavaScript	12	CHOICE	EASY	let으로 선언한 변수의 스코프 설명으로 올바른 것은?	let은 ES6에서 도입된 변수 선언 방식으로, 블록 스코프를 갖습니다. 블록 스코프란 중괄호로 감싼 영역 안에서만 변수가 유효하다는 의미입니다. var와 달리 함수 스코프가 아니라서 의도치 않은 값 공유를 줄여줍니다. 면접에서는 스코프 차이를 통해 버그 가능성을 설명할 수 있는지 자주 봅니다. 실무에서는 반복문이나 조건문 내부 변수 관리에 let을 많이 사용합니다.		전역 어디서나 항상 접근 가능하다	FALSE	블록 안에서만 유효한 블록 스코프이다	TRUE	함수가 끝날 때까지 유효한 함수 스코프이다	FALSE	오직 객체 내부에서만 유효하다	FALSE	frontend	javascript		
Q002	상수 선언(const)		Frontend - JavaScript	12	CHOICE	EASY	const로 선언한 변수에 대한 설명으로 가장 적절한 것은?	const는 재할당이 불가능한 바인딩을 만드는 키워드입니다. 즉, 같은 변수 이름에 다른 값을 다시 넣을 수 없습니다. 다만 객체나 배열을 const로 선언해도 내부 속성이나 요소 변경은 가능하다는 점이 포인트입니다. 면접에서는 재할당과 변경 가능성을 구분하는지 묻는 질문이 자주 나옵니다. 실무에서는 기본적으로 const를 우선 사용하고, 꼭 필요할 때만 let으로 바꾸는 습관이 안전합니다.		값을 다시 할당할 수 없고, 선언과 동시에 초기화가 필요하다	TRUE	값을 언제든지 다시 할당할 수 있다	FALSE	함수 내부에서만 사용할 수 있다	FALSE	선언하면 자동으로 숫자 타입이 된다	FALSE	frontend	javascript		
Q003	타입 확인(typeof)		Frontend - JavaScript	12	CHOICE	EASY	typeof 연산자의 역할로 올바른 것은?	typeof는 값의 타입을 문자열로 반환하는 연산자입니다. 디버깅이나 런타임 체크에서 자주 사용됩니다. 면접에서는 typeof null이 object로 나오는 오래된 특이 케이스를 알고 있는지 확장 질문이 나오기도 합니다. 하지만 EASY 단계에서는 기본적으로 숫자, 문자열, 불리언 등을 구분하는 용도로 이해하면 충분합니다. 실무에서는 입력값 검증이나 방어 코드에서 자주 등장합니다.		값의 타입을 문자열로 반환한다	TRUE	변수를 선언하는 키워드이다	FALSE	배열 길이를 구하는 메서드이다	FALSE	문자열을 숫자로 변환한다	FALSE	frontend	javascript		
Q004	엄격한 동등(===)		Frontend - JavaScript	12	CHOICE	EASY	JavaScript에서 === 연산자에 대한 설명으로 올바른 것은?	자바스크립트에서 “동등 비교”는 두 가지 방식이 있는데, 그중 하나가 ===(엄격한 동등)입니다. ===는 타입 변환을 하지 않고 비교하기 때문에 값과 타입이 모두 같아야 true가 되며, 결과가 예측 가능하다는 장점이 있습니다. 반대로 ==는 비교 과정에서 타입 변환이 일어날 수 있어서, 의도하지 않게 true로 평가되는 등 예기치 않은 결과가 나올 수 있습니다. 면접에서는 ===를 기본으로 권장하는 이유를 “타입 변환이 만들어내는 버그 가능성” 관점에서 설명할 수 있어야 합니다. 실무에서도 비교 로직의 안정성을 위해 ===를 우선 사용하고, 정말 필요한 경우에만 ==를 제한적으로 쓰는 편이 안전합니다. 특히 폼 입력값처럼 문자열로 들어오는 값과 숫자 값을 비교할 때 혼동이 잦으므로, 비교 연산자를 일관되게 선택하는 습관이 중요합니다.		타입 변환 없이 값과 타입을 함께 비교한다	TRUE	타입이 달라도 값이 비슷하면 true가 된다	FALSE	문자열만 비교할 수 있다	FALSE	숫자 비교에는 사용할 수 없다	FALSE	frontend	javascript		
Q005	Truthy와 Falsy		Frontend - JavaScript	12	CHOICE	EASY	다음 중 JavaScript에서 falsy 값에 해당하는 것은?	JavaScript에서는 조건문에서 false처럼 평가되는 값들이 있습니다. 이를 falsy라고 하며, 대표적으로 false, 0, 빈 문자열, null, undefined, NaN이 있습니다. 면접에서는 조건문 버그를 막기 위해 falsy 목록을 알고 있는지 확인하는 경우가 많습니다. 실무에서는 값 존재 여부를 체크할 때 단순 if(value)로 처리하면 0이나 빈 문자열이 의도치 않게 걸러질 수 있습니다. 따라서 의도에 따라 명시 비교를 쓰는 습관이 중요합니다.		빈 문자열	TRUE	빈 객체	FALSE	빈 배열	FALSE	문자열 "false"	FALSE	frontend	javascript		
Q006	배열 길이(length)		Frontend - JavaScript	12	CHOICE	EASY	배열의 요소 개수를 확인할 때 일반적으로 사용하는 것은?	배열은 여러 값을 순서대로 담는 자료구조이며, 길이를 나타내는 대표 속성이 length입니다. length는 현재 배열에 들어 있는 요소 수를 반환합니다. 면접에서는 배열 기본 조작을 정확히 알고 있는지 확인하려고 자주 출제됩니다. 실무에서는 반복문 범위를 정하거나, 비어 있는 배열인지 검사할 때 length를 사용합니다. length는 속성이므로 호출 형태가 아니라 점 접근으로 사용한다는 점도 함께 기억하면 좋습니다.		length 속성	TRUE	size 메서드	FALSE	count 속성	FALSE	capacity 속성	FALSE	frontend	javascript		
Q007	배열 추가(push)		Frontend - JavaScript	12	CHOICE	EASY	배열의 맨 뒤에 요소를 추가하는 메서드는 무엇인가?	push는 배열 끝에 요소를 추가하는 대표적인 메서드입니다. 반환값은 보통 추가 후 배열의 새로운 길이입니다. 면접에서는 push, pop 같은 기본 메서드를 통해 배열 조작 감각을 확인합니다. 실무에서는 로그 누적, 리스트 추가 등에서 자주 쓰이지만, 불변성을 중요하게 다루는 코드에서는 새 배열을 만드는 방식도 함께 사용합니다. 상황에 따라 원본 변경 여부를 의식하는 습관이 중요합니다.		push	TRUE	pop	FALSE	shift	FALSE	slice	FALSE	frontend	javascript		
Q008	배열 제거(pop)		Frontend - JavaScript	12	CHOICE	EASY	배열의 마지막 요소를 제거하고 그 값을 반환하는 메서드는?	pop은 배열의 마지막 요소를 제거하고, 제거된 요소를 반환합니다. push와 짝을 이루는 기본 동작이라 면접에서 세트로 자주 나옵니다. 실무에서는 스택처럼 배열을 사용할 때 pop이 많이 사용됩니다. 다만 pop은 원본 배열을 변경하므로, 상태 관리에서 불변성을 요구하는 상황에서는 주의해야 합니다. 원본 변경이 문제될 수 있는지 항상 생각하고 사용해야 합니다.		pop	TRUE	push	FALSE	unshift	FALSE	join	FALSE	frontend	javascript		
Q009	템플릿 리터럴(Template Literal)		Frontend - JavaScript	12	CHOICE	EASY	템플릿 리터럴의 특징으로 올바른 것은?	템플릿 리터럴은 백틱을 사용해 문자열을 만드는 방식입니다. 문자열 내부에 변수를 쉽게 삽입할 수 있어 가독성이 좋아집니다. 면접에서는 문자열 포매팅을 어떻게 하는지, 그리고 왜 템플릿 리터럴이 편한지 물어볼 수 있습니다. 실무에서는 UI 문자열, 로그 메시지, URL 구성 등에 자주 쓰입니다. 값 삽입 시 타입 변환이 어떻게 되는지도 함께 이해하면 안정적인 출력이 가능합니다.		문자열 안에 변수를 쉽게 삽입할 수 있다	TRUE	오직 숫자만 저장할 수 있다	FALSE	배열을 만들 때만 사용한다	FALSE	객체 프로퍼티를 삭제하는 문법이다	FALSE	frontend	javascript		
Q010	함수 선언(Function)		Frontend - JavaScript	12	CHOICE	EASY	function 키워드로 만드는 것의 기본 용도로 가장 적절한 것은?	함수는 재사용 가능한 코드 블록을 정의하는 핵심 문법입니다. 입력값을 받아 처리하고 결과를 반환하도록 만들 수 있습니다. 면접에서는 매개변수와 반환값, 그리고 함수의 역할 분리를 이해하는지 확인합니다. 실무에서는 중복 로직을 함수로 분리해 테스트 가능성과 유지보수성을 높입니다. 함수 이름을 의미 있게 짓는 습관이 협업에서 특히 중요합니다.		재사용 가능한 코드 블록을 정의한다	TRUE	변수의 타입을 고정한다	FALSE	배열을 자동 정렬한다	FALSE	HTML을 자동 생성한다	FALSE	frontend	javascript		
