question_temp_key	term_title	term_id	term_category	term_category_id	question_type	difficulty	question_text	explanation	text_answer	choice_1_text	choice_1_is_answer	choice_2_text	choice_2_is_answer	choice_3_text	choice_3_is_answer	choice_4_text	choice_4_is_answer	label_1_key	label_2_key	label_3_key	label_4_key
Q001	편향(Bias)		AI / Data / Machine Learning - AI 서비스 응용	80	CHOICE	EASY	AI 모델이 성별이나 연령대 같은 특정 집단에 불리한 결과를 반복적으로 낸다면 가장 관련 있는 이슈는?	편향은 데이터나 모델이 특정 집단에 체계적으로 불리한 결과를 내는 현상입니다. Responsible AI에서는 이 편향이 차별로 이어질 수 있어 특히 중요합니다. 면접에서는 편향이 생기는 원인과 발견 방법을 자주 묻습니다. 실무에서는 학습 데이터의 대표성 점검과 성능을 집단별로 분해해 확인하는 것이 핵심입니다. 편향을 방치하면 법적 리스크와 신뢰 하락으로 서비스 자체가 흔들릴 수 있습니다.		편향 및 차별	TRUE	과적합	FALSE	캐시 미스	FALSE	데드락	FALSE	ai	governance	responsible_ai	
Q002	공정성(Fairness)		AI / Data / Machine Learning - AI 서비스 응용	80	CHOICE	EASY	Responsible AI에서 공정성의 목표로 가장 적절한 설명은?	공정성은 모델이 특정 집단에 불리하게 작동하지 않도록 결과의 불균형을 줄이는 목표입니다. Responsible AI의 핵심 원칙 중 하나로, 단순 정확도보다 사회적 영향까지 봅니다. 면접에서는 공정성 지표를 어떤 식으로 확인할지 질문이 나옵니다. 실무에서는 집단별 정밀도나 재현율을 분리해 보고, 데이터 수집과 라벨링 편향도 함께 점검합니다. 공정성은 한 가지 정의로 끝나지 않으므로 서비스 목적과 규정에 맞는 기준을 먼저 합의해야 합니다.		전체 정확도만 올리는 것	FALSE	집단 간 성능 격차를 줄이는 것	TRUE	모델 크기를 줄이는 것	FALSE	학습 속도를 높이는 것	FALSE	ai	governance	responsible_ai	
Q003	설명가능성(Explainability)		AI / Data / Machine Learning - AI 서비스 응용	80	CHOICE	EASY	모델이 어떤 근거로 결정을 내렸는지 사람이 이해할 수 있도록 하는 성질은?	설명가능성은 모델의 예측 근거를 사람이 납득 가능한 방식으로 설명할 수 있는 특성입니다. Responsible AI에서는 사용자 신뢰와 책임 소재를 위해 설명가능성이 중요합니다. 면접에서는 해석가능 모델과 설명 기법의 차이를 물을 수 있습니다. 실무에서는 오류 분석과 고객 대응, 규제 대응을 위해 간단한 설명을 제공하는 경우가 많습니다. 다만 설명이 과도하게 단순하면 오해를 만들 수 있어 설명의 범위와 한계를 같이 안내해야 합니다.		확장성(Scalability)	FALSE	설명가능성(Explainability)	TRUE	난수성(Randomness)	FALSE	압축(Compression)	FALSE	ai	governance	responsible_ai	
Q004	투명성(Transparency)		AI / Data / Machine Learning - AI 서비스 응용	80	CHOICE	EASY	서비스가 AI를 사용해 자동 결정을 내린다는 사실을 사용자에게 알리는 원칙으로 가장 가까운 것은?	투명성은 AI 사용 여부, 목적, 데이터 사용 방식 등을 이해관계자에게 명확히 알리는 원칙입니다. Responsible AI 관점에서 투명성은 신뢰 형성과 오남용 방지에 직접 연결됩니다. 면접에서는 투명성이 왜 필요한지와 어떤 정보를 공개해야 하는지 물을 수 있습니다. 실무에서는 고지 문구, 모델 한계, 사용자의 선택권 제공 같은 형태로 구현됩니다. 투명성이 부족하면 사용자가 결과를 맹신하거나 불신해 서비스 리텐션이 크게 떨어질 수 있습니다.		투명성(Transparency)	TRUE	가용성(Availability)	FALSE	압축률(Compression ratio)	FALSE	캐시 적중률(Cache hit rate)	FALSE	ai	governance	responsible_ai	
Q005	인간 감독(Human Oversight)		AI / Data / Machine Learning - AI 서비스 응용	80	CHOICE	EASY	고위험 의사결정에서 AI 결과를 사람이 최종 확인하거나 개입할 수 있게 설계하는 개념은?	인간 감독은 AI가 내린 결과를 사람이 검토하고 필요 시 수정하거나 중단할 수 있게 하는 설계입니다. Responsible AI에서는 안전성과 책임성을 위해 인간 개입 통로를 확보하는 것이 중요합니다. 면접에서는 언제 자동화를 멈추고 사람 검토로 돌릴지 기준을 물을 수 있습니다. 실무에서는 승인 워크플로, 예외 처리, 임계치 기반 알림 같은 형태로 구현합니다. 인간 감독이 없으면 모델 오류가 그대로 고객 피해로 이어질 수 있어 특히 금융이나 채용 등에서 리스크가 큽니다.		완전 자동화(Full automation)	FALSE	인간 감독(Human Oversight)	TRUE	무상태 설계(Stateless)	FALSE	오프라인 학습(Offline training)	FALSE	ai	governance	responsible_ai	
Q006	데이터 최소화(Data Minimization)		AI / Data / Machine Learning - AI 서비스 응용	80	CHOICE	EASY	개인정보 보호 관점에서 수집해야 할 데이터의 원칙으로 가장 적절한 것은?	데이터 최소화는 목적 달성에 필요한 범위의 데이터만 수집하고 보관하자는 원칙입니다. Responsible AI에서는 과도한 수집이 프라이버시 침해와 보안 사고로 이어질 수 있어 중요합니다. 면접에서는 최소화 원칙과 데이터 수집 목적의 정합성을 자주 확인합니다. 실무에서는 입력 필드를 줄이고, 로그에 민감정보가 남지 않게 마스킹하는 식으로 적용합니다. 수집을 많이 해두면 언젠가 쓰겠지라는 발상은 사고 시 피해 범위를 키우는 대표적 위험 요인입니다.		목적과 무관한 데이터도 최대한 수집한다	FALSE	필요한 최소 데이터만 수집한다	TRUE	데이터는 한 번 수집하면 영구 보관한다	FALSE	정확도를 위해 무조건 원본 데이터를 저장한다	FALSE	ai	governance	responsible_ai	
Q007	동의(Consent)		AI / Data / Machine Learning - AI 서비스 응용	80	CHOICE	EASY	사용자의 데이터를 학습이나 분석에 활용하기 전에 사용자에게 알리고 허락을 받는 절차로 가장 적절한 것은?	동의는 사용자가 자신의 데이터가 어떤 목적으로 사용되는지 알고 허락하는 과정입니다. Responsible AI에서는 동의가 투명성과 개인정보 보호의 출발점이 됩니다. 면접에서는 고지와 동의가 실제로 어떻게 구현되는지 질문이 나옵니다. 실무에서는 동의 화면, 선택권 제공, 동의 철회 기능까지 함께 설계하는 것이 중요합니다. 동의가 형식적이면 신뢰를 잃고 규제 리스크가 커지므로 문구와 UI를 사용자 관점에서 점검해야 합니다.		캐시 갱신(Cache refresh)	FALSE	사용자 동의(Consent)	TRUE	샤딩(Sharding)	FALSE	로드 밸런싱(Load balancing)	FALSE	ai	governance	responsible_ai	
Q008	가명처리(Pseudonymization)		AI / Data / Machine Learning - AI 서비스 응용	80	CHOICE	EASY	원본 식별자를 다른 값으로 치환해 직접 식별을 어렵게 만들되, 별도 키로 재식별 가능성이 남는 처리는?	가명처리는 식별자를 치환해 직접 식별을 어렵게 만들지만, 추가 정보가 있으면 재식별 가능성이 남습니다. Responsible AI에서는 데이터 활용과 프라이버시 보호의 균형을 위해 가명처리를 자주 사용합니다. 면접에서는 익명화와 가명처리의 차이를 구분하는지 확인합니다. 실무에서는 키 관리와 접근 통제, 로그 마스킹이 함께 가야 안전합니다. 가명처리를 익명화로 착각하면 재식별 위험을 과소평가하게 되어 큰 사고로 이어질 수 있습니다.		익명화(Anonymization)	FALSE	가명처리(Pseudonymization)	TRUE	정규화(Normalization)	FALSE	역정규화(Denormalization)	FALSE	ai	governance	responsible_ai	
Q009	익명화(Anonymization)		AI / Data / Machine Learning - AI 서비스 응용	80	CHOICE	EASY	개인을 특정할 수 없도록 재식별 가능성을 매우 낮춘 처리 방식으로 가장 가까운 것은?	익명화는 개인을 식별할 수 없도록 정보를 제거하거나 변형해 재식별 가능성을 낮추는 처리입니다. Responsible AI에서는 데이터 공유나 분석 시 프라이버시 리스크를 줄이는 핵심 수단입니다. 면접에서는 익명화가 완벽히 가능한지, 어떤 공격이 가능한지로 확장 질문이 나올 수 있습니다. 실무에서는 단순 삭제만으로는 부족하고 결합 공격을 고려한 설계가 필요합니다. 익명화가 불충분하면 외부 데이터와 조합해 다시 개인이 드러날 수 있으니 위험 평가가 필수입니다.		익명화(Anonymization)	TRUE	인덱싱(Indexing)	FALSE	트랜잭션(Transaction)	FALSE	로깅(Logging)	FALSE	ai	governance	responsible_ai	
Q010	접근 통제(Access Control)		AI / Data / Machine Learning - AI 서비스 응용	80	CHOICE	EASY	모델 학습 데이터나 민감 로그에 대해 권한 있는 사람만 접근하도록 하는 보안 통제는?	접근 통제는 사용자나 시스템의 권한에 따라 데이터 접근을 제한하는 방식입니다. Responsible AI에서는 데이터 오남용을 막고 책임 있는 운영을 보장하는 기반입니다. 면접에서는 최소 권한 원칙과 역할 기반 권한을 자주 묻습니다. 실무에서는 RBAC 적용, 비밀 관리, 감사 로그와 함께 운영해야 합니다. 권한이 넓게 열려 있으면 내부자 사고나 실수로 대규모 유출이 발생하기 쉬워 반드시 점검해야 합니다.		접근 통제(Access Control)	TRUE	페이징(Paging)	FALSE	폴링(Polling)	FALSE	스케일 업(Scale up)	FALSE	ai	governance	responsible_ai	
