question_temp_key	term_title	term_id	term_category	term_category_id	question_type	difficulty	question_text	explanation	text_answer	choice_1_text	choice_1_is_answer	choice_2_text	choice_2_is_answer	choice_3_text	choice_3_is_answer	choice_4_text	choice_4_is_answer	label_1_key	label_2_key	label_3_key	label_4_key
Q001	ETL(Extract Transform Load)		AI / Data / Machine Learning - 데이터 전처리 및 파이프라인	78	CHOICE	EASY	데이터 파이프라인에서 ETL을 가장 올바르게 설명한 것은?	ETL은 데이터를 추출하고 변환한 뒤 최종 저장소로 적재하는 흐름입니다. 데이터 엔지니어링에서 가장 기본적인 파이프라인 패턴으로 자주 등장합니다. 변환 단계에서 타입 정리, 결측치 처리, 표준화 같은 품질 작업이 이뤄집니다. 면접에서는 ETL과 ELT 차이를 묻고 어떤 상황에 적합한지 연결 질문이 나옵니다. 실무에서는 변환 로직이 커질수록 재처리 비용과 장애 영향이 커지므로 단계를 잘 나누는 것이 중요합니다.		데이터를 변환한 다음 추출한다	FALSE	데이터를 추출하고 변환한 뒤 적재한다	TRUE	모델을 학습하고 배포하는 과정이다	FALSE	네트워크 암호화 방식이다	FALSE	data_engineering	pipeline		
Q002	ELT(Extract Load Transform)		AI / Data / Machine Learning - 데이터 전처리 및 파이프라인	78	CHOICE	EASY	ELT 방식의 특징으로 가장 적절한 것은?	ELT는 데이터를 먼저 저장소에 적재하고 나중에 변환하는 방식입니다. 클라우드 데이터 웨어하우스가 강력해지며 많이 쓰이게 되었습니다. 원본을 그대로 쌓아두기 쉬워 재처리나 분석 요구 변경에 유연합니다. 면접에서는 ETL 대비 장단점과 운영 리스크를 함께 물어봅니다. 실무에서는 staging과 mart 계층을 분리하고 품질 검증을 넣어 신뢰도를 유지하는 것이 핵심입니다.		변환을 먼저 하고 적재는 마지막이다	FALSE	적재 후 저장소에서 변환을 수행한다	TRUE	실시간 처리만 의미한다	FALSE	인덱스를 자동 생성하는 기능이다	FALSE	data_engineering	pipeline		
Q003	데이터 레이크(Data Lake)		AI / Data / Machine Learning - 데이터 전처리 및 파이프라인	78	CHOICE	EASY	데이터 레이크를 가장 잘 설명한 것은?	데이터 레이크는 다양한 형태의 원천 데이터를 크게 담아두는 저장소 개념입니다. 정형 데이터뿐 아니라 로그, 이미지 같은 비정형 데이터도 저장할 수 있습니다. 면접에서는 데이터 웨어하우스와 무엇이 다른지, 스키마를 언제 적용하는지 자주 나옵니다. 실무에서는 관리 없이 쌓이면 데이터 스왐이 되어 찾기 어렵고 품질이 낮아질 수 있습니다. 그래서 메타데이터, 카탈로그, 접근 제어를 함께 설계하는 것이 중요합니다.		정형 데이터만 저장하는 관계형 DB를 의미한다	FALSE	다양한 형태의 원천 데이터를 대규모로 저장한다	TRUE	메시지를 전달하는 큐 시스템이다	FALSE	모델 정확도를 높이는 기법이다	FALSE	data_engineering	storage		
Q004	데이터 웨어하우스(Data Warehouse)		AI / Data / Machine Learning - 데이터 전처리 및 파이프라인	78	CHOICE	EASY	데이터 웨어하우스의 목적에 가장 가까운 것은?	데이터 웨어하우스는 분석과 리포팅을 위한 정제된 데이터를 구조화해 저장합니다. 운영 DB의 트랜잭션 처리와 달리 분석 쿼리에 최적화되는 경우가 많습니다. 면접에서는 레이크와의 차이, 스키마 설계, 성능 이슈가 자주 나옵니다. 실무에서는 지표 정의를 표준화해 단일한 진실의 원천을 만드는 것이 핵심입니다. 권한과 거버넌스를 적용해 신뢰 가능한 데이터 제공을 목표로 합니다.		웹 화면 렌더링을 위한 프론트엔드 캐시이다	FALSE	분석용으로 정제된 데이터를 구조화해 저장한다	TRUE	실시간 채팅 서버를 의미한다	FALSE	파일 압축 포맷의 한 종류다	FALSE	data_engineering	analytics		
Q005	데이터 마트(Data Mart)		AI / Data / Machine Learning - 데이터 전처리 및 파이프라인	78	CHOICE	EASY	데이터 마트의 설명으로 가장 올바른 것은?	데이터 마트는 특정 부서나 목적에 맞춘 분석용 데이터 영역입니다. 웨어하우스 전체보다 범위가 좁아 사용자가 필요한 데이터를 빠르게 쓰게 돕습니다. 면접에서는 웨어하우스와 마트의 관계, 왜 분리하는지 질문이 나올 수 있습니다. 실무에서는 마트가 난립하면 지표가 서로 달라지는 문제가 생길 수 있습니다. 그래서 공통 지표 정의와 데이터 소스 기준을 명확히 하는 운영이 중요합니다.		운영 DB의 기본 테이블을 의미한다	FALSE	특정 목적에 맞춘 분석용 데이터 영역이다	TRUE	데이터 전송을 위한 네트워크 프로토콜이다	FALSE	GPU 메모리를 의미한다	FALSE	data_engineering	analytics		
Q006	배치 처리(Batch Processing)		AI / Data / Machine Learning - 데이터 전처리 및 파이프라인	78	CHOICE	EASY	배치 처리의 설명으로 가장 알맞은 것은?	배치 처리는 데이터를 일정 시간 또는 일정량으로 모아 한 번에 처리하는 방식입니다. 일 단위 집계나 야간 정산처럼 지연을 허용하는 업무에서 많이 씁니다. 면접에서는 배치와 스트리밍을 구분하고 언제 배치를 쓰는지 묻습니다. 실무에서는 재시도와 재처리 전략이 매우 중요합니다. 배치 시간이 길어지면 다음 배치와 겹치므로 파티셔닝과 병렬화도 함께 고려합니다.		이벤트가 발생할 때마다 즉시 처리한다	FALSE	데이터를 모아 일정 단위로 처리한다	TRUE	데이터 암호화 방식이다	FALSE	모델 학습률을 조정하는 기법이다	FALSE	data_engineering	batch		
Q007	스트리밍 처리(Stream Processing)		AI / Data / Machine Learning - 데이터 전처리 및 파이프라인	78	CHOICE	EASY	스트리밍 처리의 특징으로 가장 적절한 것은?	스트리밍 처리는 데이터가 들어오는 흐름에 맞춰 연속적으로 처리합니다. 실시간 대시보드, 알림, 이상 탐지 같은 요구에서 자주 등장합니다. 면접에서는 처리 보장, 윈도우 집계 같은 기본 개념을 간단히 물을 수 있습니다. 실무에서는 이벤트 시간과 처리 시간의 차이로 집계가 어긋날 수 있어 주의해야 합니다. 상태 저장과 장애 복구를 위해 체크포인트 같은 운영 장치도 함께 설계합니다.		하루에 한 번만 실행되는 작업을 의미한다	FALSE	데이터 흐름에 맞춰 연속 처리한다	TRUE	SQL 조인을 의미한다	FALSE	이미지 파일을 변환하는 기능이다	FALSE	data_engineering	streaming		
Q008	카프카 토픽(Kafka Topic)		AI / Data / Machine Learning - 데이터 전처리 및 파이프라인	78	CHOICE	EASY	카프카에서 토픽(Topic)의 의미로 가장 올바른 것은?	토픽은 카프카에서 메시지가 기록되는 논리적 채널입니다. 생산자는 특정 토픽으로 데이터를 보내고 소비자는 토픽에서 데이터를 읽습니다. 면접에서는 토픽과 파티션, 컨슈머 그룹의 관계를 기본으로 확인합니다. 실무에서는 토픽 설계가 데이터 분리와 권한, 운영 편의성을 크게 좌우합니다. 또한 토픽을 너무 잘게 쪼개면 관리 비용이 증가할 수 있어 균형이 필요합니다.		사용자 계정 정보를 저장하는 테이블이다	FALSE	메시지가 기록되는 논리적 채널이다	TRUE	모델의 레이어를 의미한다	FALSE	파일 압축 알고리즘이다	FALSE	data_engineering	kafka		
Q009	파티션(Partition)		AI / Data / Machine Learning - 데이터 전처리 및 파이프라인	78	CHOICE	EASY	카프카에서 파티션(Partition)을 두는 주된 목적은 무엇인가?	파티션은 토픽을 여러 조각으로 나눠 저장하는 단위입니다. 파티션을 늘리면 병렬 소비가 가능해져 처리량을 높일 수 있습니다. 면접에서는 파티션이 순서 보장과 어떤 관련이 있는지 물을 수 있습니다. 실무에서는 키를 기준으로 같은 키의 이벤트가 같은 파티션으로 가게 설계하면 순서를 일부 보장할 수 있습니다. 다만 파티션 수 변경은 운영에 영향이 있어 초기 설계를 신중히 해야 합니다.		메시지를 암호화하기 위해서	FALSE	처리량과 병렬성을 높이기 위해서	TRUE	DB의 기본키를 만들기 위해서	FALSE	이미지 해상도를 올리기 위해서	FALSE	data_engineering	kafka		
Q010	컨슈머 그룹(Consumer Group)		AI / Data / Machine Learning - 데이터 전처리 및 파이프라인	78	CHOICE	EASY	카프카에서 컨슈머 그룹의 역할로 가장 올바른 것은?	컨슈머 그룹은 여러 소비자가 협력해서 토픽의 파티션을 나눠 처리하게 하는 단위입니다. 같은 그룹 내에서는 보통 한 파티션을 한 소비자가 담당합니다. 면접에서는 컨슈머 그룹을 쓰는 이유와 리밸런싱 개념이 가볍게 나올 수 있습니다. 실무에서는 소비자 장애 시 다른 소비자가 파티션을 이어받아 처리할 수 있어 가용성이 좋아집니다. 다만 리밸런싱 동안 지연이 생길 수 있어 운영 설정을 이해하는 것이 중요합니다.		메시지를 영구 삭제하는 기능이다	FALSE	파티션을 소비자들이 분담해 처리하게 한다	TRUE	데이터베이스 샤딩을 의미한다	FALSE	GPU 작업을 분배하는 기능이다	FALSE	data_engineering	kafka		
Q011	오프셋(Offset)		AI / Data / Machine Learning - 데이터 전처리 및 파이프라인	78	CHOICE	EASY	카프카에서 오프셋(Offset)을 가장 잘 설명한 것은?	오프셋은 파티션 안에서 메시지의 위치를 나타내는 번호입니다. 소비자는 어디까지 읽었는지 오프셋을 기반으로 관리합니다. 면접에서는 오프셋 커밋이 왜 중요한지 기본 수준에서 물을 수 있습니다. 실무에서는 커밋 시점에 따라 중복 처리 또는 데이터 누락 위험이 달라집니다. 그래서 처리 로직을 멱등하게 만들거나 커밋 전략을 일관되게 설계해야 합니다.		토픽의 이름을 의미한다	FALSE	파티션 내 메시지 위치를 나타낸다	TRUE	DB 인덱스 종류다	FALSE	네트워크 포트 번호다	FALSE	data_engineering	kafka		
