question_temp_key	term_title	term_id	term_category	term_category_id	question_type	difficulty	question_text	explanation	text_answer	choice_1_text	choice_1_is_answer	choice_2_text	choice_2_is_answer	choice_3_text	choice_3_is_answer	choice_4_text	choice_4_is_answer	label_1_key	label_2_key	label_3_key	label_4_key
Q001	싱글턴 패턴(Singleton Pattern)		언어 중심 - TypeScript	97	CHOICE	EASY	애플리케이션 전체에서 인스턴스를 하나만 유지하려는 패턴은 무엇인가?	싱글턴 패턴은 특정 클래스의 인스턴스가 애플리케이션 전역에서 하나만 생성되도록 보장하는 패턴입니다. 공용 설정, 로거, 캐시처럼 공유 자원을 다룰 때 자주 등장합니다. TypeScript에서는 보통 private 생성자와 static 인스턴스를 조합해 표현합니다. 면접에서는 전역 변수와의 차이, 장점과 단점을 함께 설명할 수 있는지 확인하는 경우가 많습니다. 실무에서는 테스트가 어려워지거나 결합도가 높아질 수 있으므로 DI와 함께 설계하거나 사용 범위를 제한하는 관점이 중요합니다.		싱글턴(Singleton)	TRUE	팩토리(Factory)	FALSE	전략(Strategy)	FALSE	옵저버(Observer)	FALSE	frontend	typescript	pattern	
Q002	팩토리 패턴(Factory Pattern)		언어 중심 - TypeScript	97	CHOICE	EASY	객체 생성 로직을 한곳에 모아 new 사용을 줄이는 패턴은 무엇인가?	팩토리 패턴은 객체 생성 과정을 캡슐화하여 호출 측의 결합도를 낮추는 패턴입니다. 생성 조건이 많아질수록 new 호출이 여러 곳에 흩어질 수 있는데, 이를 한 곳에서 관리하게 해줍니다. TypeScript에서는 반환 타입을 인터페이스나 유니온 타입으로 정의해 생성 결과를 안정적으로 다룰 수 있습니다. 면접에서는 단순 생성 함수와 패턴으로서의 팩토리를 구분해 설명할 수 있어야 합니다. 실무에서는 생성 규칙이 서비스 곳곳에 퍼지지 않도록 경계 레이어에 배치하는 것이 핵심입니다.		팩토리(Factory)	TRUE	싱글턴(Singleton)	FALSE	어댑터(Adapter)	FALSE	퍼사드(Facade)	FALSE	frontend	typescript	pattern	
Q003	전략 패턴(Strategy Pattern)		언어 중심 - TypeScript	97	CHOICE	EASY	상황에 따라 알고리즘을 교체할 수 있게 만드는 패턴은 무엇인가?	전략 패턴은 같은 목적을 가진 여러 알고리즘을 공통 인터페이스로 묶어 교체 가능하게 만드는 패턴입니다. 조건문이 늘어나는 문제를 줄이고 확장에 유리한 구조를 만듭니다. TypeScript에서는 함수 타입을 전략으로 넘겨 간단한 형태로 구현하는 경우도 많습니다. 면접에서는 if else 분기와 비교해 유지보수 측면의 장점을 설명하는 질문이 자주 나옵니다. 실무에서는 전략이 너무 세분화되면 복잡성이 커지므로 적절한 추상화 수준을 유지하는 것이 중요합니다.		전략(Strategy)	TRUE	옵저버(Observer)	FALSE	빌더(Builder)	FALSE	싱글턴(Singleton)	FALSE	frontend	typescript	pattern	
Q004	옵저버 패턴(Observer Pattern)		언어 중심 - TypeScript	97	CHOICE	EASY	한 객체의 상태 변경을 여러 구독자에게 알리는 패턴은 무엇인가?	옵저버 패턴은 주체의 상태 변화가 발생하면 관찰자들에게 자동으로 통지하는 패턴입니다. 이벤트 기반 구조와 잘 어울리며 UI나 상태 변화 처리에서 자주 사용됩니다. TypeScript에서는 콜백 등록과 해제 메서드를 제공하는 형태로 쉽게 구현할 수 있습니다. 면접에서는 발행자와 구독자의 역할, 그리고 구독 해제 누락 시 생기는 문제를 자주 묻습니다. 실무에서는 구독 해제를 관리하지 않으면 메모리 누수와 중복 처리 문제가 생길 수 있으므로 라이프사이클 관리가 핵심입니다.		옵저버(Observer)	TRUE	전략(Strategy)	FALSE	어댑터(Adapter)	FALSE	레포지토리(Repository)	FALSE	frontend	typescript	pattern	
Q005	데코레이터 패턴(Decorator Pattern)		언어 중심 - TypeScript	97	CHOICE	EASY	기존 코드를 바꾸지 않고 기능을 덧붙이는 설계와 가장 가까운 패턴은 무엇인가?	데코레이터 패턴은 객체를 감싸서 책임을 동적으로 추가하는 패턴입니다. 상속 대신 조합을 통해 기능을 확장할 수 있다는 점이 핵심입니다. TypeScript에서는 래퍼 객체를 만들어 메서드 호출 전후로 동작을 끼워 넣는 방식이 흔합니다. 면접에서는 상속으로 확장하는 방식과 비교해 장점을 말해보라는 질문이 자주 나옵니다. 실무에서는 데코레이터가 과도하게 중첩되면 추적이 어려워질 수 있으므로 적용 범위를 제한하는 것이 좋습니다.		데코레이터(Decorator)	TRUE	퍼사드(Facade)	FALSE	팩토리(Factory)	FALSE	싱글턴(Singleton)	FALSE	frontend	typescript	pattern	
Q006	모듈 패턴(Module Pattern)		언어 중심 - TypeScript	97	CHOICE	EASY	import export로 기능을 분리해 캡슐화하는 방식과 관련 깊은 패턴은 무엇인가?	모듈 패턴은 코드를 분리하고 공개 API만 노출하여 캡슐화를 달성하는 패턴입니다. 전역 네임스페이스 오염을 줄이고 의존성을 명확하게 만들 수 있습니다. TypeScript에서는 ES Module을 통해 자연스럽게 구현됩니다. 면접에서는 모듈 스코프와 번들링, 트리 쉐이킹 같은 주제로 확장 질문이 나올 수 있습니다. 실무에서는 배럴 파일을 무분별하게 사용하면 의존성 추적이 어려워질 수 있으므로 구조 설계와 규칙이 중요합니다.		모듈(Module)	TRUE	빌더(Builder)	FALSE	옵저버(Observer)	FALSE	전략(Strategy)	FALSE	frontend	typescript	pattern	
Q007	의존성 주입(Dependency Injection)		언어 중심 - TypeScript	97	CHOICE	EASY	필요한 객체를 직접 생성하지 않고 외부에서 전달받는 설계 방식은 무엇인가?	의존성 주입은 클래스가 의존 객체를 직접 만들지 않고 외부에서 주입받는 방식입니다. 결합도를 낮추고 테스트에서 대체 구현을 쉽게 끼울 수 있다는 장점이 있습니다. TypeScript에서는 생성자 인자 주입과 함수 인자 주입이 가장 흔한 형태입니다. 면접에서는 IoC 개념과 함께 싱글턴 패턴과의 차이를 비교하는 질문이 자주 나옵니다. 실무에서는 주입 그래프가 복잡해질 수 있으므로 모듈 경계와 생성 책임을 명확히 하는 것이 중요합니다.		의존성 주입(DI)	TRUE	싱글턴(Singleton)	FALSE	옵저버(Observer)	FALSE	어댑터(Adapter)	FALSE	frontend	typescript	pattern	
Q008	레포지토리 패턴(Repository Pattern)		언어 중심 - TypeScript	97	CHOICE	EASY	데이터 접근 로직을 분리해 도메인 로직이 저장소 구현을 몰라도 되게 하는 패턴은 무엇인가?	레포지토리 패턴은 데이터 소스 접근을 추상화하여 도메인 로직과 분리하는 패턴입니다. DB나 외부 API가 바뀌어도 도메인 코드 변경을 최소화할 수 있습니다. TypeScript에서는 인터페이스로 계약을 정의하고 구현체를 교체하는 방식이 흔합니다. 면접에서는 서비스 레이어와 레포지토리의 책임 경계를 정확히 설명할 수 있어야 합니다. 실무에서는 레포지토리에 비즈니스 규칙을 넣지 않고 조회 저장 규칙을 일관되게 관리하는 습관이 중요합니다.		레포지토리(Repository)	TRUE	퍼사드(Facade)	FALSE	전략(Strategy)	FALSE	싱글턴(Singleton)	FALSE	frontend	typescript	pattern	
Q009	어댑터 패턴(Adapter Pattern)		언어 중심 - TypeScript	97	CHOICE	EASY	기존 인터페이스를 유지한 채 다른 인터페이스로 변환해 연결하는 패턴은 무엇인가?	어댑터 패턴은 호환되지 않는 인터페이스를 변환하여 함께 동작하게 만드는 패턴입니다. 외부 라이브러리 응답을 내부 도메인 모델로 바꿀 때 자주 사용됩니다. TypeScript에서는 변환 함수나 래퍼 클래스로 구현하는 경우가 많습니다. 면접에서는 퍼사드와의 차이 또는 어댑터가 필요한 상황을 예시로 설명하라는 질문이 나옵니다. 실무에서는 변환 규칙이 흩어지지 않도록 경계 계층에 모아 관리하는 것이 중요합니다.		어댑터(Adapter)	TRUE	옵저버(Observer)	FALSE	팩토리(Factory)	FALSE	빌더(Builder)	FALSE	frontend	typescript	pattern	
Q010	퍼사드 패턴(Facade Pattern)		언어 중심 - TypeScript	97	CHOICE	EASY	복잡한 기능들을 단순한 진입점 하나로 제공하는 패턴은 무엇인가?	퍼사드 패턴은 여러 서브시스템을 하나의 단순한 인터페이스로 감싸 제공하는 패턴입니다. 호출 측은 내부 구조를 몰라도 기능을 쉽게 사용할 수 있습니다. TypeScript에서는 여러 서비스를 묶어 하나의 클래스로 제공하는 방식이 흔합니다. 면접에서는 어댑터 패턴과의 목적 차이를 설명할 수 있어야 합니다. 실무에서는 퍼사드가 너무 많은 책임을 가지면 거대한 클래스가 되므로 범위를 명확히 제한하는 것이 중요합니다.		퍼사드(Facade)	TRUE	어댑터(Adapter)	FALSE	옵저버(Observer)	FALSE	전략(Strategy)	FALSE	frontend	typescript	pattern	
