question_temp_key	term_title	term_id	term_category	term_category_id	question_type	difficulty	question_text	explanation	text_answer	choice_1_text	choice_1_is_answer	choice_2_text	choice_2_is_answer	choice_3_text	choice_3_is_answer	choice_4_text	choice_4_is_answer	label_1_key	label_2_key	label_3_key	label_4_key
Q001	Redis 기본 개념		Database - NoSQL	27	CHOICE	EASY	Redis를 사용하는 가장 기본적인 목적은 무엇인가?	Redis는 메모리 기반 데이터 저장소로 빠른 읽기 쓰기 성능을 제공합니다. 주로 캐시 세션 카운터 등에 사용됩니다. 면접에서는 Redis가 왜 빠른지와 어디에 쓰는지를 자주 묻습니다. 실무에서는 DB 부하 감소가 핵심 목적입니다. Redis는 영구 저장이 아닌 속도 중심 도구로 이해해야 합니다.		자주 조회되는 데이터를 빠르게 제공한다	TRUE	파일을 장기 보관한다	FALSE	이미지 렌더링을 처리한다	FALSE	서버를 재시작한다	FALSE	caching	redis	nosql	backend
Q002	메모리 기반 저장소		Database - NoSQL	27	CHOICE	EASY	Redis가 빠른 이유로 가장 올바른 설명은?	Redis는 디스크가 아닌 메모리에 데이터를 저장합니다. 이로 인해 I O 비용이 거의 없어 매우 빠릅니다. 면접에서는 메모리 기반이라는 점을 반드시 언급해야 합니다. 대신 장애 시 데이터 유실 가능성도 함께 이해해야 합니다.		메모리에 데이터를 저장하기 때문이다	TRUE	CPU 코어 수가 많기 때문이다	FALSE	SQL을 사용하지 않기 때문이다	FALSE	네트워크 속도가 빠르기 때문이다	FALSE	caching	redis	memory	performance
Q003	캐시(Cache) 역할		Backend - 아키텍처 패턴	20	CHOICE	EASY	캐시를 사용하는 가장 큰 목적은 무엇인가?	캐시는 느린 자원 접근을 줄이기 위한 구조입니다. DB 호출을 줄여 전체 응답 시간을 개선합니다. 면접에서는 캐시 도입 효과를 묻습니다. 실무에서는 장애 시 캐시 미스 전략도 중요합니다.		응답 속도를 개선하기 위해서	TRUE	데이터 정합성을 보장하기 위해서	FALSE	트랜잭션을 관리하기 위해서	FALSE	로그를 저장하기 위해서	FALSE	caching	architecture	redis	performance
Q004	캐시 미스(Cache Miss)		Backend - 아키텍처 패턴	20	CHOICE	EASY	캐시 미스(Cache Miss) 상황으로 올바른 것은?	캐시에 데이터가 없을 때 발생하는 상황입니다. 이 경우 DB나 원본 저장소를 조회합니다. 면접에서는 캐시 히트 미스 차이를 묻습니다. 캐시 미스가 잦으면 성능 이점이 줄어듭니다.		캐시에 데이터가 없어 DB를 조회하는 경우	TRUE	캐시 데이터가 최신인 경우	FALSE	캐시가 자동 갱신된 경우	FALSE	서버가 종료된 경우	FALSE	caching	redis	cache_miss	backend
Q005	캐시 히트(Cache Hit)		Backend - 아키텍처 패턴	20	CHOICE	EASY	캐시 히트(Cache Hit)에 대한 설명으로 올바른 것은?	캐시에 원하는 데이터가 존재해 바로 응답하는 경우입니다. DB 접근이 없어 성능이 가장 좋습니다. 면접에서는 히트율 개념으로 이어집니다. 히트율이 높을수록 캐시 효과가 큽니다.		캐시에서 바로 데이터를 가져오는 경우	TRUE	DB를 먼저 조회하는 경우	FALSE	캐시를 비우는 작업	FALSE	트랜잭션이 실패한 경우	FALSE	caching	redis	cache_hit	performance
Q006	TTL(Time To Live)		Database - NoSQL	27	CHOICE	EASY	Redis에서 TTL(Time To Live)의 역할은 무엇인가?	TTL은 데이터의 유효 시간을 설정합니다. 시간이 지나면 자동으로 삭제됩니다. 면접에서는 왜 TTL이 필요한지를 묻습니다. 실무에서는 오래된 캐시로 인한 오류를 방지합니다.		데이터의 자동 만료 시간을 설정한다	TRUE	데이터를 암호화한다	FALSE	데이터를 압축한다	FALSE	서버 시간을 동기화한다	FALSE	caching	redis	ttl	expiration
Q007	세션 저장소		Backend - 아키텍처 패턴	20	CHOICE	EASY	Redis가 세션 저장소로 자주 사용되는 이유는?	Redis는 빠른 조회 성능과 분산 환경에 적합합니다. 여러 서버가 동일 세션을 공유할 수 있습니다. 면접에서는 로드밸런싱과 함께 설명합니다. 실무에서는 로그인 유지에 중요합니다.		빠르고 여러 서버에서 공유 가능하기 때문이다	TRUE	파일 저장에 유리해서	FALSE	SQL 쿼리가 가능해서	FALSE	UI 렌더링이 빨라서	FALSE	scaling	redis	session	backend
Q008	스케일 아웃		Backend - 아키텍처 패턴	20	CHOICE	EASY	Redis가 스케일 아웃 환경에서 유리한 이유는?	중앙 캐시로 여러 서버가 동일 데이터를 사용할 수 있습니다. 서버 수가 늘어나도 캐시를 공유합니다. 면접에서는 스케일 업과 비교합니다. 실무에서는 트래픽 대응이 핵심입니다.		여러 서버가 동일 캐시를 사용할 수 있어서	TRUE	서버 CPU가 자동 증가해서	FALSE	DB 트랜잭션이 줄어서	FALSE	코드 양이 줄어서	FALSE	scaling	redis	scale_out	backend
Q009	DB 부하 감소		Backend - 아키텍처 패턴	20	CHOICE	EASY	Redis 캐시 도입의 대표적인 효과는?	캐시는 DB 접근 횟수를 줄입니다. 결과적으로 DB 부하가 감소합니다. 면접에서는 성능 개선 포인트로 자주 등장합니다. 실무에서는 장애 예방에도 중요합니다.		데이터베이스 부하 감소	TRUE	네트워크 보안 강화	FALSE	코드 가독성 향상	FALSE	트랜잭션 보장	FALSE	caching	redis	performance	backend
Q010	인메모리(In-Memory)		Database - NoSQL	27	CHOICE	EASY	Redis를 인메모리 데이터베이스라고 부르는 이유는?	모든 데이터를 메모리에 저장하기 때문입니다. 매우 빠르지만 메모리 용량 한계가 있습니다. 면접에서는 장단점을 함께 말해야 합니다. 실무에서는 비용 고려가 필요합니다.		메모리에 데이터를 저장하기 때문이다	TRUE	데이터를 압축해서 저장하기 때문이다	FALSE	디스크 접근이 느리기 때문이다	FALSE	SQL을 사용하기 때문이다	FALSE	caching	redis	memory	nosql
Q011	캐시 일관성		Backend - 아키텍처 패턴	20	CHOICE	EASY	캐시 사용 시 주의해야 할 대표적인 문제는?	원본 데이터와 캐시 데이터가 달라질 수 있습니다. 이를 캐시 일관성 문제라고 합니다. 면접에서는 해결 전략을 묻습니다. 실무에서는 TTL이나 갱신 정책이 중요합니다.		데이터 불일치 가능성	TRUE	CPU 과부하	FALSE	네트워크 단절	FALSE	코드 중복	FALSE	caching	redis	consistency	backend
Q012	Write Through		Backend - 아키텍처 패턴	20	CHOICE	EASY	Write Through 캐시 전략의 특징은?	DB와 캐시에 동시에 쓰는 방식입니다. 데이터 일관성이 높습니다. 면접에서는 Write Back과 비교합니다. 실무에서는 성능과 안정성의 트레이드오프가 있습니다.		캐시와 DB에 동시에 저장한다	TRUE	캐시에만 저장한다	FALSE	DB에만 저장한다	FALSE	일정 시간 후 저장한다	FALSE	caching	redis	write_through	architecture
Q013	캐시 만료		Backend - 아키텍처 패턴	20	CHOICE	EASY	캐시 만료 정책을 사용하는 이유는?	오래된 데이터를 자동 제거하기 위함입니다. 최신 데이터 유지가 목적입니다. 면접에서는 TTL과 함께 묻습니다. 실무에서는 장애 예방에 중요합니다.		오래된 데이터를 자동 제거하기 위해	TRUE	네트워크 트래픽 증가	FALSE	메모리 암호화	FALSE	CPU 최적화	FALSE	caching	redis	ttl	expiration
Q014	Redis 장애		Database - NoSQL	27	CHOICE	EASY	Redis 장애 발생 시 가장 먼저 고려할 문제는?	메모리 기반 특성상 데이터 유실 가능성입니다. 면접에서는 persistence 옵션을 언급합니다. 실무에서는 장애 대비 전략이 필요합니다.		캐시 데이터 유실	TRUE	코드 컴파일 오류	FALSE	UI 깨짐	FALSE	DNS 오류	FALSE	scaling	redis	fault	backend
Q015	캐시 서버 분리		Backend - 아키텍처 패턴	20	CHOICE	EASY	Redis를 별도 서버로 두는 주된 이유는?	애플리케이션 서버와 부하를 분리하기 위함입니다. 확장성과 안정성이 좋아집니다. 면접에서는 구조 설명을 요구합니다. 실무에서는 필수에 가깝습니다.		부하 분산과 확장성 확보	TRUE	코드 재사용	FALSE	보안 인증	FALSE	UI 개선	FALSE	scaling	redis	architecture	backend
Q016	캐시 히트율		Backend - 아키텍처 패턴	20	CHOICE	EASY	캐시 히트율이 높다는 의미는?	요청 대부분이 캐시에서 처리된다는 뜻입니다. 성능이 좋습니다. 면접에서는 지표 의미를 묻습니다. 실무에서는 모니터링 대상입니다.		캐시에서 응답되는 비율이 높다	TRUE	DB 요청이 많다	FALSE	서버 장애가 많다	FALSE	네트워크 오류가 적다	FALSE	caching	redis	hit_ratio	performance
Q017	Redis 사용 사례		Database - NoSQL	27	CHOICE	EASY	Redis 사용 사례로 가장 적절한 것은?	실시간 랭킹 카운터 세션 저장 등에 적합합니다. 빠른 증가 감소 연산이 장점입니다. 면접 단골 질문입니다.		실시간 랭킹 관리	TRUE	대용량 이미지 저장	FALSE	장기 로그 보관	FALSE	소스 코드 관리	FALSE	caching	redis	use_case	backend
Q018	캐시와 DB 관계		Backend - 아키텍처 패턴	20	CHOICE	EASY	캐시와 DB의 관계로 올바른 설명은?	캐시는 DB를 대체하지 않습니다. 보조 역할입니다. 면접에서 자주 혼동을 짚습니다. 실무에서도 오해하면 위험합니다.		캐시는 DB를 보조한다	TRUE	캐시는 DB를 완전히 대체한다	FALSE	DB는 필요 없다	FALSE	캐시는 로그 저장소다	FALSE	caching	redis	database	backend
Q019	Redis 데이터 구조		Database - NoSQL	27	CHOICE	EASY	Redis의 특징 중 하나로 올바른 것은?	Redis는 문자열 리스트 셋 등 다양한 자료구조를 제공합니다. 면접에서는 자료구조 활용을 묻습니다. 실무에서는 성능 최적화에 중요합니다.		다양한 자료구조를 제공한다	TRUE	테이블 조인이 가능하다	FALSE	SQL 표준을 따른다	FALSE	트랜잭션만 지원한다	FALSE	caching	redis	data_structure	nosql
Q020	캐시 전략 필요성		Backend - 아키텍처 패턴	20	CHOICE	EASY	캐시 전략 설계가 중요한 이유는?	잘못된 캐시는 오히려 장애를 유발합니다. 일관성과 만료 전략이 핵심입니다. 면접에서는 설계 관점을 봅니다. 실무에서는 필수 역량입니다.		성능과 안정성에 직접적인 영향을 주기 때문에	TRUE	코드 길이를 줄이기 위해	FALSE	UI를 예쁘게 만들기 위해	FALSE	테스트를 생략하기 위해	FALSE	caching	redis	architecture	backend
Q021	캐시 무효화(Cache Invalidation)		Backend - 아키텍처 패턴	20	CHOICE	EASY	캐시 무효화(Cache Invalidation)의 의미로 가장 올바른 것은?	캐시 무효화는 캐시된 데이터가 더 이상 유효하지 않을 때 제거하거나 갱신하도록 처리하는 것입니다. 면접에서는 캐시가 왜 틀릴 수 있는지와 함께 무효화 전략을 물어봅니다. 실무에서는 원본 데이터 변경 시 캐시도 함께 갱신하지 않으면 오래된 값이 노출될 수 있습니다. TTL만 믿는 경우도 많아 주의가 필요합니다. 무효화는 캐시 설계의 핵심 포인트입니다.		캐시된 데이터를 제거하거나 갱신 처리한다	TRUE	캐시 서버를 재부팅한다	FALSE	데이터베이스 인덱스를 생성한다	FALSE	네트워크 트래픽을 차단한다	FALSE	caching	redis	invalidation	backend
